,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022101223,"APR 10, 2022",BOS @ MEM,31,3,1,9,5,6,8,0
1,0022101193,"APR 06, 2022",BOS @ CHI,16,8,2,10,2,1,8,1
2,0022101166,"APR 03, 2022",BOS vs. WAS,22,7,2,6,2,1,5,1
3,0022101153,"APR 01, 2022",BOS vs. IND,31,6,1,6,1,3,9,1
4,0022101139,"MAR 30, 2022",BOS vs. MIA,23,6,2,5,4,0,5,0
5,0022101116,"MAR 27, 2022",BOS vs. MIN,34,6,1,5,3,5,11,1
6,0022101087,"MAR 23, 2022",BOS vs. UTA,26,3,0,3,2,5,8,1
7,0022101078,"MAR 21, 2022",BOS @ OKC,36,6,2,7,3,5,11,1
8,0022101068,"MAR 20, 2022",BOS @ DEN,30,7,1,6,5,6,10,0
9,0022101057,"MAR 18, 2022",BOS @ SAC,32,4,0,5,2,7,10,0
10,0022101042,"MAR 16, 2022",BOS @ GSW,26,4,1,12,4,3,8,0
11,0022101014,"MAR 13, 2022",BOS vs. DAL,21,4,0,11,2,3,10,0
12,0022100997,"MAR 11, 2022",BOS vs. DET,31,6,1,8,1,2,9,0
13,0022100981,"MAR 09, 2022",BOS @ CHA,44,3,3,5,2,6,9,1
14,0022100960,"MAR 06, 2022",BOS vs. BKN,54,3,0,5,2,8,15,0
15,0022100940,"MAR 03, 2022",BOS vs. MEM,37,5,0,6,6,2,7,1
16,0022100927,"MAR 01, 2022",BOS vs. ATL,33,7,0,8,2,3,10,0
17,0022100914,"FEB 27, 2022",BOS @ IND,24,3,1,5,2,2,12,0
18,0022100905,"FEB 26, 2022",BOS @ DET,26,6,1,11,1,4,9,1
19,0022100890,"FEB 24, 2022",BOS @ BKN,30,4,1,7,4,4,9,0
20,0022100875,"FEB 16, 2022",BOS vs. DET,22,5,1,4,7,2,6,0
21,0022100869,"FEB 15, 2022",BOS @ PHI,28,6,0,12,0,4,8,2
22,0022100856,"FEB 13, 2022",BOS vs. ATL,38,3,1,10,2,4,10,2
23,0022100842,"FEB 11, 2022",BOS vs. DEN,24,5,3,6,2,1,8,0
24,0022100817,"FEB 08, 2022",BOS @ BKN,19,4,1,5,0,2,6,0
25,0022100806,"FEB 06, 2022",BOS @ ORL,15,7,1,9,4,2,8,0
26,0022100788,"FEB 04, 2022",BOS @ DET,24,1,1,9,2,4,9,0
27,0022100775,"FEB 02, 2022",BOS vs. CHA,19,9,2,6,3,1,7,0
28,0022100762,"JAN 31, 2022",BOS vs. MIA,20,5,0,12,2,3,7,0
29,0022100745,"JAN 29, 2022",BOS @ NOP,38,7,3,8,2,4,13,0
30,0022100737,"JAN 28, 2022",BOS @ ATL,20,4,1,6,5,2,8,2
31,0022100717,"JAN 25, 2022",BOS vs. SAC,36,6,0,4,2,7,14,1
32,0022100699,"JAN 23, 2022",BOS @ WAS,51,7,0,10,1,9,14,0
33,0022100688,"JAN 21, 2022",BOS vs. POR,27,7,0,10,4,0,6,0
34,0022100671,"JAN 19, 2022",BOS vs. CHA,12,3,1,6,3,0,7,0
