Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST,PTS+AST,REB+AST
0022300541,"JAN 12, 2024",SAS vs. CHA,13,4,2,6,1,7,5,1,2,1,3,2,35,23,17,10
0022300519,"JAN 10, 2024",SAS @ DET,15,2,0,4,1,15,7,1,2,0,0,0,12,21,17,6
0022300497,"JAN 07, 2024",SAS @ CLE,11,4,0,5,1,9,4,2,5,0,1,1,16,20,15,9
0022300477,"JAN 04, 2024",SAS vs. MIL,9,5,2,8,1,11,3,1,5,1,2,2,-14,22,14,13
0022300460,"JAN 02, 2024",SAS @ MEM,12,1,0,2,1,6,4,1,2,2,4,3,1,15,13,3
0022300448,"DEC 31, 2023",SAS vs. BOS,9,5,0,3,1,11,4,1,4,0,0,0,-25,17,14,8
0022300437,"DEC 29, 2023",SAS @ POR,2,4,1,4,3,3,0,0,0,0,2,2,-15,10,6,8
0022300427,"DEC 28, 2023",SAS @ POR,16,3,0,7,2,10,6,0,2,1,5,4,17,26,19,10
0022300412,"DEC 26, 2023",SAS vs. UTA,19,3,0,5,0,10,7,3,4,0,2,2,-15,27,22,8
0022300398,"DEC 23, 2023",SAS @ DAL,23,4,0,9,3,16,9,4,6,0,2,1,-23,36,27,13
0022300376,"DEC 21, 2023",SAS @ CHI,9,2,1,7,1,8,4,1,2,0,0,0,-12,18,11,9
0022300361,"DEC 19, 2023",SAS @ MIL,9,8,1,11,0,11,4,0,2,0,2,1,-13,28,17,19
0022300345,"DEC 17, 2023",SAS vs. NOP,5,4,1,3,0,7,1,0,0,0,4,3,-15,12,9,7
0022300331,"DEC 15, 2023",SAS vs. LAL,11,2,1,8,1,10,5,0,3,1,1,1,21,21,13,10
0022300316,"DEC 13, 2023",SAS vs. LAL,5,5,0,8,3,9,2,1,4,0,2,0,-4,18,10,13
0022300298,"DEC 11, 2023",SAS @ HOU,7,2,1,6,2,11,3,1,5,0,0,0,-8,15,9,8
0022301223,"DEC 08, 2023",SAS vs. CHI,4,4,0,3,5,6,2,0,2,1,0,0,-9,11,8,7
0022301210,"DEC 06, 2023",SAS @ MIN,6,0,0,2,1,10,3,0,2,1,0,0,-5,8,6,2
0022300278,"DEC 01, 2023",SAS @ NOP,13,4,0,3,2,13,4,2,4,0,4,3,-9,20,17,7
0022300272,"NOV 30, 2023",SAS vs. ATL,33,6,1,8,5,14,12,3,3,0,6,6,-4,47,39,14
0022300252,"NOV 26, 2023",SAS @ DEN,4,3,0,2,3,6,2,0,1,0,0,0,-14,9,7,5
0022300051,"NOV 24, 2023",SAS @ GSW,7,4,0,6,2,7,3,1,2,0,0,0,1,17,11,10
0022300235,"NOV 22, 2023",SAS vs. LAC,19,7,0,5,1,15,6,2,5,0,6,5,5,31,26,12
0022300223,"NOV 20, 2023",SAS vs. LAC,8,1,0,8,1,12,3,0,3,0,2,2,-12,17,9,9
0022300206,"NOV 18, 2023",SAS vs. MEM,16,3,2,5,3,8,5,1,2,0,6,5,-6,24,19,8
0022300032,"NOV 17, 2023",SAS vs. SAC,8,6,1,8,2,11,3,1,3,0,2,1,-3,22,14,14
0022300021,"NOV 14, 2023",SAS @ OKC,9,5,0,3,3,11,4,1,1,0,0,0,-31,17,14,8
0022300184,"NOV 12, 2023",SAS vs. MIA,16,3,0,5,3,9,6,2,3,2,2,2,-5,24,19,8
0022300013,"NOV 10, 2023",SAS vs. MIN,14,5,3,7,6,11,6,1,1,0,2,1,-8,26,19,12
0022300161,"NOV 08, 2023",SAS @ NYK,16,5,0,6,0,12,7,2,4,0,0,0,-19,27,21,11
0022300146,"NOV 06, 2023",SAS @ IND,6,1,0,3,2,9,3,0,1,0,0,0,-18,10,7,4
0022300141,"NOV 05, 2023",SAS vs. TOR,4,5,3,4,3,8,2,0,1,0,0,0,-7,13,9,9
0022300131,"NOV 02, 2023",SAS @ PHX,14,9,0,5,1,13,7,0,0,1,0,0,0,28,23,14
0022300113,"OCT 31, 2023",SAS @ PHX,8,5,0,7,0,8,3,0,1,0,3,2,-7,20,13,12
0022300099,"OCT 29, 2023",SAS @ LAC,0,3,1,4,4,2,0,0,2,1,0,0,-30,7,3,7
0022300083,"OCT 27, 2023",SAS vs. HOU,14,4,2,5,2,9,5,0,1,0,4,4,-8,23,18,9
0022300073,"OCT 25, 2023",SAS vs. DAL,13,5,1,8,3,12,4,2,4,0,6,3,-10,26,18,13
