,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS
0,21100984,"APR 26, 2012",CHI vs. CLE,12,2,0,4,2,8,4,0,1,0,7,4,31
1,21100919,"APR 18, 2012",CHI @ CHA,5,0,0,3,1,6,2,0,0,0,2,1,15
2,21100907,"APR 16, 2012",CHI vs. WAS,2,0,0,1,0,1,1,0,0,0,0,0,-7
3,21100897,"APR 15, 2012",CHI @ DET,0,0,0,0,0,0,0,0,0,0,0,0,-1
4,21100870,"APR 12, 2012",CHI vs. MIA,0,0,0,1,0,1,0,0,0,0,0,0,-1
5,21100857,"APR 10, 2012",CHI vs. NYK,2,1,1,1,0,4,1,0,1,0,0,0,8
6,21100835,"APR 08, 2012",CHI @ NYK,0,0,0,0,0,0,0,0,0,0,0,0,0
7,21100813,"APR 05, 2012",CHI vs. BOS,0,0,0,0,0,0,0,0,0,0,0,0,0
8,21100786,"APR 02, 2012",CHI vs. HOU,0,0,0,0,0,0,0,0,0,0,0,0,0
9,21100777,"APR 01, 2012",CHI @ OKC,2,0,0,5,1,3,0,0,0,0,2,2,15
10,21100749,"MAR 28, 2012",CHI @ ATL,0,0,0,1,0,0,0,0,0,0,0,0,2
11,21100733,"MAR 26, 2012",CHI vs. DEN,4,2,0,0,0,5,2,0,1,0,0,0,1
12,21100714,"MAR 24, 2012",CHI vs. TOR,0,0,0,1,0,3,0,0,1,0,0,0,2
13,21100673,"MAR 19, 2012",CHI @ ORL,0,0,0,0,0,0,0,0,0,0,0,0,0
14,21100658,"MAR 17, 2012",CHI vs. PHI,0,0,1,1,0,0,0,0,0,0,0,0,1
15,21100647,"MAR 16, 2012",CHI vs. POR,3,0,0,2,2,2,1,1,1,1,0,0,-7
16,21100629,"MAR 14, 2012",CHI vs. MIA,8,0,0,2,0,5,1,0,1,0,6,6,10
17,21100612,"MAR 12, 2012",CHI vs. NYK,8,1,1,2,0,7,3,0,2,0,3,2,-1
18,21100598,"MAR 10, 2012",CHI vs. UTA,8,1,0,5,1,4,2,0,0,0,6,4,11
19,21100582,"MAR 08, 2012",CHI vs. ORL,5,2,0,3,1,2,1,0,1,0,4,3,4
20,21100557,"MAR 05, 2012",CHI vs. IND,0,0,0,1,0,0,0,0,0,0,0,0,2
21,21100531,"MAR 02, 2012",CHI @ CLE,0,0,0,0,0,0,0,0,0,0,0,0,-6
22,21100493,"FEB 22, 2012",CHI vs. MIL,0,0,0,0,0,1,0,0,0,0,0,0,-2
23,21100457,"FEB 18, 2012",CHI vs. NJN,3,0,0,2,0,2,1,0,0,0,2,1,2
24,21100391,"FEB 10, 2012",CHI @ CHA,4,0,2,2,1,2,0,0,0,0,4,4,4
25,21100381,"FEB 08, 2012",CHI @ NOH,0,1,0,0,0,0,0,0,0,0,0,0,-4
26,21100360,"FEB 06, 2012",CHI @ NJN,2,0,0,1,0,1,1,0,0,0,0,0,-2
27,21100349,"FEB 04, 2012",CHI @ MIL,2,1,1,3,0,1,1,0,0,0,0,0,8
28,21100327,"FEB 02, 2012",CHI @ NYK,7,1,2,1,0,5,2,0,0,1,4,3,-1
29,21100315,"FEB 01, 2012",CHI @ PHI,5,2,0,4,1,3,1,1,2,0,4,2,2
30,21100300,"JAN 30, 2012",CHI @ WAS,2,0,1,2,1,3,1,0,0,0,0,0,-9
31,21100277,"JAN 27, 2012",CHI vs. MIL,2,0,1,1,0,2,0,0,0,0,2,2,-2
32,21100261,"JAN 25, 2012",CHI vs. IND,2,0,0,0,2,1,1,0,0,0,0,0,-5
33,21100222,"JAN 20, 2012",CHI @ CLE,0,0,0,1,1,0,0,0,0,2,0,0,2
34,21100198,"JAN 17, 2012",CHI vs. PHX,1,0,0,0,0,0,0,0,0,0,2,1,-1
35,21100185,"JAN 16, 2012",CHI @ MEM,2,0,1,0,0,1,1,0,0,0,0,0,3
36,21100147,"JAN 11, 2012",CHI vs. WAS,0,0,0,0,0,0,0,0,0,0,0,0,0
37,21100130,"JAN 09, 2012",CHI vs. DET,2,0,0,0,0,1,1,0,0,0,0,0,2
38,21100110,"JAN 07, 2012",CHI @ ATL,12,0,0,3,0,3,3,0,0,0,6,6,8
39,21100087,"JAN 04, 2012",CHI @ DET,2,0,0,1,0,0,0,0,0,1,2,2,0
40,21100077,"JAN 03, 2012",CHI vs. ATL,0,0,0,0,0,0,0,0,0,0,0,0,0
41,21100062,"JAN 01, 2012",CHI vs. MEM,2,0,0,2,0,2,1,0,0,0,0,0,-4
42,21201222,"APR 17, 2013",CHI vs. WAS,13,3,2,6,3,8,4,1,1,1,6,4,2
43,21201203,"APR 15, 2013",CHI @ ORL,8,5,1,10,1,7,2,1,1,0,4,3,15
44,21201194,"APR 14, 2013",CHI @ MIA,13,1,1,5,0,7,2,1,3,0,9,8,-13
45,21201176,"APR 12, 2013",CHI @ TOR,7,4,1,3,1,6,2,1,2,0,2,2,-5
46,21201174,"APR 11, 2013",CHI vs. NYK,22,2,3,14,0,15,9,2,3,3,5,2,1
47,21201158,"APR 09, 2013",CHI vs. TOR,28,2,2,7,2,12,10,3,3,0,6,5,-3
48,21201150,"APR 07, 2013",CHI @ DET,14,2,1,4,1,8,5,2,2,1,4,2,-14
49,21201131,"APR 05, 2013",CHI vs. ORL,12,1,2,3,0,13,5,0,2,0,2,2,-4
