,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0021801212,"APR 09, 2019",PHI @ MIA,4,1,0,1,2,0,1,0
1,0021801168,"APR 03, 2019",PHI @ ATL,16,2,1,6,0,1,4,0
2,0021801143,"MAR 30, 2019",PHI @ MIN,12,5,2,13,2,1,2,0
3,0021801123,"MAR 28, 2019",PHI vs. BKN,9,3,3,7,1,1,1,1
4,0021801103,"MAR 25, 2019",PHI @ ORL,13,7,1,6,2,0,2,1
5,0021801088,"MAR 23, 2019",PHI @ ATL,25,4,2,6,1,0,0,1
6,0021801067,"MAR 20, 2019",PHI vs. BOS,22,2,0,4,0,3,9,0
7,0021801059,"MAR 19, 2019",PHI @ CHA,23,9,2,4,2,1,4,1
8,0021801043,"MAR 17, 2019",PHI @ MIL,27,3,3,6,2,2,2,0
9,0021801027,"MAR 15, 2019",PHI vs. SAC,22,7,2,6,3,0,1,1
10,0021800994,"MAR 10, 2019",PHI vs. IND,12,4,1,4,0,0,0,1
11,0021800981,"MAR 08, 2019",PHI @ HOU,19,3,0,9,3,0,2,2
12,0021800970,"MAR 06, 2019",PHI @ CHI,22,4,3,3,2,0,1,0
13,0021800960,"MAR 05, 2019",PHI vs. ORL,14,4,3,2,1,0,1,0
14,0021800938,"MAR 02, 2019",PHI vs. GSW,21,2,1,9,2,2,4,1
15,0021800927,"FEB 28, 2019",PHI @ OKC,20,8,2,8,3,0,2,0
16,0021800906,"FEB 25, 2019",PHI @ NOP,11,7,2,7,3,0,2,1
17,0021800882,"FEB 23, 2019",PHI vs. POR,15,2,0,2,0,0,2,2
18,0021800868,"FEB 21, 2019",PHI vs. MIA,18,6,1,6,3,0,2,0
19,0021800856,"FEB 13, 2019",PHI @ NYK,13,8,3,7,0,0,0,2
20,0021800849,"FEB 12, 2019",PHI vs. BOS,22,1,0,9,1,1,2,0
21,0021800835,"FEB 10, 2019",PHI vs. LAL,15,3,0,4,0,1,2,0
22,0021800818,"FEB 08, 2019",PHI vs. DEN,22,5,3,7,0,0,1,0
23,0021800800,"FEB 05, 2019",PHI vs. TOR,18,5,2,1,1,0,2,0
24,0021800785,"FEB 02, 2019",PHI @ SAC,29,7,2,4,1,4,8,0
25,0021800768,"JAN 31, 2019",PHI @ GSW,7,6,2,9,2,0,6,0
26,0021800755,"JAN 29, 2019",PHI @ LAL,20,6,5,5,1,1,2,1
27,0021800678,"JAN 19, 2019",PHI vs. OKC,18,4,2,3,1,1,6,2
28,0021800667,"JAN 17, 2019",PHI @ IND,27,8,3,5,0,1,2,0
29,0021800652,"JAN 15, 2019",PHI vs. MIN,19,4,2,3,2,3,4,1
