,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS
0,0022201198,"APR 06, 2023",MIA @ PHI,24,6,0,3,0,12,9,1,3,0,6,5,11
1,0022201177,"APR 04, 2023",MIA @ DET,27,8,4,8,2,12,9,0,0,0,11,9,4
2,0022201161,"APR 01, 2023",MIA vs. DAL,35,12,1,3,0,16,12,1,3,0,11,10,6
3,0022201138,"MAR 29, 2023",MIA @ NYK,12,6,0,3,1,10,5,0,0,0,2,2,-8
4,0022201108,"MAR 25, 2023",MIA vs. BKN,18,5,0,1,1,13,6,1,2,0,7,5,-33
5,0022201084,"MAR 22, 2023",MIA vs. NYK,35,9,4,4,1,19,11,2,2,0,14,11,6
6,0022201066,"MAR 19, 2023",MIA @ DET,26,10,1,4,1,11,8,0,0,0,11,10,0
7,0022201060,"MAR 18, 2023",MIA @ CHI,24,1,0,7,1,13,8,0,1,0,10,8,-18
8,0022201036,"MAR 15, 2023",MIA vs. MEM,23,6,2,8,1,11,6,0,0,1,12,11,17
9,0022201022,"MAR 13, 2023",MIA vs. UTA,24,4,4,8,1,14,5,1,2,2,15,13,9
10,0022201007,"MAR 11, 2023",MIA @ ORL,38,2,1,5,2,25,14,2,7,0,8,8,-8
11,0022201000,"MAR 10, 2023",MIA vs. CLE,33,3,0,5,1,16,12,1,1,1,9,8,-5
12,0022200987,"MAR 08, 2023",MIA vs. CLE,28,5,2,5,2,14,8,0,1,1,15,12,-4
13,0022200974,"MAR 06, 2023",MIA vs. ATL,26,9,0,10,2,14,8,0,0,0,12,10,-2
14,0022200958,"MAR 04, 2023",MIA vs. ATL,15,7,2,11,2,8,5,1,1,0,4,4,9
15,0022200949,"MAR 03, 2023",MIA vs. NYK,33,5,2,8,0,15,7,1,2,0,20,18,18
16,0022200936,"MAR 01, 2023",MIA vs. PHI,16,3,1,3,1,8,6,0,0,0,4,4,-10
17,0022200920,"FEB 27, 2023",MIA @ PHI,23,9,4,11,3,14,9,1,1,0,6,4,-1
18,0022200904,"FEB 25, 2023",MIA @ CHA,28,6,1,3,3,8,6,0,0,0,20,16,11
19,0022200897,"FEB 24, 2023",MIA @ MIL,23,1,0,2,2,10,8,1,1,0,8,6,-13
20,0022200878,"FEB 15, 2023",MIA @ BKN,13,6,0,3,1,11,4,0,0,0,5,5,-9
21,0022200861,"FEB 13, 2023",MIA vs. DEN,24,9,1,10,1,18,8,1,2,0,7,7,-3
22,0022200848,"FEB 11, 2023",MIA @ ORL,22,6,2,7,3,17,7,0,1,2,8,8,14
23,0022200840,"FEB 10, 2023",MIA vs. HOU,16,4,2,4,1,11,4,0,1,1,8,8,7
24,0022200825,"FEB 08, 2023",MIA vs. IND,25,7,1,5,2,18,9,0,0,0,8,7,11
25,0022200797,"FEB 04, 2023",MIA @ MIL,32,3,1,8,0,21,11,1,2,0,10,9,-3
26,0022200780,"FEB 02, 2023",MIA @ NYK,10,5,2,4,3,13,5,0,0,0,1,0,-3
27,0022200764,"JAN 31, 2023",MIA @ CLE,23,5,3,1,2,16,6,1,4,1,15,10,0
28,0022200752,"JAN 29, 2023",MIA @ CHA,28,2,3,7,2,14,11,0,0,0,7,6,5
29,0022200738,"JAN 27, 2023",MIA vs. ORL,29,6,2,6,0,17,10,0,2,0,12,9,9
30,0022200699,"JAN 22, 2023",MIA vs. NOP,18,2,5,4,1,7,5,0,1,0,10,8,7
31,0022200686,"JAN 20, 2023",MIA @ DAL,12,1,2,4,1,7,3,0,0,0,6,6,-21
32,0022200673,"JAN 18, 2023",MIA @ NOP,18,7,0,3,2,13,8,0,1,0,3,2,16
33,0022200661,"JAN 16, 2023",MIA @ ATL,34,3,2,3,2,16,11,1,1,1,11,11,4
34,0022200641,"JAN 14, 2023",MIA vs. MIL,16,1,0,4,0,14,7,0,0,0,2,2,0
35,0022200628,"JAN 12, 2023",MIA vs. MIL,17,2,0,11,4,13,5,0,2,0,8,7,2
36,0022200611,"JAN 10, 2023",MIA vs. OKC,35,4,4,7,2,17,6,0,1,3,23,23,5
37,0022200599,"JAN 08, 2023",MIA vs. BKN,26,1,2,8,2,21,9,1,4,0,9,7,-3
38,0022200589,"JAN 06, 2023",MIA @ PHX,20,6,2,5,2,9,5,0,0,0,10,10,5
39,0022200574,"JAN 04, 2023",MIA @ LAL,27,4,3,4,2,22,11,2,5,0,4,3,-1
40,0022200560,"JAN 02, 2023",MIA @ LAC,9,6,2,2,1,8,2,0,2,0,8,5,-2
41,0022200535,"DEC 30, 2022",MIA @ DEN,17,8,4,6,1,13,5,0,0,0,8,7,-1
42,0022200518,"DEC 28, 2022",MIA vs. LAL,27,4,6,5,0,18,11,0,4,0,5,5,-1
