,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0021600694,"JAN 27, 2017",PHI vs. HOU,32,4,3,7,5,4,6,2
1,0021600641,"JAN 20, 2017",PHI vs. POR,18,5,0,10,5,0,0,4
2,0021600627,"JAN 18, 2017",PHI vs. TOR,26,2,1,9,4,2,5,2
3,0021600615,"JAN 16, 2017",PHI @ MIL,22,2,2,13,4,1,3,5
4,0021600593,"JAN 13, 2017",PHI vs. CHA,24,1,2,8,5,0,5,3
5,0021600580,"JAN 11, 2017",PHI vs. NYK,21,1,1,14,1,1,3,1
6,0021600560,"JAN 08, 2017",PHI @ BKN,20,4,0,5,3,0,3,2
7,0021600546,"JAN 06, 2017",PHI @ BOS,23,3,0,8,4,1,3,2
8,0021600521,"JAN 03, 2017",PHI vs. MIN,25,3,1,8,3,1,3,2
9,0021600500,"DEC 30, 2016",PHI @ DEN,23,5,2,6,5,1,5,3
10,0021600471,"DEC 26, 2016",PHI @ SAC,25,1,2,8,8,1,4,2
11,0021600453,"DEC 23, 2016",PHI @ PHX,27,1,0,7,3,1,3,2
12,0021600418,"DEC 20, 2016",PHI vs. NOP,11,1,1,6,2,0,3,1
13,0021600408,"DEC 18, 2016",PHI vs. BKN,33,1,2,10,3,2,3,3
14,0021600396,"DEC 16, 2016",PHI vs. LAL,15,2,0,4,3,2,4,2
15,0021600374,"DEC 14, 2016",PHI vs. TOR,9,5,1,6,4,0,2,2
16,0021600334,"DEC 08, 2016",PHI @ NOP,14,2,3,7,3,0,5,4
17,0021600304,"DEC 05, 2016",PHI vs. DEN,16,1,0,4,3,1,3,5
18,0021600282,"DEC 02, 2016",PHI vs. ORL,25,4,0,10,0,3,5,0
19,0021600245,"NOV 27, 2016",PHI vs. CLE,22,4,0,9,3,3,4,3
20,0021600212,"NOV 23, 2016",PHI vs. MEM,12,3,1,11,7,1,4,3
21,0021600199,"NOV 21, 2016",PHI vs. MIA,22,0,1,5,1,1,2,3
22,0021600189,"NOV 19, 2016",PHI vs. PHX,26,2,0,7,3,3,5,2
23,0021600172,"NOV 17, 2016",PHI @ MIN,10,0,0,10,2,0,1,1
24,0021600149,"NOV 14, 2016",PHI @ HOU,13,1,1,10,6,0,2,2
25,0021600121,"NOV 11, 2016",PHI vs. IND,25,2,0,7,5,1,3,2
26,0021600093,"NOV 07, 2016",PHI vs. UTA,14,0,1,9,5,0,0,1
27,0021600080,"NOV 05, 2016",PHI vs. CLE,22,2,1,6,6,4,4,4
28,0021600046,"NOV 01, 2016",PHI vs. ORL,18,3,0,10,4,0,1,4
29,0021600026,"OCT 29, 2016",PHI vs. ATL,14,1,1,2,3,1,1,2
30,0021600011,"OCT 26, 2016",PHI vs. OKC,20,0,0,7,4,1,3,2
