Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST,PTS+AST,REB+AST,PTS+REB,BLKS+STLS
0022300555,"JAN 15, 2024",PHI vs. HOU,41,3,1,10,2,21,12,1,5,1,17,16,7,54,44,13,51,2
0022300483,"JAN 05, 2024",PHI vs. NYK,30,3,1,10,6,23,10,1,1,3,12,9,-29,43,33,13,40,4
0022300459,"JAN 02, 2024",PHI vs. CHI,31,10,1,15,4,20,10,2,5,2,12,9,32,56,41,25,46,3
0022300382,"DEC 22, 2023",PHI vs. TOR,31,9,2,10,6,21,11,2,2,4,8,7,2,50,40,19,41,6
0022300367,"DEC 20, 2023",PHI vs. MIN,51,3,2,12,2,25,17,0,1,1,18,17,3,66,54,15,63,3
0022300351,"DEC 18, 2023",PHI vs. CHI,40,6,0,14,4,28,15,2,6,2,9,8,-5,60,46,20,54,2
0022300335,"DEC 16, 2023",PHI @ CHA,42,3,1,15,4,23,18,0,1,2,6,6,36,60,45,18,57,3
0022300327,"DEC 15, 2023",PHI vs. DET,35,2,2,13,4,19,9,2,3,4,16,15,28,50,37,15,48,6
0022300310,"DEC 13, 2023",PHI @ DET,41,5,2,11,2,24,14,1,3,0,12,12,27,57,46,16,52,2
0022300295,"DEC 11, 2023",PHI vs. WAS,34,6,2,11,7,20,14,2,5,1,4,4,30,51,40,17,45,3
0022301218,"DEC 08, 2023",PHI vs. ATL,38,3,1,14,2,24,12,1,3,4,15,13,16,55,41,17,52,5
0022301208,"DEC 06, 2023",PHI @ WAS,50,7,1,13,6,29,19,1,2,1,13,11,8,70,57,20,63,2
0022300255,"NOV 27, 2023",PHI vs. LAL,30,11,1,11,3,15,9,2,3,1,12,10,11,52,41,22,41,2
0022300239,"NOV 25, 2023",PHI @ OKC,35,9,1,11,4,18,8,0,4,4,21,19,7,55,44,20,46,5
0022300040,"NOV 21, 2023",PHI vs. CLE,32,5,2,13,6,21,9,1,3,5,16,13,3,50,37,18,45,7
0022300208,"NOV 19, 2023",PHI @ BKN,32,9,0,12,1,24,11,1,2,1,10,9,25,53,41,21,44,1
0022300029,"NOV 17, 2023",PHI @ ATL,32,8,2,7,4,19,10,1,3,0,11,11,16,47,40,15,39,2
0022300194,"NOV 15, 2023",PHI vs. BOS,20,7,1,9,2,16,8,0,2,0,4,4,-25,36,27,16,29,1
0022300019,"NOV 14, 2023",PHI vs. IND,39,6,3,12,5,22,11,0,4,0,17,17,-9,57,45,18,51,3
0022300180,"NOV 12, 2023",PHI vs. IND,37,7,1,13,3,26,12,1,4,1,14,12,-1,57,44,20,50,2
0022300008,"NOV 10, 2023",PHI @ DET,33,3,0,16,5,21,8,1,4,2,19,16,1,52,36,19,49,2
0022300159,"NOV 08, 2023",PHI vs. BOS,27,4,1,10,6,20,10,1,4,4,6,6,4,41,31,14,37,5
0022300148,"NOV 06, 2023",PHI vs. WAS,48,6,1,11,1,25,17,0,2,1,14,14,15,65,54,17,59,2
0022300132,"NOV 04, 2023",PHI vs. PHX,26,3,0,11,4,18,9,3,3,1,5,5,4,40,29,14,37,1
0022300128,"NOV 02, 2023",PHI vs. TOR,28,7,0,13,4,22,8,0,2,1,13,12,22,48,35,20,41,1
0022300098,"OCT 29, 2023",PHI vs. POR,35,7,2,15,3,22,12,2,4,6,12,9,28,57,42,22,50,8
0022300092,"OCT 28, 2023",PHI @ TOR,34,8,1,9,1,21,14,1,3,2,6,5,-2,51,42,17,43,3
0022300075,"OCT 26, 2023",PHI @ MIL,24,6,0,7,7,21,9,3,7,1,8,3,-1,37,30,13,31,1
