,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST
0,0022300524,"JAN 10, 2024",UTA vs. DEN,15,3,1,6,1,10,6,2,4,0,2,1,12,24
1,0022300510,"JAN 08, 2024",UTA @ MIL,19,1,1,3,3,15,8,3,7,0,0,0,6,23
2,0022300495,"JAN 06, 2024",UTA @ PHI,19,2,0,5,1,10,9,0,0,1,2,1,7,26
3,0022300479,"JAN 05, 2024",UTA @ BOS,12,2,0,11,2,8,5,0,1,1,3,2,-28,25
4,0022300474,"JAN 03, 2024",UTA vs. DET,17,3,0,4,2,13,7,2,6,0,2,1,-12,24
5,0022300457,"JAN 01, 2024",UTA vs. DAL,15,1,1,5,0,13,7,0,5,0,1,1,-1,21
6,0022300439,"DEC 30, 2023",UTA vs. MIA,10,0,0,6,1,11,4,2,6,0,0,0,-6,16
7,0022300424,"DEC 28, 2023",UTA @ NOP,8,0,0,12,1,7,3,1,3,1,2,1,-3,20
8,0022300412,"DEC 26, 2023",UTA @ SAS,7,0,0,4,3,7,2,1,4,1,2,2,6,11
9,0022300395,"DEC 23, 2023",UTA @ TOR,10,0,0,5,0,7,4,2,2,0,0,0,-8,15
10,0022300374,"DEC 21, 2023",UTA @ DET,13,1,2,9,3,12,4,0,3,1,5,5,3,23
11,0022300364,"DEC 20, 2023",UTA @ CLE,16,0,1,5,2,8,5,2,4,1,4,4,-16,21
12,0022300357,"DEC 18, 2023",UTA vs. BKN,11,0,0,3,4,9,4,3,4,1,0,0,5,14
13,0022301225,"DEC 08, 2023",UTA vs. LAC,20,2,2,13,2,12,7,1,5,4,5,5,-18,35
14,0022301213,"DEC 06, 2023",UTA @ DAL,10,0,0,8,2,11,5,0,2,0,0,0,-40,18
15,0022300289,"DEC 02, 2023",UTA vs. POR,17,3,1,9,2,14,6,1,4,3,4,4,4,29
16,0022300270,"NOV 30, 2023",UTA @ MIN,9,0,0,12,4,12,3,1,4,0,2,2,-17,21
17,0022300261,"NOV 29, 2023",UTA @ MEM,17,1,1,4,1,14,7,3,5,0,2,0,-8,22
18,0022300256,"NOV 27, 2023",UTA vs. NOP,12,0,0,3,1,10,4,2,6,0,3,2,-2,15
19,0022300243,"NOV 25, 2023",UTA vs. NOP,12,0,0,9,3,11,5,0,2,0,2,2,-6,21
20,0022300237,"NOV 22, 2023",UTA @ POR,12,1,0,11,0,12,6,0,1,0,0,0,-8,24
21,0022300042,"NOV 21, 2023",UTA @ LAL,15,1,1,4,1,12,6,2,5,1,2,1,-29,20
22,0022300214,"NOV 19, 2023",UTA vs. PHX,15,0,2,12,1,14,5,3,5,1,2,2,-4,27
23,0022300035,"NOV 17, 2023",UTA vs. PHX,15,1,0,14,0,10,5,1,2,2,6,4,-7,30
24,0022300023,"NOV 14, 2023",UTA vs. POR,14,2,1,10,1,16,6,2,5,3,0,0,6,26
25,0022300012,"NOV 10, 2023",UTA @ MEM,18,0,0,3,3,6,5,3,3,4,7,5,8,21
26,0022300158,"NOV 08, 2023",UTA @ IND,14,1,0,9,2,9,6,1,2,0,1,1,-7,24
27,0022300152,"NOV 06, 2023",UTA @ CHI,14,0,1,6,2,9,6,1,2,0,1,1,-13,20
28,0022300138,"NOV 04, 2023",UTA @ MIN,14,0,1,6,2,10,5,1,5,1,4,3,-21,20
29,0022300130,"NOV 02, 2023",UTA vs. ORL,20,0,0,10,2,10,7,3,4,1,4,3,0,30
30,0022300125,"NOV 01, 2023",UTA vs. MEM,16,2,2,4,1,12,5,2,5,0,6,4,21,22
31,0022300110,"OCT 30, 2023",UTA @ DEN,15,1,1,9,0,16,7,1,3,0,3,0,-5,25
32,0022300094,"OCT 28, 2023",UTA @ PHX,11,3,0,10,1,9,5,1,3,0,0,0,-28,24
33,0022300085,"OCT 27, 2023",UTA vs. LAC,13,0,0,12,0,11,4,1,5,1,4,4,-4,25
34,0022300072,"OCT 25, 2023",UTA vs. SAC,15,2,1,11,0,11,6,1,3,0,2,2,-9,28
