Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST,PTS+AST
0022300528,"JAN 11, 2024",BOS @ MIL,6,2,0,4,1,9,2,0,4,0,2,2,-31,12,8
0022300517,"JAN 10, 2024",BOS vs. MIN,12,4,2,5,2,15,5,2,10,1,0,0,8,21,16
0022300507,"JAN 08, 2024",BOS @ IND,21,6,1,6,3,16,9,3,6,0,0,0,0,33,27
0022300493,"JAN 06, 2024",BOS @ IND,8,5,1,6,2,9,3,1,5,0,2,1,6,19,13
0022300479,"JAN 05, 2024",BOS vs. UTA,14,1,0,6,2,8,6,2,3,2,0,0,22,21,15
0022300462,"JAN 02, 2024",BOS @ OKC,7,7,1,5,3,8,2,2,5,0,2,1,-15,19,14
0022300432,"DEC 29, 2023",BOS vs. TOR,15,3,0,2,1,15,5,3,5,0,4,2,8,20,18
0022300421,"DEC 28, 2023",BOS vs. DET,12,3,1,9,3,9,4,0,2,1,5,4,1,24,15
0022300403,"DEC 25, 2023",BOS @ LAL,18,7,1,7,2,10,7,3,5,1,1,1,15,32,25
0022300389,"DEC 23, 2023",BOS @ LAC,20,7,1,6,1,12,8,4,6,0,0,0,22,33,27
0022300373,"DEC 20, 2023",BOS @ SAC,21,10,2,8,3,13,7,4,6,1,3,3,17,39,31
0022300362,"DEC 19, 2023",BOS @ GSW,13,1,2,7,1,12,5,1,5,0,2,2,-14,21,14
0022300344,"DEC 17, 2023",BOS vs. ORL,14,0,0,6,3,12,6,2,5,2,0,0,17,20,14
0022300329,"DEC 15, 2023",BOS vs. ORL,6,4,2,4,0,7,2,2,3,1,0,0,12,14,10
0022300319,"DEC 14, 2023",BOS vs. CLE,15,4,0,3,2,11,7,1,3,0,0,0,11,22,19
0022300305,"DEC 12, 2023",BOS vs. CLE,11,2,3,4,1,7,4,3,5,1,0,0,2,17,13
0022301227,"DEC 08, 2023",BOS vs. NYK,16,5,2,6,1,11,7,1,3,1,1,1,7,27,21
0022301202,"DEC 04, 2023",BOS @ IND,9,3,1,6,1,9,3,1,5,1,2,2,-15,18,12
0022300275,"DEC 01, 2023",BOS vs. PHI,13,6,1,5,3,11,4,3,5,0,2,2,7,24,19
0022300053,"NOV 28, 2023",BOS vs. CHI,14,9,1,7,3,8,5,4,5,0,0,0,19,30,23
0022300228,"NOV 22, 2023",BOS vs. MIL,5,1,1,8,2,8,1,1,5,1,2,2,-1,14,6
0022300217,"NOV 20, 2023",BOS @ CHA,11,5,1,6,7,11,5,1,3,2,2,0,-4,22,16
0022300213,"NOV 19, 2023",BOS @ MEM,7,4,0,6,2,7,2,1,3,0,2,2,-9,17,11
0022300031,"NOV 17, 2023",BOS @ TOR,14,5,0,8,1,14,5,2,4,0,2,2,-2,27,19
0022300194,"NOV 15, 2023",BOS @ PHI,18,3,1,10,1,18,8,2,9,2,1,0,16,31,21
0022300188,"NOV 13, 2023",BOS vs. NYK,14,2,0,7,2,9,5,3,5,0,1,1,5,23,16
0022300174,"NOV 11, 2023",BOS vs. TOR,8,7,1,3,4,9,4,0,2,2,0,0,22,18,15
0022300010,"NOV 10, 2023",BOS vs. BKN,13,9,2,12,0,14,6,1,5,0,0,0,26,34,22
0022300159,"NOV 08, 2023",BOS @ PHI,12,5,1,5,2,9,4,2,3,0,2,2,13,22,17
0022300154,"NOV 06, 2023",BOS @ MIN,12,6,1,11,3,16,4,0,4,0,6,4,-19,29,18
0022300136,"NOV 04, 2023",BOS @ BKN,18,10,0,9,3,15,6,4,9,1,2,2,14,37,28
0022300118,"NOV 01, 2023",BOS vs. IND,15,4,0,7,1,9,6,3,4,1,0,0,20,26,19
0022300103,"OCT 30, 2023",BOS @ WAS,11,3,1,5,1,7,4,1,3,2,2,2,28,19,14
0022300080,"OCT 27, 2023",BOS vs. MIA,17,7,0,10,1,13,7,1,4,1,2,2,4,34,24
0022300065,"OCT 25, 2023",BOS @ NYK,9,2,0,4,2,10,4,1,5,3,0,0,3,15,11
