,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST
0,0022300518,"JAN 10, 2024",SAC @ CHA,25,3,0,6,0,18,11,3,7,1,0,0,5,34
1,0022300512,"JAN 09, 2024",SAC @ DET,32,2,1,5,1,17,13,5,9,2,1,1,32,39
2,0022300500,"JAN 07, 2024",SAC vs. NOP,8,0,1,1,0,9,2,1,6,0,3,3,-31,9
3,0022300492,"JAN 05, 2024",SAC vs. TOR,18,1,1,12,3,11,6,4,4,0,4,2,-3,31
4,0022300476,"JAN 03, 2024",SAC vs. ORL,28,1,1,12,0,21,13,2,6,0,0,0,-7,41
5,0022300464,"JAN 02, 2024",SAC vs. CHA,10,2,3,3,1,12,4,1,6,0,2,1,-8,15
6,0022300449,"DEC 31, 2023",SAC @ MEM,10,1,0,3,1,9,4,2,4,0,0,0,13,14
7,0022300431,"DEC 29, 2023",SAC @ ATL,9,0,2,5,0,12,4,1,6,2,0,0,-3,14
8,0022300413,"DEC 26, 2023",SAC @ POR,5,2,1,4,0,11,2,1,7,1,0,0,-10,11
9,0022300400,"DEC 23, 2023",SAC vs. MIN,20,0,3,7,1,16,8,3,7,1,2,1,-8,27
10,0022300387,"DEC 22, 2023",SAC vs. PHX,21,2,0,5,1,13,8,3,7,0,2,2,25,28
11,0022300373,"DEC 20, 2023",SAC vs. BOS,13,0,0,1,1,11,5,3,7,0,0,0,-23,14
12,0022300358,"DEC 18, 2023",SAC vs. WAS,25,4,1,5,0,17,9,4,7,0,3,3,20,34
13,0022300342,"DEC 16, 2023",SAC vs. UTA,47,2,2,8,0,23,16,12,15,0,4,3,33,57
14,0022300324,"DEC 14, 2023",SAC vs. OKC,15,1,1,3,1,8,4,0,2,0,8,7,-12,19
15,0022300309,"DEC 12, 2023",SAC @ LAC,17,1,3,7,0,14,6,0,5,0,6,5,-21,25
16,0022300303,"DEC 11, 2023",SAC vs. BKN,24,3,0,3,0,13,9,4,4,0,2,2,17,30
17,0022301228,"DEC 08, 2023",SAC @ PHX,13,0,1,4,1,13,6,1,7,0,0,0,-1,17
18,0022301204,"DEC 04, 2023",SAC vs. NOP,14,1,0,4,1,11,5,4,8,0,0,0,-8,19
19,0022300290,"DEC 02, 2023",SAC vs. DEN,8,1,0,5,2,10,3,2,5,0,0,0,-16,14
20,0022300222,"NOV 20, 2023",SAC @ NOP,5,0,1,3,0,4,1,1,2,1,2,2,-20,8
21,0022300212,"NOV 19, 2023",SAC @ DAL,17,4,1,3,1,13,7,2,7,0,1,1,21,24
22,0022300032,"NOV 17, 2023",SAC @ SAS,6,3,1,6,2,10,3,0,4,0,0,0,19,15
23,0022300198,"NOV 15, 2023",SAC @ LAL,9,2,2,6,1,9,3,2,7,0,2,1,13,17
24,0022300191,"NOV 13, 2023",SAC vs. CLE,25,1,1,8,0,13,9,5,8,0,2,2,21,34
25,0022300016,"NOV 10, 2023",SAC vs. OKC,24,1,3,11,3,17,8,3,10,1,5,5,-3,36
26,0022300170,"NOV 08, 2023",SAC vs. POR,9,3,1,7,1,17,4,1,6,2,0,0,8,19
27,0022300153,"NOV 06, 2023",SAC @ HOU,12,1,1,5,2,11,5,2,6,0,0,0,-18,18
28,0022300137,"NOV 04, 2023",SAC @ HOU,7,1,0,2,0,12,3,1,8,0,0,0,-17,10
29,0022300126,"NOV 01, 2023",SAC @ GSW,10,3,2,6,0,15,4,0,7,0,2,2,3,19
30,0022300100,"OCT 29, 2023",SAC vs. LAL,17,5,2,8,1,14,6,3,9,1,3,2,13,30
31,0022300087,"OCT 27, 2023",SAC vs. GSW,16,1,2,7,4,16,6,3,11,1,2,1,-11,24
32,0022300072,"OCT 25, 2023",SAC @ UTA,15,1,1,8,0,13,5,4,9,2,1,1,12,24
