,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21301220,"APR 16, 2014",DET @ OKC,30,0,2,6,0,5,7,1
1,21301198,"APR 13, 2014",DET vs. TOR,4,0,0,2,0,0,1,0
2,21301181,"APR 11, 2014",DET @ CHI,3,0,0,2,1,1,3,0
3,21301162,"APR 09, 2014",DET @ CLE,2,2,1,2,0,0,3,1
4,21300677,"APR 08, 2014",DET @ ATL,6,0,3,3,0,0,1,1
5,21301146,"APR 05, 2014",DET vs. BOS,3,0,0,0,0,1,1,0
6,21301134,"APR 04, 2014",DET @ BKN,2,0,0,1,0,0,1,0
7,21301114,"APR 02, 2014",DET @ IND,0,1,0,1,0,0,0,0
8,21301104,"MAR 31, 2014",DET vs. MIL,2,0,0,1,0,0,1,0
9,21301087,"MAR 29, 2014",DET @ PHI,16,1,2,4,0,2,5,2
10,21301079,"MAR 28, 2014",DET vs. MIA,3,1,0,1,1,1,3,1
11,21301064,"MAR 26, 2014",DET vs. CLE,5,0,0,2,0,1,2,0
12,21301055,"MAR 24, 2014",DET @ UTA,13,0,2,4,0,1,3,0
13,21301039,"MAR 22, 2014",DET @ LAC,4,1,1,1,0,0,0,0
14,21301029,"MAR 21, 2014",DET @ PHX,4,0,0,2,0,0,0,0
15,21301015,"MAR 19, 2014",DET @ DEN,9,1,2,10,2,1,4,0
16,21300984,"MAR 15, 2014",DET vs. IND,0,1,1,0,0,0,1,0
17,21300960,"MAR 12, 2014",DET @ TOR,3,1,1,1,0,1,4,0
18,21300951,"MAR 11, 2014",DET vs. SAC,2,0,1,2,0,0,0,0
19,21300937,"MAR 09, 2014",DET @ BOS,0,0,0,0,0,0,0,0
20,21300922,"MAR 07, 2014",DET @ MIN,7,1,3,4,2,0,2,0
21,21300909,"MAR 05, 2014",DET vs. CHI,0,0,0,0,0,0,0,0
22,21300892,"MAR 03, 2014",DET vs. NYK,0,0,1,0,0,0,0,0
23,21300876,"MAR 01, 2014",DET @ HOU,5,0,1,0,0,1,1,0
24,21300859,"FEB 26, 2014",DET @ SAS,5,0,1,0,0,1,3,0
25,21300842,"FEB 24, 2014",DET vs. GSW,0,0,0,0,0,0,0,0
26,21300828,"FEB 22, 2014",DET vs. DAL,5,0,1,2,0,0,2,0
27,21300819,"FEB 21, 2014",DET vs. ATL,0,0,0,0,0,0,0,0
28,21300801,"FEB 19, 2014",DET @ CHA,0,0,0,0,0,0,0,0
29,21300795,"FEB 18, 2014",DET vs. CHA,0,0,0,0,0,0,0,0
30,21300782,"FEB 12, 2014",DET vs. CLE,0,1,0,1,2,0,1,0
31,21300766,"FEB 10, 2014",DET vs. SAS,9,0,1,1,2,1,5,0
32,21300751,"FEB 08, 2014",DET vs. DEN,0,1,0,0,0,0,1,1
33,21300744,"FEB 07, 2014",DET vs. BKN,0,0,1,0,0,0,1,0
34,21300733,"FEB 05, 2014",DET @ ORL,0,0,0,1,0,0,0,0
35,21300713,"FEB 03, 2014",DET @ MIA,0,0,0,1,0,0,0,0
36,21300700,"FEB 01, 2014",DET vs. PHI,12,0,1,0,1,2,5,0
37,21300669,"JAN 28, 2014",DET vs. ORL,4,1,0,2,0,0,2,0
38,21300659,"JAN 26, 2014",DET @ DAL,9,1,4,3,1,1,2,0
39,21300639,"JAN 24, 2014",DET vs. NOP,14,2,2,2,1,1,4,0
40,21300628,"JAN 22, 2014",DET @ MIL,9,4,2,6,0,1,2,0
41,21300607,"JAN 20, 2014",DET vs. LAC,6,2,3,1,0,0,1,0
42,21300595,"JAN 18, 2014",DET @ WAS,5,0,1,5,0,1,6,1
43,21300587,"JAN 17, 2014",DET vs. UTA,5,1,0,1,0,1,3,0
44,21300545,"JAN 11, 2014",DET vs. PHX,9,1,0,1,0,1,4,0
45,21300532,"JAN 10, 2014",DET @ PHI,12,2,3,7,1,2,4,0
46,21300521,"JAN 08, 2014",DET @ TOR,13,2,4,3,1,1,1,0
47,21300512,"JAN 07, 2014",DET @ NYK,2,2,0,3,1,0,3,1
