,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022101192,"APR 06, 2022",WAS @ ATL,9,2,0,2,3,1,3,0
1,0022101184,"APR 05, 2022",WAS @ MIN,13,3,1,3,2,1,5,0
2,0022101166,"APR 03, 2022",WAS @ BOS,17,0,1,4,1,1,4,1
3,0022101152,"APR 01, 2022",WAS vs. DAL,35,0,1,4,2,6,11,0
4,0022101138,"MAR 30, 2022",WAS vs. ORL,25,3,2,2,1,5,9,0
5,0022101132,"MAR 29, 2022",WAS vs. CHI,20,0,1,3,4,1,3,0
6,0022101117,"MAR 27, 2022",WAS vs. GSW,22,3,1,4,2,3,3,2
7,0022101101,"MAR 25, 2022",WAS @ DET,8,2,1,3,1,0,3,0
8,0022101097,"MAR 24, 2022",WAS @ MIL,16,2,2,5,1,3,10,0
9,0022101077,"MAR 21, 2022",WAS @ HOU,13,1,0,1,1,0,5,0
10,0022101061,"MAR 19, 2022",WAS vs. LAL,18,3,1,10,1,3,5,0
11,0022101050,"MAR 18, 2022",WAS @ NYK,9,2,1,3,2,1,5,2
12,0022101035,"MAR 16, 2022",WAS vs. DEN,12,1,2,4,2,2,5,0
13,0022101025,"MAR 14, 2022",WAS @ GSW,19,1,2,2,0,1,4,0
14,0022101011,"MAR 12, 2022",WAS @ POR,26,5,1,4,1,5,10,0
15,0022101004,"MAR 11, 2022",WAS @ LAL,4,1,1,1,2,0,1,0
16,0022100992,"MAR 09, 2022",WAS @ LAC,16,3,2,6,0,2,7,0
17,0022100963,"MAR 06, 2022",WAS vs. IND,19,5,1,2,0,3,9,0
18,0022100948,"MAR 04, 2022",WAS vs. ATL,28,5,0,5,1,6,6,0
19,0022100926,"MAR 01, 2022",WAS vs. DET,15,3,0,3,2,3,4,0
20,0022100907,"FEB 26, 2022",WAS @ CLE,13,3,1,0,2,0,2,1
21,0022100899,"FEB 25, 2022",WAS vs. SAS,24,4,2,1,1,4,10,0
22,0022100464,"FEB 17, 2022",WAS @ BKN,7,2,1,5,1,1,3,0
23,0022100876,"FEB 16, 2022",WAS @ IND,27,1,3,3,1,5,8,0
24,0022100858,"FEB 14, 2022",WAS vs. DET,16,3,0,2,2,4,6,1
25,0022100847,"FEB 12, 2022",WAS vs. SAC,11,0,1,4,0,1,4,0
26,0022100832,"FEB 10, 2022",WAS vs. BKN,13,2,2,5,1,1,2,0
27,0022100811,"FEB 07, 2022",WAS vs. MIA,9,2,0,1,0,1,4,0
28,0022100798,"FEB 05, 2022",WAS vs. PHX,8,0,2,1,1,1,4,0
29,0022100774,"FEB 02, 2022",WAS @ PHI,4,1,0,4,0,0,1,0
30,0022100768,"FEB 01, 2022",WAS @ MIL,12,2,1,1,0,1,4,1
31,0022100749,"JAN 29, 2022",WAS @ MEM,15,0,0,2,0,3,6,0
32,0022100716,"JAN 25, 2022",WAS vs. LAC,12,1,0,3,0,1,2,0
33,0022100699,"JAN 23, 2022",WAS vs. BOS,8,1,0,1,0,0,4,1
34,0022100689,"JAN 21, 2022",WAS vs. TOR,10,5,1,3,2,2,5,0
35,0022100669,"JAN 19, 2022",WAS vs. BKN,9,1,1,3,3,1,6,0
36,0022100656,"JAN 17, 2022",WAS vs. PHI,14,1,2,3,0,2,6,0
37,0022100642,"JAN 15, 2022",WAS vs. POR,8,2,0,2,3,0,4,0
38,0022100620,"JAN 12, 2022",WAS vs. ORL,12,4,1,10,1,3,7,0
39,0022100612,"JAN 11, 2022",WAS vs. OKC,16,3,0,3,2,3,7,2
