,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21801220,"APR 10, 2019",ATL vs. IND,17,3,1,5,3,5,6,1
1,21801202,"APR 07, 2019",ATL @ MIL,9,6,0,4,1,1,3,0
2,21801168,"APR 03, 2019",ATL vs. PHI,15,5,1,4,0,2,4,0
3,21801162,"APR 02, 2019",ATL @ SAS,13,1,2,2,1,1,3,1
4,21801145,"MAR 31, 2019",ATL vs. MIL,9,4,0,3,1,3,6,1
5,21801131,"MAR 29, 2019",ATL vs. POR,11,4,0,4,1,1,6,0
6,21801113,"MAR 26, 2019",ATL @ NOP,8,3,2,1,1,2,7,0
7,21801088,"MAR 23, 2019",ATL vs. PHI,7,5,2,3,0,1,3,0
8,21801076,"MAR 21, 2019",ATL vs. UTA,14,2,0,1,2,2,6,0
9,21801060,"MAR 19, 2019",ATL vs. HOU,4,4,2,3,0,0,6,1
10,21801046,"MAR 17, 2019",ATL @ ORL,3,0,0,3,2,1,3,1
11,21801034,"MAR 16, 2019",ATL @ BOS,10,3,1,5,3,2,8,0
12,21801016,"MAR 13, 2019",ATL vs. MEM,16,4,1,5,1,4,6,1
13,21800995,"MAR 10, 2019",ATL vs. NOP,27,3,1,4,1,4,7,0
14,21800987,"MAR 09, 2019",ATL vs. BKN,4,1,0,5,1,0,2,0
15,21800968,"MAR 06, 2019",ATL vs. SAS,7,5,0,4,2,1,6,0
16,21800953,"MAR 04, 2019",ATL @ MIA,13,2,0,3,1,3,8,0
17,21800946,"MAR 03, 2019",ATL @ CHI,12,3,2,1,0,2,4,0
18,21800928,"MAR 01, 2019",ATL vs. CHI,15,0,1,2,0,3,7,0
19,21800912,"FEB 27, 2019",ATL vs. MIN,6,3,1,6,1,2,5,0
20,21800903,"FEB 25, 2019",ATL @ HOU,7,1,1,2,1,1,3,0
21,21800865,"FEB 14, 2019",ATL vs. NYK,0,4,0,4,2,0,2,0
22,21800848,"FEB 12, 2019",ATL vs. LAL,5,2,2,1,1,0,4,0
23,21800837,"FEB 10, 2019",ATL vs. ORL,15,2,1,3,1,2,5,0
24,21800827,"FEB 09, 2019",ATL vs. CHA,17,1,1,4,2,3,3,0
25,21800813,"FEB 07, 2019",ATL vs. TOR,5,5,0,3,3,1,4,0
26,21800791,"FEB 04, 2019",ATL @ WAS,19,4,1,5,1,5,6,0
27,21800784,"FEB 02, 2019",ATL @ PHX,10,5,2,7,3,2,6,0
28,21800773,"FEB 01, 2019",ATL @ UTA,14,7,0,2,0,4,7,0
29,21800762,"JAN 30, 2019",ATL @ SAC,11,4,2,4,1,3,7,1
30,21800748,"JAN 28, 2019",ATL @ LAC,5,4,2,4,2,1,6,1
31,21800734,"JAN 26, 2019",ATL @ POR,3,1,1,1,1,0,5,0
32,21800683,"JAN 19, 2019",ATL vs. BOS,18,7,3,4,2,4,10,0
33,21800653,"JAN 15, 2019",ATL vs. OKC,17,4,0,3,3,5,8,0
34,21800640,"JAN 13, 2019",ATL vs. MIL,11,3,1,2,3,2,5,1
35,21800621,"JAN 11, 2019",ATL @ PHI,29,3,2,3,2,5,8,0
36,21800609,"JAN 09, 2019",ATL @ BKN,14,3,0,10,2,0,4,0
37,21800587,"JAN 06, 2019",ATL vs. MIA,10,7,2,8,3,2,7,0
38,21800572,"JAN 04, 2019",ATL @ MIL,10,1,1,2,3,1,5,0
39,21800556,"JAN 02, 2019",ATL @ WAS,12,5,0,1,2,1,7,1
40,21800542,"DEC 31, 2018",ATL @ IND,22,2,0,0,2,6,9,1
41,21800529,"DEC 29, 2018",ATL vs. CLE,7,4,0,5,2,1,5,0
42,21800522,"DEC 28, 2018",ATL @ MIN,10,3,1,4,2,2,7,1
43,21800504,"DEC 26, 2018",ATL vs. IND,3,5,1,2,2,1,5,0
44,21800486,"DEC 23, 2018",ATL @ DET,8,2,1,2,0,0,2,1
45,21800472,"DEC 21, 2018",ATL @ NYK,16,1,1,1,3,2,6,1
46,21800452,"DEC 18, 2018",ATL vs. WAS,13,2,1,4,2,3,8,0
47,21800436,"DEC 16, 2018",ATL @ BKN,4,2,0,1,1,0,1,0
48,21800420,"DEC 14, 2018",ATL @ BOS,19,3,3,2,5,5,8,1
49,21800412,"DEC 12, 2018",ATL @ DAL,19,1,1,1,4,4,6,1
50,21800380,"DEC 08, 2018",ATL vs. DEN,8,4,2,2,1,2,6,1
51,21800357,"DEC 05, 2018",ATL vs. WAS,8,4,0,3,1,2,5,1
52,21800344,"DEC 03, 2018",ATL vs. GSW,10,4,1,5,3,0,2,1
53,21800325,"NOV 30, 2018",ATL @ OKC,5,4,2,6,3,1,2,0
54,21800306,"NOV 28, 2018",ATL @ CHA,12,4,0,5,2,4,7,0
55,21800302,"NOV 27, 2018",ATL @ MIA,8,1,0,1,1,2,4,0
56,21800288,"NOV 25, 2018",ATL vs. CHA,4,5,2,3,1,1,1,0
57,21800268,"NOV 23, 2018",ATL vs. BOS,4,3,0,3,0,0,3,1
58,21800254,"NOV 21, 2018",ATL vs. TOR,10,2,0,4,0,2,4,1
59,21800243,"NOV 19, 2018",ATL vs. LAC,8,0,0,1,1,2,3,0
60,21800226,"NOV 17, 2018",ATL @ IND,5,3,1,3,2,1,4,1
61,21800214,"NOV 15, 2018",ATL @ DEN,10,1,1,3,2,2,6,0
62,21800201,"NOV 13, 2018",ATL @ GSW,2,0,1,2,2,0,0,0
63,21800189,"NOV 11, 2018",ATL @ LAL,0,1,0,0,0,0,3,0
64,21800169,"NOV 09, 2018",ATL vs. DET,2,3,0,6,0,0,2,0
65,21800149,"NOV 06, 2018",ATL @ CHA,7,3,3,5,1,0,2,1
66,21800128,"NOV 03, 2018",ATL vs. MIA,12,3,1,1,1,2,5,0
67,21800114,"NOV 01, 2018",ATL vs. SAC,3,0,0,0,0,1,1,0
68,21800097,"OCT 30, 2018",ATL @ CLE,13,0,0,1,2,3,4,0
69,21800088,"OCT 29, 2018",ATL @ PHI,2,1,0,3,1,0,2,1
70,21800076,"OCT 27, 2018",ATL vs. CHI,6,2,1,6,0,2,4,0
71,21800052,"OCT 24, 2018",ATL vs. DAL,3,1,0,4,2,0,1,0
72,21800036,"OCT 21, 2018",ATL @ CLE,9,4,2,10,0,3,5,1
73,21800020,"OCT 19, 2018",ATL @ MEM,3,2,0,2,0,0,2,0
74,21800007,"OCT 17, 2018",ATL @ NYK,0,0,0,3,0,0,0,0
75,21900969,"MAR 11, 2020",ATL vs. NYK,8,7,1,2,0,0,4,1
76,21900957,"MAR 09, 2020",ATL vs. CHA,10,6,0,5,1,2,7,0
77,21900943,"MAR 07, 2020",ATL @ MEM,11,6,2,5,4,3,6,0
78,21900930,"MAR 06, 2020",ATL @ WAS,14,10,1,1,1,2,8,1
79,21900905,"MAR 02, 2020",ATL vs. MEM,13,4,2,5,0,3,8,1
80,21900888,"FEB 29, 2020",ATL vs. POR,19,8,3,4,1,3,7,1
81,21900878,"FEB 28, 2020",ATL vs. BKN,15,3,0,4,0,3,4,1
82,21900867,"FEB 26, 2020",ATL vs. ORL,13,3,0,3,2,3,7,0
83,21900850,"FEB 24, 2020",ATL @ PHI,9,4,1,5,1,1,4,1
84,21900837,"FEB 22, 2020",ATL vs. DAL,3,6,4,3,1,1,8,0
85,21900821,"FEB 20, 2020",ATL vs. MIA,17,4,0,7,2,3,8,0
86,21900807,"FEB 12, 2020",ATL @ CLE,11,2,1,1,4,3,7,0
87,21900795,"FEB 10, 2020",ATL @ ORL,12,7,0,2,3,2,7,0
