,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022001049,"MAY 13, 2021",ATL vs. ORL,14,2,1,6,0,2,5,0
1,0022001042,"MAY 12, 2021",ATL vs. WAS,6,3,0,6,2,1,5,0
2,0022001026,"MAY 10, 2021",ATL vs. WAS,7,3,0,4,1,1,6,0
3,0022001000,"MAY 06, 2021",ATL @ IND,8,6,2,1,1,2,5,2
4,0022000992,"MAY 05, 2021",ATL vs. PHX,13,2,0,2,0,3,5,0
5,0022000978,"MAY 03, 2021",ATL vs. POR,4,5,1,4,0,0,3,0
6,0022000959,"MAY 01, 2021",ATL vs. CHI,6,1,1,3,1,2,5,1
7,0022000916,"APR 26, 2021",ATL @ DET,15,2,2,1,2,1,3,0
8,0022000913,"APR 25, 2021",ATL vs. MIL,20,3,1,2,2,1,5,0
9,0022000898,"APR 23, 2021",ATL vs. MIA,11,6,5,4,2,3,8,0
10,0022000886,"APR 21, 2021",ATL @ NYK,17,4,0,3,1,2,8,1
11,0022000876,"APR 20, 2021",ATL vs. ORL,15,2,3,2,0,3,8,0
12,0022000861,"APR 18, 2021",ATL vs. IND,23,3,2,9,2,5,7,1
13,0022000840,"APR 15, 2021",ATL vs. MIL,16,4,1,6,1,2,4,0
14,0022000824,"APR 13, 2021",ATL @ TOR,17,4,1,0,0,3,6,0
15,0022000805,"APR 11, 2021",ATL @ CHA,10,7,0,2,2,1,6,0
16,0022000791,"APR 09, 2021",ATL vs. CHI,11,5,2,2,0,1,4,1
17,0022000780,"APR 07, 2021",ATL vs. MEM,13,4,0,5,0,1,4,1
18,0022000770,"APR 06, 2021",ATL vs. NOP,17,2,0,3,0,3,4,0
19,0022000759,"APR 04, 2021",ATL vs. GSW,10,4,3,1,0,2,7,0
20,0022000742,"APR 02, 2021",ATL @ NOP,24,3,0,1,2,2,5,0
21,0022000735,"APR 01, 2021",ATL @ SAS,0,1,0,1,1,0,3,0
22,0022000171,"MAR 30, 2021",ATL @ PHX,12,3,1,1,0,3,6,0
23,0022000705,"MAR 28, 2021",ATL @ DEN,8,2,0,0,2,2,5,0
24,0022000692,"MAR 26, 2021",ATL @ GSW,5,5,0,2,1,1,6,0
