,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21100990,"APR 26, 2012",GSW vs. SAS,17,6,0,5,3,2,7,0
1,21100970,"APR 24, 2012",GSW vs. NOH,16,0,1,3,2,1,3,0
2,21100957,"APR 22, 2012",GSW @ MIN,17,3,1,4,3,0,6,2
3,21100948,"APR 21, 2012",GSW @ HOU,24,3,1,4,3,2,5,0
4,21100940,"APR 20, 2012",GSW @ DAL,26,4,1,3,1,3,4,0
5,21100931,"APR 18, 2012",GSW vs. LAL,17,5,1,4,3,1,8,0
6,21100912,"APR 16, 2012",GSW vs. SAS,29,5,2,8,3,2,5,0
7,21100886,"APR 14, 2012",GSW @ LAC,24,2,4,4,3,4,7,0
8,21100873,"APR 12, 2012",GSW vs. DAL,24,8,2,7,2,3,6,1
9,21100868,"APR 11, 2012",GSW @ POR,12,2,0,4,1,2,3,1
10,21100849,"APR 09, 2012",GSW @ DEN,17,1,0,1,2,4,7,0
11,21100834,"APR 07, 2012",GSW vs. DEN,15,0,0,2,1,2,5,2
12,21100824,"APR 06, 2012",GSW @ UTA,23,1,3,5,4,4,5,0
13,21100806,"APR 04, 2012",GSW @ MIN,13,0,1,4,2,1,5,0
14,21100796,"APR 03, 2012",GSW @ MEM,6,2,1,1,3,0,2,1
15,21100784,"APR 01, 2012",GSW @ LAL,18,3,1,2,0,2,8,0
16,21100768,"MAR 30, 2012",GSW vs. NJN,14,1,0,2,0,4,6,0
17,21100752,"MAR 28, 2012",GSW vs. NOH,13,3,1,3,5,2,5,1
18,21100742,"MAR 27, 2012",GSW vs. LAL,20,7,2,5,1,0,5,0
19,21100725,"MAR 25, 2012",GSW @ POR,16,2,0,2,4,2,6,0
20,21100718,"MAR 24, 2012",GSW vs. SAC,31,2,2,1,2,4,9,2
21,21100696,"MAR 22, 2012",GSW @ HOU,10,3,1,1,2,0,2,0
22,21100688,"MAR 21, 2012",GSW @ NOH,27,5,1,5,3,4,8,0
23,21100675,"MAR 19, 2012",GSW vs. MIN,17,1,1,1,1,3,6,1
24,21100661,"MAR 17, 2012",GSW @ UTA,17,2,3,2,3,2,8,1
25,21100653,"MAR 16, 2012",GSW vs. MIL,19,4,1,3,0,3,5,0
26,21100637,"MAR 14, 2012",GSW vs. BOS,26,4,0,1,4,3,7,0
27,21100625,"MAR 13, 2012",GSW @ SAC,14,5,0,4,0,0,5,1
28,21100610,"MAR 11, 2012",GSW @ LAC,11,2,0,0,0,2,3,0
29,21100602,"MAR 10, 2012",GSW vs. DAL,13,3,2,3,0,1,4,0
30,21100581,"MAR 07, 2012",GSW vs. MEM,16,1,0,6,1,3,5,0
31,21100555,"MAR 05, 2012",GSW @ WAS,18,2,0,2,2,4,5,0
