,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0021201230,"APR 17, 2013",GSW @ POR,24,0,1,3,2,5,7,0
1,0021201212,"APR 15, 2013",GSW vs. SAS,23,2,1,5,3,1,4,2
2,0021201189,"APR 12, 2013",GSW @ LAL,25,7,2,2,1,2,7,0
3,0021201175,"APR 11, 2013",GSW vs. OKC,6,1,1,0,2,0,3,1
4,0021201163,"APR 09, 2013",GSW vs. MIN,30,2,5,3,2,6,10,0
5,0021201151,"APR 07, 2013",GSW vs. UTA,20,2,1,2,3,2,3,1
6,0021201134,"APR 05, 2013",GSW @ PHX,25,3,4,0,3,3,4,1
7,0021201122,"APR 03, 2013",GSW vs. NOH,8,2,1,2,1,0,2,1
8,0021201094,"MAR 30, 2013",GSW vs. POR,6,1,1,4,0,1,4,0
9,0021201069,"MAR 27, 2013",GSW vs. SAC,4,4,0,3,2,1,8,0
10,0021201053,"MAR 25, 2013",GSW vs. LAL,22,3,2,4,1,6,11,1
11,0021201039,"MAR 23, 2013",GSW vs. WAS,18,2,0,0,3,3,7,0
12,0021201016,"MAR 20, 2013",GSW @ SAS,9,0,1,3,2,1,1,1
13,0021201001,"MAR 18, 2013",GSW @ NOH,13,1,1,5,4,3,6,0
14,0021200988,"MAR 17, 2013",GSW @ HOU,26,0,1,4,4,6,9,0
15,0021200978,"MAR 15, 2013",GSW vs. CHI,7,3,1,1,2,0,4,0
16,0021200966,"MAR 13, 2013",GSW vs. DET,10,1,1,3,1,1,6,1
17,0021200947,"MAR 11, 2013",GSW vs. NYK,23,1,3,5,0,4,7,1
18,0021200933,"MAR 09, 2013",GSW vs. MIL,18,2,1,3,1,2,5,0
19,0021200926,"MAR 08, 2013",GSW vs. HOU,22,3,0,5,2,4,6,2
20,0021200912,"MAR 06, 2013",GSW vs. SAC,20,2,0,5,2,4,10,0
21,0021200895,"MAR 04, 2013",GSW vs. TOR,22,4,0,1,2,4,5,1
22,0021200876,"MAR 02, 2013",GSW @ PHI,29,2,3,3,4,7,12,0
23,0021200867,"MAR 01, 2013",GSW @ BOS,15,4,0,9,2,1,7,1
24,0021200853,"FEB 27, 2013",GSW @ NYK,6,0,1,4,0,0,6,1
25,0021200844,"FEB 26, 2013",GSW @ IND,13,2,2,4,0,3,6,0
26,0021200832,"FEB 24, 2013",GSW @ MIN,10,0,2,3,2,1,3,0
27,0021200822,"FEB 22, 2013",GSW vs. SAS,10,3,1,3,1,0,3,1
28,0021200808,"FEB 20, 2013",GSW vs. PHX,28,4,0,8,2,4,8,1
29,0021200795,"FEB 19, 2013",GSW @ UTA,15,0,0,7,1,0,2,0
30,0021200774,"FEB 12, 2013",GSW vs. HOU,22,1,1,3,3,1,5,1
31,0021200750,"FEB 09, 2013",GSW @ DAL,11,0,1,3,2,3,7,0
32,0021200742,"FEB 08, 2013",GSW @ MEM,9,1,2,2,6,1,4,2
33,0021200729,"FEB 06, 2013",GSW @ OKC,19,2,1,3,2,3,6,0
34,0021200718,"FEB 05, 2013",GSW @ HOU,6,1,1,1,2,0,1,0
35,0021200704,"FEB 02, 2013",GSW vs. PHX,17,7,1,7,0,2,5,0
36,0021200683,"JAN 31, 2013",GSW vs. DAL,27,0,1,1,0,3,7,0
37,0021200666,"JAN 29, 2013",GSW @ CLE,32,2,0,7,3,6,8,3
38,0021200659,"JAN 28, 2013",GSW @ TOR,19,1,2,7,3,3,7,0
39,0021200647,"JAN 26, 2013",GSW @ MIL,19,1,2,3,1,3,11,0
40,0021200636,"JAN 25, 2013",GSW @ CHI,13,1,2,8,0,0,4,1
41,0021200628,"JAN 23, 2013",GSW vs. OKC,19,2,0,1,1,3,6,0
42,0021200610,"JAN 21, 2013",GSW vs. LAC,18,1,1,2,2,3,8,0
43,0021200596,"JAN 19, 2013",GSW @ NOH,29,1,1,3,2,5,7,0
44,0021200590,"JAN 18, 2013",GSW @ SAS,21,3,2,3,2,4,11,0
45,0021200579,"JAN 16, 2013",GSW vs. MIA,2,3,0,2,4,0,4,0
46,0021200553,"JAN 13, 2013",GSW @ DEN,13,3,0,6,5,1,7,1
47,0021200540,"JAN 11, 2013",GSW vs. POR,16,2,1,4,5,2,5,0
48,0021200526,"JAN 09, 2013",GSW vs. MEM,20,7,1,7,1,2,6,0
49,0021200498,"JAN 05, 2013",GSW @ LAC,14,2,0,1,1,3,7,2
50,0021200475,"JAN 02, 2013",GSW vs. LAC,19,3,1,3,4,5,9,0
51,0021200447,"DEC 29, 2012",GSW vs. BOS,13,1,1,6,0,3,6,2
52,0021200436,"DEC 28, 2012",GSW vs. PHI,14,3,2,1,2,4,7,1
53,0021200420,"DEC 26, 2012",GSW @ UTA,15,2,3,1,0,2,3,0
54,0021200398,"DEC 22, 2012",GSW vs. LAL,18,3,1,4,2,3,8,1
55,0021200389,"DEC 21, 2012",GSW vs. CHA,20,1,1,3,1,4,8,0
56,0021200375,"DEC 19, 2012",GSW @ SAC,11,5,2,5,0,3,6,1
57,0021200365,"DEC 18, 2012",GSW vs. NOH,19,2,3,4,1,3,8,0
58,0021200337,"DEC 15, 2012",GSW @ ATL,7,1,0,4,1,1,3,0
59,0021200330,"DEC 14, 2012",GSW @ ORL,9,4,2,4,1,3,8,1
60,0021200314,"DEC 12, 2012",GSW @ MIA,27,4,2,7,3,5,14,1
61,0021200299,"DEC 10, 2012",GSW @ CHA,10,6,0,2,1,2,5,1
62,0021200283,"DEC 08, 2012",GSW @ WAS,23,5,0,6,3,5,9,2
63,0021200272,"DEC 07, 2012",GSW @ BKN,13,2,2,5,1,3,7,0
64,0021200261,"DEC 05, 2012",GSW @ DET,27,1,2,4,0,5,8,1
65,0021200250,"DEC 03, 2012",GSW vs. ORL,8,4,0,2,1,2,6,0
66,0021200242,"DEC 01, 2012",GSW vs. IND,22,0,0,7,3,4,10,1
67,0021200221,"NOV 29, 2012",GSW vs. DEN,21,3,0,9,3,1,6,1
68,0021200190,"NOV 24, 2012",GSW vs. MIN,24,1,0,3,1,1,8,0
69,0021200179,"NOV 23, 2012",GSW @ DEN,16,3,0,1,0,4,7,0
70,0021200170,"NOV 21, 2012",GSW vs. BKN,23,3,0,1,2,3,6,0
71,0021200151,"NOV 19, 2012",GSW @ DAL,7,2,1,3,4,1,6,1
72,0021200143,"NOV 18, 2012",GSW @ OKC,4,1,0,4,1,0,3,1
73,0021200126,"NOV 16, 2012",GSW @ MIN,12,2,1,3,2,1,6,0
74,0021200118,"NOV 14, 2012",GSW vs. ATL,7,4,0,1,3,1,5,0
75,0021200089,"NOV 10, 2012",GSW vs. DEN,23,1,0,5,3,5,15,2
76,0021200080,"NOV 09, 2012",GSW @ LAL,15,1,0,2,2,3,8,0
77,0021200065,"NOV 07, 2012",GSW vs. CLE,13,1,1,2,4,1,5,0
78,0021200048,"NOV 05, 2012",GSW @ SAC,22,3,2,7,1,3,9,0
