Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST,PTS+AST,REB+AST
0022300541,"JAN 12, 2024",CHA @ SAS,28,5,5,3,6,14,5,3,9,0,16,15,-16,36,33,8
0022300248,"NOV 26, 2023",CHA @ ORL,7,2,0,1,1,6,3,1,3,0,0,0,-2,10,9,3
0022300225,"NOV 22, 2023",CHA vs. WAS,34,13,1,8,4,31,13,6,16,0,3,2,4,55,47,21
0022300217,"NOV 20, 2023",CHA vs. BOS,36,8,2,9,5,27,15,5,11,1,1,1,3,53,44,17
0022300202,"NOV 18, 2023",CHA vs. NYK,34,9,1,5,3,22,12,8,13,0,2,2,-16,48,43,14
0022300027,"NOV 17, 2023",CHA vs. MIL,37,5,1,5,6,28,12,2,9,0,12,11,-18,47,42,10
0022300017,"NOV 14, 2023",CHA vs. MIA,28,11,3,6,8,26,9,4,10,0,6,6,2,45,39,17
0022300177,"NOV 12, 2023",CHA @ NYK,32,6,1,7,2,20,13,4,8,1,2,2,-32,45,38,13
0022300009,"NOV 10, 2023",CHA @ WAS,25,6,2,6,2,19,9,4,8,0,4,3,0,37,31,12
0022300157,"NOV 08, 2023",CHA vs. WAS,34,7,1,4,6,22,13,3,9,0,7,5,-3,45,41,11
0022300143,"NOV 05, 2023",CHA @ DAL,30,13,1,10,3,23,11,5,10,1,3,3,1,53,43,23
0022300133,"NOV 04, 2023",CHA @ IND,11,11,2,2,6,15,4,2,7,0,1,1,-15,24,22,13
0022300122,"NOV 01, 2023",CHA @ HOU,19,5,1,1,3,15,7,2,6,0,4,3,-14,25,24,6
0022300101,"OCT 30, 2023",CHA vs. BKN,8,8,2,3,3,12,3,0,6,0,2,2,-3,19,16,11
0022300077,"OCT 27, 2023",CHA vs. DET,20,9,2,9,4,17,4,2,7,1,12,10,-7,38,29,18
0022300063,"OCT 25, 2023",CHA vs. ATL,15,10,1,6,3,15,4,4,11,0,4,3,7,31,25,16
