,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,REB+AST
0,0022300524,"JAN 10, 2024",UTA vs. DEN,26,2,0,12,0,13,6,2,5,1,12,12,17,14
1,0022300510,"JAN 08, 2024",UTA @ MIL,21,2,1,14,0,15,5,4,10,2,8,7,8,16
2,0022300495,"JAN 06, 2024",UTA @ PHI,33,1,0,13,1,19,12,5,9,1,5,4,8,14
3,0022300479,"JAN 05, 2024",UTA @ BOS,17,5,0,5,0,16,7,2,7,0,2,1,-14,10
4,0022300474,"JAN 03, 2024",UTA vs. DET,31,0,0,7,1,18,10,4,8,1,8,7,12,7
5,0022300457,"JAN 01, 2024",UTA vs. DAL,17,1,1,4,1,12,6,4,8,1,1,1,8,5
6,0022300439,"DEC 30, 2023",UTA vs. MIA,12,1,2,5,0,13,4,1,8,0,4,3,1,6
7,0022300424,"DEC 28, 2023",UTA @ NOP,24,5,1,10,2,19,7,3,12,0,7,7,2,15
8,0022300412,"DEC 26, 2023",UTA @ SAS,31,2,1,12,1,17,12,5,9,0,2,2,20,14
9,0022300395,"DEC 23, 2023",UTA @ TOR,30,5,3,9,1,21,12,4,10,0,2,2,9,14
10,0022300364,"DEC 20, 2023",UTA @ CLE,26,1,0,10,0,18,8,3,9,0,8,7,-7,11
11,0022300357,"DEC 18, 2023",UTA vs. BKN,20,4,0,10,2,14,6,1,5,1,7,7,15,14
12,0022300342,"DEC 16, 2023",UTA @ SAC,18,3,0,6,2,13,7,2,5,0,2,2,-2,9
13,0022300318,"DEC 13, 2023",UTA vs. NYK,23,0,0,7,0,13,7,4,8,0,7,5,-14,7
14,0022300237,"NOV 22, 2023",UTA @ POR,24,0,3,8,2,18,9,1,6,0,6,5,-1,8
15,0022300042,"NOV 21, 2023",UTA @ LAL,10,0,1,8,0,10,4,2,7,0,0,0,-9,8
16,0022300214,"NOV 19, 2023",UTA vs. PHX,38,0,2,17,1,27,15,2,10,2,9,6,2,17
17,0022300035,"NOV 17, 2023",UTA vs. PHX,21,0,1,2,0,12,5,1,4,2,12,10,1,2
18,0022300023,"NOV 14, 2023",UTA vs. POR,21,0,1,9,0,18,8,2,9,1,4,3,9,9
19,0022300012,"NOV 10, 2023",UTA @ MEM,26,1,2,7,3,13,8,4,9,2,6,6,-1,8
20,0022300158,"NOV 08, 2023",UTA @ IND,24,0,1,9,1,16,8,3,5,1,6,5,-12,9
21,0022300152,"NOV 06, 2023",UTA @ CHI,29,3,0,5,1,15,8,5,12,1,8,8,-12,8
22,0022300138,"NOV 04, 2023",UTA @ MIN,22,1,0,8,2,20,7,4,11,1,5,4,-16,9
23,0022300130,"NOV 02, 2023",UTA vs. ORL,22,1,2,7,3,17,9,4,10,0,2,0,2,8
24,0022300125,"NOV 01, 2023",UTA vs. MEM,19,1,1,11,0,11,6,4,6,0,3,3,10,12
25,0022300110,"OCT 30, 2023",UTA @ DEN,27,5,0,14,2,24,10,5,13,1,2,2,3,19
26,0022300094,"OCT 28, 2023",UTA @ PHX,19,0,1,3,1,13,7,5,7,2,0,0,-21,3
27,0022300085,"OCT 27, 2023",UTA vs. LAC,35,3,0,12,3,23,12,5,13,0,6,6,11,15
28,0022300072,"OCT 25, 2023",UTA vs. SAC,19,1,2,10,1,15,6,2,6,0,6,5,-7,11
