,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,20301179,"APR 14, 2004",CLE @ NYK,17,5,3,1,5,0,3,0
1,20301162,"APR 12, 2004",CLE vs. MIL,27,9,2,7,1,1,4,0
2,20301151,"APR 10, 2004",CLE vs. MIA,10,11,0,3,2,0,2,0
3,20301137,"APR 09, 2004",CLE @ MIA,24,8,1,7,8,1,1,0
4,20301128,"APR 07, 2004",CLE @ MEM,14,5,3,3,2,0,0,0
5,20301115,"APR 06, 2004",CLE vs. TOR,21,4,3,6,3,0,0,0
6,20301102,"APR 03, 2004",CLE vs. GSW,34,10,1,8,3,3,5,1
7,20301097,"APR 02, 2004",CLE @ MIL,20,7,5,7,5,0,0,0
8,20301073,"MAR 30, 2004",CLE @ DAL,28,6,4,5,3,0,2,0
9,20301069,"MAR 29, 2004",CLE @ SAS,18,4,0,2,2,0,1,1
10,20301050,"MAR 27, 2004",CLE vs. NJN,41,13,3,6,2,1,2,0
11,20301038,"MAR 26, 2004",CLE @ PHI,16,7,0,3,5,1,2,1
12,20301018,"MAR 23, 2004",CLE vs. PHX,25,6,3,2,5,2,5,1
13,20301008,"MAR 21, 2004",CLE vs. DET,15,3,0,7,4,1,4,2
14,20300989,"MAR 19, 2004",CLE vs. UTA,14,7,2,0,2,0,2,1
15,20300967,"MAR 16, 2004",CLE vs. CHI,17,8,0,5,4,2,3,5
16,20300957,"MAR 14, 2004",CLE vs. IND,26,4,3,3,4,0,2,1
17,20300928,"MAR 10, 2004",CLE @ TOR,14,4,1,3,2,0,0,0
18,20300914,"MAR 08, 2004",CLE @ ATL,34,7,1,6,2,1,4,0
19,20300899,"MAR 06, 2004",CLE vs. MIL,24,10,4,7,2,0,3,1
20,20300890,"MAR 05, 2004",CLE @ NOH,19,4,2,6,4,2,2,0
21,20300876,"MAR 03, 2004",CLE vs. ATL,24,3,1,7,1,1,2,1
22,20300865,"MAR 01, 2004",CLE @ CHI,18,3,4,3,3,0,2,1
23,20300838,"FEB 27, 2004",CLE @ ORL,30,3,3,11,5,1,1,1
24,20300830,"FEB 25, 2004",CLE @ HOU,11,5,2,7,2,0,2,1
25,20300812,"FEB 23, 2004",CLE vs. NOH,21,6,2,4,1,1,5,5
26,20300802,"FEB 22, 2004",CLE @ NYK,22,3,1,5,1,0,0,0
27,20300789,"FEB 20, 2004",CLE vs. SAS,32,2,2,11,2,0,0,1
28,20300775,"FEB 18, 2004",CLE vs. DAL,16,9,0,4,5,0,0,1
29,20300752,"FEB 11, 2004",CLE vs. NJN,9,5,1,2,5,0,1,0
30,20300737,"FEB 09, 2004",CLE vs. BOS,24,3,2,6,1,1,6,1
31,20300725,"FEB 07, 2004",CLE vs. WAS,14,6,4,0,3,0,0,1
32,20300715,"FEB 06, 2004",CLE @ MIN,14,5,0,9,3,1,3,0
33,20300703,"FEB 04, 2004",CLE vs. LAL,32,4,0,4,0,4,4,0
34,20300694,"FEB 03, 2004",CLE @ DET,12,6,2,4,1,0,1,0
35,20300680,"FEB 01, 2004",CLE @ WAS,38,4,0,6,6,1,2,2
36,20300666,"JAN 30, 2004",CLE @ MIL,20,3,1,8,5,1,6,0
37,20300647,"JAN 28, 2004",CLE vs. MIA,27,4,2,5,1,0,1,1
38,20300635,"JAN 26, 2004",CLE vs. ORL,16,3,0,5,3,1,2,2
39,20300573,"JAN 17, 2004",CLE @ UTA,29,2,2,7,4,2,4,1
40,20300556,"JAN 15, 2004",CLE @ GSW,29,6,3,6,2,2,5,0
41,20300541,"JAN 13, 2004",CLE @ SEA,27,9,2,9,4,0,1,0
42,20300531,"JAN 12, 2004",CLE @ LAL,16,7,1,5,6,0,3,1
43,20300508,"JAN 09, 2004",CLE @ BOS,19,6,3,3,5,0,3,0
44,20300494,"JAN 07, 2004",CLE @ TOR,21,5,0,2,2,0,3,0
45,20300485,"JAN 06, 2004",CLE vs. NYK,14,10,1,4,4,0,2,1
46,20300455,"JAN 02, 2004",CLE @ NJN,14,9,1,4,3,0,4,0
47,20300440,"DEC 30, 2003",CLE vs. IND,22,4,0,10,4,0,4,0
48,20300424,"DEC 28, 2003",CLE vs. POR,32,9,3,10,5,0,2,0
49,20300405,"DEC 26, 2003",CLE vs. CHI,18,4,1,3,5,1,4,2
50,20300401,"DEC 25, 2003",CLE @ ORL,34,6,2,2,8,4,10,1
51,20300389,"DEC 23, 2003",CLE vs. NOH,22,2,6,6,5,1,6,1
52,20300374,"DEC 20, 2003",CLE @ CHI,32,10,2,6,4,0,5,2
53,20300360,"DEC 19, 2003",CLE @ PHI,36,5,4,4,4,5,7,0
54,20300348,"DEC 17, 2003",CLE vs. HOU,17,3,0,1,2,2,4,0
55,20300334,"DEC 15, 2003",CLE @ IND,27,6,3,4,6,0,3,3
56,20300322,"DEC 13, 2003",CLE vs. BOS,37,4,0,3,2,1,5,0
57,20300306,"DEC 11, 2003",CLE vs. DET,23,9,1,3,4,1,3,1
58,20300289,"DEC 09, 2003",CLE vs. TOR,18,3,1,5,2,0,0,0
59,20300273,"DEC 06, 2003",CLE vs. ATL,8,5,2,6,3,0,2,1
60,20300255,"DEC 03, 2003",CLE @ LAC,4,8,2,6,5,0,3,0
61,20300245,"DEC 02, 2003",CLE @ DEN,19,5,2,6,2,2,3,0
62,20300227,"NOV 29, 2003",CLE vs. MEM,33,7,1,16,8,3,6,1
63,20300214,"NOV 28, 2003",CLE @ DET,6,7,0,2,4,0,2,0
64,20300203,"NOV 26, 2003",CLE @ NOH,15,9,0,8,4,1,4,0
65,20300177,"NOV 22, 2003",CLE @ ATL,15,4,2,6,3,0,1,1
66,20300166,"NOV 21, 2003",CLE vs. MIN,19,2,1,9,1,0,2,0
67,20300153,"NOV 19, 2003",CLE @ WAS,28,8,2,7,4,2,4,1
68,20300144,"NOV 18, 2003",CLE vs. LAC,14,8,0,7,3,0,2,1
69,20300130,"NOV 15, 2003",CLE vs. PHI,22,8,1,5,5,0,1,2
70,20300115,"NOV 14, 2003",CLE @ BOS,10,3,0,5,4,2,4,0
71,20300106,"NOV 12, 2003",CLE @ MIA,18,7,2,3,4,2,5,1
72,20300090,"NOV 10, 2003",CLE vs. NYK,17,4,1,5,2,3,3,1
73,20300078,"NOV 08, 2003",CLE vs. WAS,17,9,1,8,2,0,0,1
74,20300068,"NOV 07, 2003",CLE @ IND,23,3,0,5,7,1,2,0
75,20300057,"NOV 05, 2003",CLE vs. DEN,7,7,2,11,2,0,2,3
76,20300038,"NOV 01, 2003",CLE @ POR,8,6,2,4,2,0,1,0
77,20300018,"OCT 30, 2003",CLE @ PHX,21,8,1,12,7,1,5,0
78,20300014,"OCT 29, 2003",CLE @ SAC,25,9,4,6,2,0,2,0
79,20401218,"APR 20, 2005",CLE @ TOR,27,14,0,14,2,2,8,1
80,20401209,"APR 19, 2005",CLE vs. BOS,32,6,5,8,3,2,3,0
81,20401194,"APR 17, 2005",CLE @ DET,37,6,0,11,1,2,7,1
82,20401174,"APR 15, 2005",CLE @ WAS,38,6,1,6,1,1,6,0
83,20401171,"APR 14, 2005",CLE vs. NYK,27,7,2,18,4,4,13,2
84,20401148,"APR 11, 2005",CLE @ ORL,33,6,5,7,2,1,6,1
85,20401134,"APR 09, 2005",CLE vs. MIL,40,10,2,10,3,7,13,1
86,20401120,"APR 08, 2005",CLE @ PHI,37,7,5,13,5,2,6,0
87,20401110,"APR 06, 2005",CLE @ IND,20,3,1,4,2,0,3,0
88,20401096,"APR 05, 2005",CLE vs. NJN,24,4,2,9,6,3,6,2
89,20401085,"APR 03, 2005",CLE vs. DAL,37,7,2,10,6,4,8,1
90,20401072,"APR 01, 2005",CLE vs. SAC,35,9,2,8,7,2,4,0
91,20401064,"MAR 31, 2005",CLE @ CHI,26,7,4,6,3,1,4,2
92,20401048,"MAR 29, 2005",CLE vs. LAC,22,5,2,7,1,2,8,1
93,20401041,"MAR 28, 2005",CLE @ NOK,44,3,4,6,10,3,10,0
94,20401029,"MAR 26, 2005",CLE @ DAL,19,6,0,4,3,0,2,0
95,20401008,"MAR 24, 2005",CLE @ HOU,19,8,1,4,2,1,4,0
96,20400990,"MAR 22, 2005",CLE vs. DET,29,6,1,6,0,2,7,0
97,20400977,"MAR 20, 2005",CLE @ TOR,56,5,2,10,4,6,12,0
98,20400959,"MAR 18, 2005",CLE vs. PHI,16,8,4,8,4,0,4,0
99,20400948,"MAR 16, 2005",CLE @ MIL,34,6,1,7,5,4,9,0
100,20400938,"MAR 15, 2005",CLE vs. UTA,36,2,0,9,1,2,5,1
101,20400928,"MAR 13, 2005",CLE vs. IND,35,5,1,5,4,1,5,0
102,20400887,"MAR 08, 2005",CLE vs. ORL,23,8,1,7,1,2,6,1
103,20400878,"MAR 06, 2005",CLE vs. MIA,23,5,2,4,1,0,1,0
104,20400854,"MAR 04, 2005",CLE @ PHI,34,7,4,7,6,0,1,0
105,20400844,"MAR 02, 2005",CLE vs. SEA,32,5,0,5,4,5,7,0
106,20400830,"FEB 28, 2005",CLE vs. SAS,20,7,0,8,2,1,4,0
107,20400820,"FEB 27, 2005",CLE @ NJN,28,7,2,4,5,1,2,0
108,20400805,"FEB 25, 2005",CLE @ IND,21,5,2,7,2,0,1,1
109,20400791,"FEB 23, 2005",CLE vs. CHI,27,11,5,6,3,1,1,0
110,20400780,"FEB 17, 2005",CLE @ MIN,26,8,1,7,2,1,2,0
111,20400773,"FEB 16, 2005",CLE vs. ATL,28,6,3,5,3,2,2,0
112,20400746,"FEB 13, 2005",CLE vs. LAL,25,9,3,8,3,0,0,1
113,20400736,"FEB 11, 2005",CLE vs. DEN,35,6,1,6,4,1,6,0
114,20400710,"FEB 08, 2005",CLE vs. TOR,15,11,3,8,2,0,3,0
115,20400693,"FEB 05, 2005",CLE vs. ORL,30,9,2,6,1,0,3,0
116,20400677,"FEB 03, 2005",CLE @ MIA,31,10,3,2,2,1,3,0
117,20400660,"FEB 01, 2005",CLE @ ORL,28,7,0,5,3,0,3,1
118,20400615,"JAN 26, 2005",CLE vs. MEM,27,15,3,9,5,4,6,2
119,20400599,"JAN 24, 2005",CLE vs. WAS,31,8,2,10,5,1,1,1
120,20400591,"JAN 22, 2005",CLE @ GSW,28,10,1,12,3,0,1,1
121,20400572,"JAN 20, 2005",CLE @ SAC,18,6,1,8,3,0,1,0
122,20400568,"JAN 19, 2005",CLE @ POR,27,10,4,11,2,1,1,0
123,20400543,"JAN 16, 2005",CLE @ SEA,35,11,4,5,1,3,7,1
124,20400539,"JAN 15, 2005",CLE @ UTA,27,5,5,8,3,0,1,0
125,20400518,"JAN 13, 2005",CLE @ LAL,28,9,1,13,4,1,4,1
126,20400497,"JAN 11, 2005",CLE vs. CHA,29,9,2,8,8,2,5,1
127,20400478,"JAN 08, 2005",CLE vs. NYK,22,4,0,3,8,0,0,2
128,20400457,"JAN 05, 2005",CLE vs. ATL,20,9,1,6,2,2,5,1
129,20400442,"JAN 03, 2005",CLE @ CHA,26,6,2,8,1,0,3,0
130,20400411,"DEC 29, 2004",CLE vs. HOU,3,5,0,3,0,0,1,0
131,20400401,"DEC 28, 2004",CLE @ ATL,40,7,1,9,1,3,5,0
132,20400384,"DEC 26, 2004",CLE vs. NOK,22,14,4,9,5,0,1,1
133,20400370,"DEC 22, 2004",CLE @ NJN,23,9,1,9,4,1,1,0
