,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS
0,0022201228,"APR 09, 2023",LAL vs. UTA,36,6,1,6,2,25,13,8,14,1,2,2,20
1,0022201212,"APR 07, 2023",LAL vs. PHX,16,6,0,6,5,19,6,3,7,0,2,1,11
2,0022201196,"APR 05, 2023",LAL @ LAC,33,7,1,8,6,20,13,4,6,1,5,3,-10
3,0022201186,"APR 04, 2023",LAL @ UTA,37,6,1,5,5,27,14,3,10,1,6,6,-7
4,0022201171,"APR 02, 2023",LAL @ HOU,18,11,0,10,1,18,8,1,7,1,1,1,23
5,0022201157,"MAR 31, 2023",LAL @ MIN,18,6,1,10,3,19,7,1,3,2,4,3,3
6,0022201140,"MAR 29, 2023",LAL @ CHI,25,4,2,8,4,19,10,1,3,0,4,4,23
7,0022201114,"MAR 26, 2023",LAL vs. CHI,19,3,0,8,5,11,6,0,2,0,8,7,4
8,0022200913,"FEB 26, 2023",LAL @ DAL,26,3,1,8,3,23,10,1,6,1,7,5,0
9,0022200893,"FEB 23, 2023",LAL vs. GSW,13,8,0,9,2,20,5,2,6,0,2,1,22
10,0022200882,"FEB 15, 2023",LAL vs. NOP,21,6,0,6,4,14,7,0,5,1,10,7,14
11,0022200821,"FEB 07, 2023",LAL vs. OKC,38,3,3,7,4,20,13,4,6,0,10,8,8
12,0022200798,"FEB 04, 2023",LAL @ NOP,27,6,0,9,2,22,10,1,7,0,9,6,-5
13,0022200778,"FEB 02, 2023",LAL @ IND,26,7,0,7,3,19,11,2,5,0,2,2,-4
14,0022200765,"JAN 31, 2023",LAL @ NYK,28,11,1,10,5,25,11,2,8,0,7,4,22
15,0022200749,"JAN 28, 2023",LAL @ BOS,41,8,0,9,2,30,15,6,12,0,6,5,2
16,0022200729,"JAN 25, 2023",LAL vs. SAS,20,11,0,9,6,20,8,1,6,0,4,3,2
17,0022200719,"JAN 24, 2023",LAL vs. LAC,46,7,2,8,0,29,16,9,14,1,5,5,-14
18,0022200705,"JAN 22, 2023",LAL @ POR,37,4,0,11,4,24,14,2,7,2,10,7,17
19,0022200690,"JAN 20, 2023",LAL vs. MEM,23,6,2,9,3,21,8,1,5,2,7,6,9
20,0022200677,"JAN 18, 2023",LAL vs. SAC,32,9,1,8,1,25,11,2,9,1,9,8,-16
21,0022200664,"JAN 16, 2023",LAL vs. HOU,48,9,0,8,0,26,16,5,10,0,12,11,19
22,0022200655,"JAN 15, 2023",LAL vs. PHI,35,10,1,8,3,23,15,1,5,1,5,4,19
23,0022200630,"JAN 12, 2023",LAL vs. DAL,24,9,2,16,3,28,9,0,7,0,10,6,-3
24,0022200595,"JAN 07, 2023",LAL @ SAC,37,7,1,8,4,28,14,1,6,0,9,8,15
25,0022200590,"JAN 06, 2023",LAL vs. ATL,25,10,0,7,5,19,10,1,5,0,6,4,12
26,0022200551,"JAN 02, 2023",LAL @ CHA,43,6,1,11,3,26,16,0,5,0,15,11,9
27,0022200530,"DEC 30, 2022",LAL @ ATL,47,9,0,10,5,27,18,4,6,1,9,7,12
28,0022200518,"DEC 28, 2022",LAL @ MIA,27,6,0,9,6,18,10,2,5,0,5,5,-4
29,0022200505,"DEC 27, 2022",LAL @ ORL,28,5,1,7,4,24,12,0,7,1,5,4,8
30,0022200494,"DEC 25, 2022",LAL @ DAL,38,5,0,6,2,23,13,0,4,0,12,12,2
31,0022200492,"DEC 23, 2022",LAL vs. CHA,34,8,1,2,3,23,15,4,8,0,2,0,-6
32,0022200475,"DEC 21, 2022",LAL @ SAC,31,11,0,6,2,21,11,0,4,2,10,9,-4
33,0022200451,"DEC 18, 2022",LAL vs. WAS,33,9,0,7,0,24,13,1,4,1,8,6,10
34,0022200437,"DEC 16, 2022",LAL vs. DEN,30,4,2,9,2,21,13,1,4,0,4,3,26
35,0022200413,"DEC 13, 2022",LAL vs. BOS,33,9,2,9,4,25,14,3,11,1,4,2,10
36,0022200396,"DEC 11, 2022",LAL @ DET,35,5,1,5,1,24,14,2,6,0,5,5,18
37,0022200382,"DEC 09, 2022",LAL @ PHI,23,6,2,4,3,22,9,1,8,0,8,4,-10
38,0022200360,"DEC 06, 2022",LAL @ CLE,21,4,1,17,3,17,8,2,6,1,4,3,-14
39,0022200349,"DEC 04, 2022",LAL @ WAS,29,6,1,8,5,26,12,2,7,0,4,3,13
40,0022200331,"DEC 02, 2022",LAL @ MIL,28,11,2,8,0,27,12,3,6,0,2,1,6
41,0022200324,"NOV 30, 2022",LAL vs. POR,31,8,0,7,2,18,12,6,8,1,3,1,8
42,0022200308,"NOV 28, 2022",LAL vs. IND,21,3,1,7,1,22,8,3,10,0,3,2,-7
43,0022200288,"NOV 26, 2022",LAL @ SAS,39,3,1,11,4,21,11,7,12,1,10,10,-3
44,0022200282,"NOV 25, 2022",LAL @ SAS,21,5,3,8,9,17,8,1,4,1,4,4,16
45,0022200170,"NOV 09, 2022",LAL @ LAC,30,5,2,8,3,22,12,4,9,0,4,2,-17
46,0022200140,"NOV 06, 2022",LAL vs. CLE,27,4,0,7,1,23,13,1,4,0,3,0,-8
47,0022200131,"NOV 04, 2022",LAL vs. UTA,17,8,0,10,3,19,7,0,5,1,5,3,-11
48,0022200117,"NOV 02, 2022",LAL vs. NOP,20,8,0,10,2,23,9,0,7,2,4,2,5
49,0022200095,"OCT 30, 2022",LAL vs. DEN,26,8,1,6,3,22,10,2,5,0,5,4,-1
50,0022200076,"OCT 28, 2022",LAL @ MIN,28,5,4,7,3,24,10,1,6,0,8,7,-13
51,0022200064,"OCT 26, 2022",LAL @ DEN,19,9,1,7,8,21,8,2,8,0,2,1,-7
52,0022200037,"OCT 23, 2022",LAL vs. POR,31,8,2,8,4,22,12,2,9,2,7,5,2
53,0022200016,"OCT 20, 2022",LAL vs. LAC,20,6,1,10,2,17,7,2,8,2,6,4,-1
54,0022200002,"OCT 18, 2022",LAL @ GSW,31,8,0,15,5,26,12,3,10,0,4,4,-10
