,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS
0,0022300531,"JAN 11, 2024",LAL vs. PHX,10,9,1,5,4,11,3,0,4,0,7,4,-25
1,0022300516,"JAN 09, 2024",LAL vs. TOR,22,12,1,5,3,17,8,2,5,1,6,4,0
2,0022300505,"JAN 07, 2024",LAL vs. LAC,25,7,1,8,4,19,11,1,3,0,3,2,5
3,0022300491,"JAN 05, 2024",LAL vs. MEM,32,7,5,5,4,24,11,4,9,0,10,6,-8
4,0022300475,"JAN 03, 2024",LAL vs. MIA,12,9,0,6,2,18,6,0,6,0,0,0,-20
5,0022300446,"DEC 31, 2023",LAL @ NOP,34,8,0,5,4,24,12,3,7,1,8,7,-11
6,0022300443,"DEC 30, 2023",LAL @ MIN,26,6,3,3,1,21,10,1,4,1,7,5,-5
7,0022300428,"DEC 28, 2023",LAL vs. CHA,17,11,0,4,3,13,7,2,5,0,1,1,1
8,0022300403,"DEC 25, 2023",LAL vs. BOS,16,8,0,9,3,14,5,1,2,0,6,5,-11
9,0022300397,"DEC 23, 2023",LAL @ OKC,40,7,2,7,3,20,13,5,5,2,9,9,10
10,0022300370,"DEC 20, 2023",LAL @ CHI,25,9,1,10,5,18,10,1,3,2,4,4,-11
11,0022300359,"DEC 18, 2023",LAL vs. NYK,25,11,1,11,2,23,10,2,8,0,4,3,-13
12,0022300331,"DEC 15, 2023",LAL @ SAS,23,14,2,7,2,17,7,2,6,0,10,7,-28
13,0022300306,"DEC 12, 2023",LAL @ DAL,33,9,3,8,4,27,14,3,8,1,3,2,-4
14,0022301230,"DEC 07, 2023",LAL vs. NOP,30,8,0,5,0,12,9,4,4,0,8,8,36
15,0022301203,"DEC 05, 2023",LAL vs. PHX,31,11,5,8,2,25,12,2,4,0,6,5,12
16,0022300291,"DEC 02, 2023",LAL vs. HOU,16,7,1,4,5,17,7,0,4,1,5,2,16
17,0022300271,"NOV 30, 2023",LAL @ OKC,21,6,1,12,5,12,7,4,8,1,4,3,-18
18,0022300258,"NOV 29, 2023",LAL @ DET,25,3,0,8,1,19,9,2,6,0,5,5,26
19,0022300255,"NOV 27, 2023",LAL @ PHI,18,5,1,0,1,12,8,1,1,1,2,1,-30
20,0022300242,"NOV 25, 2023",LAL @ CLE,22,6,2,6,4,23,8,1,9,2,7,5,2
21,0022300238,"NOV 22, 2023",LAL vs. DAL,26,7,0,9,3,19,9,4,9,0,7,4,7
22,0022300042,"NOV 21, 2023",LAL vs. UTA,17,9,0,7,2,10,6,3,5,0,2,2,14
23,0022300216,"NOV 19, 2023",LAL vs. HOU,37,8,3,6,2,19,14,2,5,0,9,7,2
24,0022300036,"NOV 17, 2023",LAL @ POR,35,9,2,5,3,22,13,5,9,0,6,4,19
25,0022300198,"NOV 15, 2023",LAL vs. SAC,28,12,4,10,6,15,9,3,7,1,8,7,0
26,0022300026,"NOV 14, 2023",LAL vs. MEM,16,6,1,9,4,11,6,3,6,0,2,1,15
27,0022300015,"NOV 10, 2023",LAL @ PHX,32,6,1,11,4,17,11,3,4,1,11,7,2
28,0022300163,"NOV 08, 2023",LAL @ HOU,18,2,0,6,3,13,7,0,2,0,5,4,-24
29,0022300150,"NOV 06, 2023",LAL @ MIA,30,3,1,4,5,23,13,0,4,3,4,4,6
30,0022300134,"NOV 04, 2023",LAL @ ORL,24,5,3,9,3,15,8,2,5,0,7,6,12
31,0022300127,"NOV 01, 2023",LAL vs. LAC,35,7,1,12,4,19,13,4,8,2,10,5,6
32,0022300111,"OCT 30, 2023",LAL vs. ORL,19,4,3,3,5,17,7,2,6,1,4,3,5
33,0022300100,"OCT 29, 2023",LAL @ SAC,27,8,0,15,8,19,11,3,8,0,6,2,-5
34,0022300076,"OCT 26, 2023",LAL vs. PHX,21,9,2,8,5,14,7,1,5,2,8,6,22
35,0022300061,"OCT 24, 2023",LAL @ DEN,21,5,1,8,0,16,10,1,4,0,1,0,7
