,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21601219,"APR 12, 2017",MIL @ BOS,11,3,1,5,0,1,2,1
1,21601207,"APR 10, 2017",MIL vs. CHA,5,3,0,4,3,1,3,0
2,21601113,"MAR 29, 2017",MIL @ BOS,16,9,1,4,0,0,1,1
3,21601103,"MAR 28, 2017",MIL @ CHA,14,10,1,3,1,2,2,0
4,21601090,"MAR 26, 2017",MIL vs. CHI,14,4,2,4,1,0,1,0
5,21601078,"MAR 24, 2017",MIL vs. ATL,14,7,0,3,3,1,4,0
6,21601065,"MAR 22, 2017",MIL @ SAC,12,4,1,1,2,2,4,0
7,21601057,"MAR 21, 2017",MIL @ POR,8,4,1,7,1,0,2,0
8,21601035,"MAR 18, 2017",MIL @ GSW,18,3,1,4,0,2,6,1
9,21601027,"MAR 17, 2017",MIL @ LAL,6,2,2,5,2,0,4,0
10,21601013,"MAR 15, 2017",MIL @ LAC,11,5,1,2,0,1,3,0
11,21600993,"MAR 13, 2017",MIL @ MEM,15,8,1,2,3,3,5,1
12,21600952,"MAR 08, 2017",MIL vs. NYK,4,3,1,1,1,0,3,0
13,21600934,"MAR 06, 2017",MIL @ PHI,13,1,1,5,2,1,1,1
14,21600920,"MAR 04, 2017",MIL vs. TOR,17,3,0,5,1,0,4,0
15,21600912,"MAR 03, 2017",MIL vs. LAC,12,0,0,3,1,4,5,0
16,21600899,"MAR 01, 2017",MIL vs. DEN,17,3,3,2,1,2,3,0
17,21600884,"FEB 27, 2017",MIL @ CLE,20,5,1,3,2,3,7,0
18,21600875,"FEB 26, 2017",MIL vs. PHX,15,7,2,0,2,1,3,0
19,21600860,"FEB 24, 2017",MIL vs. UTA,8,4,0,1,1,1,3,0
20,21600838,"FEB 15, 2017",MIL @ BKN,8,4,1,2,3,1,1,0
21,21600824,"FEB 13, 2017",MIL vs. DET,7,5,1,1,0,0,0,0
22,21600809,"FEB 11, 2017",MIL @ IND,17,3,0,3,0,2,6,0
23,21600802,"FEB 10, 2017",MIL vs. LAL,18,3,1,2,4,1,3,0
24,21600787,"FEB 08, 2017",MIL vs. MIA,6,6,3,2,1,0,1,0
25,21600761,"FEB 04, 2017",MIL @ PHX,13,8,3,5,1,1,1,1
