,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0021801029,"MAR 15, 2019",MIL @ MIA,0,1,0,0,0,0,2,0
1,0021801010,"MAR 12, 2019",MIL @ NOP,18,2,2,1,2,2,4,0
2,0021800999,"MAR 10, 2019",MIL @ SAS,5,2,0,1,2,0,4,0
3,0021800990,"MAR 09, 2019",MIL vs. CHA,18,4,1,3,2,2,4,0
4,0021800975,"MAR 07, 2019",MIL vs. IND,7,2,1,4,1,1,4,1
5,0021800955,"MAR 04, 2019",MIL @ PHX,19,0,1,7,0,3,4,0
6,0021800934,"MAR 01, 2019",MIL @ LAL,21,4,0,2,0,3,3,0
7,0021800920,"FEB 27, 2019",MIL @ SAC,25,2,0,5,0,4,6,0
8,0021800902,"FEB 25, 2019",MIL @ CHI,22,5,0,2,1,4,7,0
9,0021800891,"FEB 23, 2019",MIL vs. MIN,16,4,1,5,2,2,4,0
10,0021800870,"FEB 21, 2019",MIL vs. BOS,15,4,1,6,1,3,6,0
11,0021800854,"FEB 13, 2019",MIL @ IND,17,3,1,5,0,1,4,0
12,0021800843,"FEB 11, 2019",MIL @ CHI,17,3,0,6,0,3,5,0
13,0021800833,"FEB 09, 2019",MIL vs. ORL,14,2,0,4,3,0,4,1
14,0021800821,"FEB 08, 2019",MIL @ DAL,18,3,1,6,1,0,3,0
15,0021800806,"FEB 06, 2019",MIL vs. WAS,18,5,2,2,1,3,4,0
16,0021800792,"FEB 04, 2019",MIL @ BKN,16,1,1,8,0,2,7,0
17,0021800778,"FEB 02, 2019",MIL @ WAS,15,5,0,9,1,2,4,0
18,0021800766,"JAN 31, 2019",MIL @ TOR,11,3,1,6,2,2,4,0
19,0021800738,"JAN 27, 2019",MIL @ OKC,18,4,0,6,0,1,5,0
20,0021800727,"JAN 25, 2019",MIL vs. CHA,19,1,1,5,1,1,2,0
21,0021800694,"JAN 21, 2019",MIL vs. DAL,19,2,5,4,2,1,2,1
22,0021800682,"JAN 19, 2019",MIL @ ORL,18,1,1,2,2,0,2,0
23,0021800660,"JAN 16, 2019",MIL @ MEM,9,4,0,6,1,1,2,1
24,0021800654,"JAN 15, 2019",MIL vs. MIA,16,0,1,2,0,1,1,0
25,0021800640,"JAN 13, 2019",MIL @ ATL,14,4,2,4,0,1,5,0
26,0021800622,"JAN 11, 2019",MIL @ WAS,15,8,0,6,4,1,2,1
27,0021800610,"JAN 09, 2019",MIL @ HOU,24,3,1,5,3,0,1,0
28,0021800594,"JAN 07, 2019",MIL vs. UTA,21,5,0,5,1,1,1,0
29,0021800580,"JAN 05, 2019",MIL vs. TOR,15,5,1,3,0,1,4,2
30,0021800572,"JAN 04, 2019",MIL vs. ATL,19,2,0,3,1,0,3,0
