,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21401221,"APR 15, 2015",BOS @ MIL,7,6,3,4,0,2,5,1
1,21401214,"APR 14, 2015",BOS vs. TOR,9,3,1,5,1,1,4,2
2,21401194,"APR 12, 2015",BOS vs. CLE,7,2,4,0,0,1,4,0
3,21401178,"APR 10, 2015",BOS @ CLE,19,1,1,3,0,3,5,0
4,21401164,"APR 08, 2015",BOS @ DET,3,1,2,0,0,1,4,0
5,21401140,"APR 04, 2015",BOS @ TOR,15,4,2,4,2,2,5,1
6,21401129,"APR 03, 2015",BOS vs. MIL,2,0,0,2,3,0,1,0
7,21401115,"APR 01, 2015",BOS vs. IND,4,3,4,4,1,0,3,0
8,21401101,"MAR 30, 2015",BOS @ CHA,14,4,3,6,3,1,2,1
9,21401095,"MAR 29, 2015",BOS vs. LAC,0,0,0,4,1,0,3,0
10,21401079,"MAR 27, 2015",BOS @ NYK,6,1,1,2,0,1,1,0
11,21401064,"MAR 25, 2015",BOS vs. MIA,6,2,4,3,2,1,5,0
12,21401049,"MAR 23, 2015",BOS @ BKN,2,0,2,1,1,0,1,0
13,21401028,"MAR 20, 2015",BOS @ SAS,10,4,1,0,1,1,3,0
14,21401011,"MAR 18, 2015",BOS @ OKC,25,5,2,9,2,7,12,2
15,21400992,"MAR 16, 2015",BOS vs. PHI,11,2,0,5,2,2,3,0
16,21400976,"MAR 14, 2015",BOS @ IND,8,1,3,7,1,2,6,1
17,21400969,"MAR 13, 2015",BOS vs. ORL,7,2,0,6,1,1,3,0
18,21400954,"MAR 11, 2015",BOS vs. MEM,5,4,2,3,2,0,2,1
19,21400940,"MAR 09, 2015",BOS @ MIA,9,1,0,5,2,1,3,0
20,21400935,"MAR 08, 2015",BOS @ ORL,16,2,5,5,3,4,9,1
21,21400919,"MAR 06, 2015",BOS @ NOP,7,4,2,5,0,1,4,0
22,21400898,"MAR 04, 2015",BOS vs. UTA,7,4,2,4,0,0,6,0
23,21400891,"MAR 03, 2015",BOS @ CLE,2,2,1,5,2,0,3,0
24,21400880,"MAR 01, 2015",BOS vs. GSW,10,4,2,6,0,2,6,0
25,21400859,"FEB 27, 2015",BOS vs. CHA,10,3,1,2,1,2,6,0
26,21400844,"FEB 25, 2015",BOS vs. NYK,16,4,1,2,2,3,5,1
27,21400835,"FEB 23, 2015",BOS @ PHX,8,3,1,2,1,1,4,0
28,21400829,"FEB 22, 2015",BOS @ LAL,11,3,1,5,3,0,5,1
29,21400813,"FEB 20, 2015",BOS @ SAC,16,2,5,5,0,2,9,0
30,21400789,"FEB 11, 2015",BOS vs. ATL,11,3,1,2,4,2,7,0
31,21400763,"FEB 07, 2015",BOS @ MIL,13,1,0,5,3,2,5,0
32,21400750,"FEB 06, 2015",BOS vs. PHI,3,8,2,7,2,0,2,0
33,21400733,"FEB 04, 2015",BOS vs. DEN,4,8,3,10,2,0,2,0
34,21400728,"FEB 03, 2015",BOS @ NYK,13,3,2,4,3,2,7,0
35,21400716,"FEB 01, 2015",BOS vs. MIA,3,9,1,5,1,1,4,1
36,21400698,"JAN 30, 2015",BOS vs. HOU,4,4,1,3,2,1,5,1
37,21400686,"JAN 28, 2015",BOS @ MIN,12,6,0,2,3,4,5,0
38,21400673,"JAN 26, 2015",BOS @ UTA,9,5,1,3,1,1,4,0
39,21400649,"JAN 23, 2015",BOS @ DEN,4,3,0,0,1,1,2,0
40,21400639,"JAN 22, 2015",BOS @ POR,0,2,2,3,0,0,1,0
41,21400614,"JAN 19, 2015",BOS @ LAC,14,7,1,2,1,4,7,1
42,21400591,"JAN 16, 2015",BOS vs. CHI,5,5,2,6,0,1,3,0
43,21400580,"JAN 14, 2015",BOS vs. ATL,6,5,3,5,2,2,6,0
44,21400563,"JAN 12, 2015",BOS vs. NOP,7,6,1,3,0,1,3,0
45,21400553,"JAN 10, 2015",BOS @ TOR,12,2,1,3,3,1,3,0
46,21400538,"JAN 09, 2015",BOS @ IND,10,4,1,3,1,3,7,1
47,21400527,"JAN 07, 2015",BOS @ BKN,8,3,0,2,0,2,4,0
48,21400510,"JAN 05, 2015",BOS vs. CHA,9,4,1,1,0,2,3,0
49,21400496,"JAN 03, 2015",BOS @ CHI,4,1,1,0,1,0,0,0
50,21400486,"JAN 02, 2015",BOS vs. DAL,8,7,2,0,0,2,6,0
51,21400475,"DEC 31, 2014",BOS vs. SAC,11,2,2,6,2,3,6,0
52,21400445,"DEC 27, 2014",BOS @ WAS,3,2,0,2,4,0,0,0
53,21400432,"DEC 26, 2014",BOS vs. BKN,5,6,4,3,3,1,3,0
54,21400418,"DEC 23, 2014",BOS @ ORL,3,2,0,2,2,0,0,0
55,21400404,"DEC 21, 2014",BOS @ MIA,3,4,1,4,2,1,4,0
56,21400385,"DEC 19, 2014",BOS vs. MIN,8,4,1,1,3,2,4,0
57,21400331,"DEC 12, 2014",BOS vs. NYK,0,1,0,2,0,0,0,0
58,21400316,"DEC 10, 2014",BOS @ CHA,0,1,0,2,1,0,1,0
