,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0021700998,"MAR 11, 2018",BOS vs. IND,20,8,4,7,4,6,12,0
1,0021700974,"MAR 08, 2018",BOS @ MIN,9,6,2,2,2,0,4,0
2,0021700953,"MAR 05, 2018",BOS @ CHI,7,4,0,2,2,1,5,0
3,0021700939,"MAR 03, 2018",BOS @ HOU,11,5,0,6,1,0,2,1
4,0021700916,"FEB 28, 2018",BOS vs. CHA,10,6,1,2,2,2,2,0
5,0021700898,"FEB 26, 2018",BOS vs. MEM,6,5,3,1,0,1,7,0
6,0021700886,"FEB 24, 2018",BOS @ NYK,11,5,3,2,2,0,0,0
7,0021700873,"FEB 23, 2018",BOS @ DET,12,6,0,3,3,2,6,0
8,0021700700,"JAN 23, 2018",BOS @ LAL,22,8,1,2,1,4,10,0
9,0021700683,"JAN 21, 2018",BOS vs. ORL,2,3,1,0,4,0,1,0
10,0021700663,"JAN 18, 2018",BOS vs. PHI,13,1,0,5,4,1,4,0
11,0021700650,"JAN 16, 2018",BOS vs. NOP,16,5,1,5,2,3,8,1
12,0021700614,"JAN 11, 2018",BOS @ PHI,5,2,3,1,4,1,2,0
13,0021700579,"JAN 06, 2018",BOS @ BKN,11,3,3,3,2,0,5,1
14,0021700570,"JAN 05, 2018",BOS vs. MIN,18,3,1,3,0,0,4,0
15,0021700559,"JAN 03, 2018",BOS vs. CLE,15,4,1,4,2,3,6,0
16,0021700539,"DEC 31, 2017",BOS vs. BKN,8,4,2,2,2,0,5,1
17,0021700517,"DEC 28, 2017",BOS vs. HOU,13,5,2,6,2,1,5,3
18,0021700506,"DEC 27, 2017",BOS @ CHA,5,2,0,4,0,1,4,0
19,0021700495,"DEC 25, 2017",BOS vs. WAS,10,4,0,4,3,2,4,0
20,0021700485,"DEC 23, 2017",BOS vs. CHI,11,3,1,1,1,0,5,2
21,0021700468,"DEC 21, 2017",BOS @ NYK,10,3,4,4,1,1,6,0
22,0021700456,"DEC 20, 2017",BOS vs. MIA,15,2,1,6,2,5,9,0
23,0021700442,"DEC 18, 2017",BOS @ IND,15,5,1,4,7,4,4,0
24,0021700436,"DEC 16, 2017",BOS @ MEM,11,5,1,2,4,2,4,0
25,0021700423,"DEC 15, 2017",BOS vs. UTA,6,5,2,3,2,0,3,1
26,0021700407,"DEC 13, 2017",BOS vs. DEN,4,9,2,1,1,0,3,2
27,0021700391,"DEC 11, 2017",BOS @ CHI,13,4,0,2,4,3,6,0
28,0021700386,"DEC 10, 2017",BOS @ DET,12,3,1,2,5,0,2,0
29,0021700374,"DEC 08, 2017",BOS @ SAS,4,2,2,1,3,0,2,0
30,0021700356,"DEC 06, 2017",BOS vs. DAL,2,4,0,1,4,0,1,0
31,0021700343,"DEC 04, 2017",BOS vs. MIL,8,7,1,4,4,1,3,0
32,0021700326,"DEC 02, 2017",BOS vs. PHX,13,7,0,4,0,2,5,1
33,0021700314,"NOV 30, 2017",BOS vs. PHI,5,8,1,2,6,1,3,0
34,0021700292,"NOV 27, 2017",BOS vs. DET,23,6,0,3,3,6,9,0
35,0021700281,"NOV 25, 2017",BOS @ IND,15,5,2,6,3,1,2,0
36,0021700269,"NOV 24, 2017",BOS vs. ORL,4,3,0,4,1,1,7,3
37,0021700257,"NOV 22, 2017",BOS @ MIA,7,4,0,3,0,0,2,1
38,0021700249,"NOV 20, 2017",BOS @ DAL,12,8,2,3,3,2,11,0
39,0021700230,"NOV 18, 2017",BOS @ ATL,10,2,0,4,1,2,5,1
40,0021700215,"NOV 16, 2017",BOS vs. GSW,1,3,2,7,3,0,3,1
41,0021700201,"NOV 14, 2017",BOS @ BKN,6,2,0,5,3,0,3,0
42,0021700188,"NOV 12, 2017",BOS vs. TOR,14,9,2,5,2,2,5,0
43,0021700170,"NOV 10, 2017",BOS vs. CHA,8,7,1,1,2,0,7,0
44,0021700161,"NOV 08, 2017",BOS vs. LAL,9,6,1,4,1,2,4,1
45,0021700146,"NOV 06, 2017",BOS @ ATL,9,5,2,4,4,1,2,0
46,0021700138,"NOV 05, 2017",BOS @ ORL,11,8,3,8,2,2,6,1
47,0021700129,"NOV 03, 2017",BOS @ OKC,9,5,1,4,2,1,3,0
48,0021700109,"NOV 01, 2017",BOS vs. SAC,2,8,1,2,2,0,1,0
49,0021700092,"OCT 30, 2017",BOS vs. SAS,9,7,1,3,2,1,4,0
50,0021700078,"OCT 28, 2017",BOS @ MIA,16,4,2,4,2,2,6,0
51,0021700067,"OCT 26, 2017",BOS @ MIL,8,4,1,1,2,2,6,0
52,0021700007,"OCT 18, 2017",BOS vs. MIL,12,4,3,7,3,3,7,0
53,0021700001,"OCT 17, 2017",BOS @ CLE,12,3,2,9,2,0,4,2
