,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21900278,"NOV 29, 2019",CHI @ POR,0,0,0,0,0,0,0,0
1,21900219,"NOV 22, 2019",CHI vs. MIA,5,0,0,1,0,0,1,0
2,22001069,"MAY 16, 2021",MIA @ DET,20,2,1,4,0,3,11,0
3,22001062,"MAY 15, 2021",MIA @ MIL,3,0,0,0,0,1,1,1
4,22001050,"MAY 13, 2021",MIA vs. PHI,0,0,0,0,0,0,1,0
5,22000986,"MAY 04, 2021",MIA vs. DAL,8,1,0,1,1,2,3,0
6,22000969,"MAY 02, 2021",MIA @ CHA,7,2,1,3,0,1,6,0
7,22000960,"MAY 01, 2021",MIA @ CLE,17,2,2,4,0,3,9,0
8,22000922,"APR 26, 2021",MIA vs. CHI,5,0,1,2,1,1,6,0
9,22000907,"APR 24, 2021",MIA vs. CHI,5,0,0,1,1,1,3,0
10,22000888,"APR 21, 2021",MIA @ SAS,0,0,0,0,0,0,1,0
11,22000871,"APR 19, 2021",MIA vs. HOU,0,0,0,0,1,0,3,0
12,22000852,"APR 16, 2021",MIA @ MIN,3,2,1,0,0,1,2,0
13,22000838,"APR 14, 2021",MIA @ DEN,8,2,0,1,0,2,4,1
14,22000827,"APR 13, 2021",MIA @ PHX,0,0,0,0,0,0,0,0
15,22000773,"APR 06, 2021",MIA vs. MEM,0,0,0,0,0,0,0,0
16,22000749,"APR 03, 2021",MIA vs. CLE,0,1,0,0,0,0,0,0
17,22000686,"MAR 26, 2021",MIA @ CHA,4,0,1,0,0,1,3,0
18,22000678,"MAR 25, 2021",MIA vs. POR,8,1,0,3,1,0,4,0
19,22000664,"MAR 23, 2021",MIA vs. PHX,6,0,1,1,0,2,3,0
20,22000632,"MAR 19, 2021",MIA vs. IND,0,1,0,0,0,0,1,0
21,22000623,"MAR 17, 2021",MIA @ MEM,7,0,0,1,0,1,2,0
22,22000538,"MAR 02, 2021",MIA vs. ATL,6,0,0,0,0,1,3,0
23,22000475,"FEB 22, 2021",MIA @ OKC,11,2,1,2,0,3,10,0
24,22000463,"FEB 20, 2021",MIA @ LAL,2,0,0,1,0,0,8,0
25,22000425,"FEB 15, 2021",MIA @ LAC,3,0,0,0,0,1,4,0
26,22000410,"FEB 13, 2021",MIA @ UTA,15,2,0,1,0,3,6,0
27,22000392,"FEB 11, 2021",MIA @ HOU,21,0,0,0,0,5,8,0
28,22000347,"FEB 05, 2021",MIA vs. WAS,3,0,0,2,0,1,1,0
29,22000331,"FEB 03, 2021",MIA vs. WAS,0,0,0,0,0,0,1,0
30,22000314,"FEB 01, 2021",MIA vs. CHA,19,0,1,2,1,5,9,0
31,22000301,"JAN 30, 2021",MIA vs. SAC,7,0,0,0,0,1,2,0
32,22000285,"JAN 28, 2021",MIA vs. LAC,12,0,0,0,1,4,6,0
33,22000275,"JAN 27, 2021",MIA vs. DEN,5,1,0,1,0,1,5,0
34,22000260,"JAN 25, 2021",MIA @ BKN,0,0,0,0,0,0,0,0
35,22000234,"JAN 22, 2021",MIA @ TOR,2,1,0,1,1,0,4,0
36,22000220,"JAN 20, 2021",MIA @ TOR,3,0,0,2,0,1,3,0
37,22000192,"JAN 16, 2021",MIA vs. DET,0,1,0,0,0,0,0,0
38,22000174,"JAN 14, 2021",MIA @ PHI,11,1,1,7,0,2,6,0
39,22000157,"JAN 12, 2021",MIA @ PHI,8,1,0,1,0,2,6,0
40,22000051,"DEC 29, 2020",MIA vs. MIL,7,1,0,0,0,1,3,0
41,22101207,"APR 08, 2022",MIA vs. ATL,8,0,1,3,2,2,3,0
42,22101181,"APR 05, 2022",MIA vs. CHA,12,3,0,1,1,3,5,0
43,22101172,"APR 03, 2022",MIA @ TOR,23,1,1,3,0,7,9,0
44,22101164,"APR 02, 2022",MIA @ CHI,10,1,1,2,0,2,4,1
45,22101139,"MAR 30, 2022",MIA @ BOS,14,1,3,7,3,4,9,2
46,22101125,"MAR 28, 2022",MIA vs. SAC,8,2,1,3,4,2,9,0
47,22101111,"MAR 26, 2022",MIA vs. BKN,13,3,0,1,0,3,6,0
48,22101103,"MAR 25, 2022",MIA vs. NYK,11,3,0,1,2,3,8,0
49,22101088,"MAR 23, 2022",MIA vs. GSW,0,0,0,1,1,0,5,0
50,22101074,"MAR 21, 2022",MIA @ PHI,1,2,0,0,0,0,5,0
51,22101052,"MAR 18, 2022",MIA vs. OKC,12,2,0,4,0,4,11,0
52,22101031,"MAR 15, 2022",MIA vs. DET,16,0,0,3,2,4,6,0
53,22101005,"MAR 12, 2022",MIA vs. MIN,19,2,0,7,1,5,11,0
54,22100998,"MAR 11, 2022",MIA vs. CLE,17,3,1,2,1,5,11,1
55,22100983,"MAR 09, 2022",MIA vs. PHX,0,1,0,1,0,0,1,0
56,22100970,"MAR 07, 2022",MIA vs. HOU,0,0,0,0,0,0,0,0
57,22100956,"MAR 05, 2022",MIA vs. PHI,9,2,1,7,0,3,7,0
58,22100941,"MAR 03, 2022",MIA @ BKN,21,0,1,5,1,6,12,1
59,22100936,"MAR 02, 2022",MIA @ MIL,8,3,1,1,0,2,7,0
60,22100922,"FEB 28, 2022",MIA vs. CHI,13,2,1,0,2,3,7,1
61,22100900,"FEB 25, 2022",MIA @ NYK,3,1,1,0,0,1,2,0
62,22100885,"FEB 17, 2022",MIA @ CHA,2,0,0,1,0,0,5,0
63,22100868,"FEB 15, 2022",MIA vs. DAL,4,1,0,1,1,1,3,0
64,22100851,"FEB 12, 2022",MIA vs. BKN,9,1,0,4,0,3,7,0
65,22100833,"FEB 10, 2022",MIA @ NOP,7,2,1,1,2,2,6,1
66,22100811,"FEB 07, 2022",MIA @ WAS,6,1,2,2,3,2,5,1
67,22100521,"FEB 03, 2022",MIA @ SAS,6,2,0,0,1,2,3,0
68,22100784,"FEB 01, 2022",MIA @ TOR,9,0,0,4,0,3,7,0
69,22100762,"JAN 31, 2022",MIA @ BOS,27,2,0,3,1,9,17,0
70,22100748,"JAN 29, 2022",MIA vs. TOR,11,2,0,4,0,3,5,1
71,22100738,"JAN 28, 2022",MIA vs. LAC,5,1,0,4,2,1,5,0
72,22100727,"JAN 26, 2022",MIA vs. NYK,0,2,1,3,1,0,6,0
73,22100700,"JAN 23, 2022",MIA vs. LAL,8,0,0,3,1,2,7,0
74,22100687,"JAN 21, 2022",MIA @ ATL,15,4,0,2,1,3,10,0
75,22100672,"JAN 19, 2022",MIA vs. POR,15,2,0,5,0,4,8,1
76,22100662,"JAN 17, 2022",MIA vs. TOR,6,2,1,5,1,2,6,2
77,22100645,"JAN 15, 2022",MIA vs. PHI,11,1,0,4,2,2,9,1
78,22100636,"JAN 14, 2022",MIA vs. ATL,16,1,0,1,0,4,7,1
79,22100621,"JAN 12, 2022",MIA @ ATL,11,1,0,2,0,3,6,0
80,22100596,"JAN 08, 2022",MIA @ PHX,14,0,0,4,3,4,8,0
81,22100576,"JAN 05, 2022",MIA @ POR,25,5,0,6,1,7,13,0
82,22100493,"DEC 26, 2021",MIA vs. ORL,13,2,0,2,1,3,9,0
83,22100479,"DEC 23, 2021",MIA vs. DET,26,1,1,6,2,5,11,0
84,22100465,"DEC 21, 2021",MIA vs. IND,18,4,0,7,0,4,12,0
85,22100449,"DEC 19, 2021",MIA @ DET,24,1,1,4,0,4,11,0
86,22100433,"DEC 17, 2021",MIA @ ORL,32,1,0,7,1,8,11,0
87,22100419,"DEC 15, 2021",MIA @ PHI,9,2,0,3,1,2,7,0
88,22100404,"DEC 13, 2021",MIA @ CLE,0,2,0,2,0,0,4,0
89,22100394,"DEC 11, 2021",MIA vs. CHI,9,2,0,3,0,1,5,0
