,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022101207,"APR 08, 2022",MIA vs. ATL,8,0,1,3,2,2,3,0
1,0022101181,"APR 05, 2022",MIA vs. CHA,12,3,0,1,1,3,5,0
2,0022101172,"APR 03, 2022",MIA @ TOR,23,1,1,3,0,7,9,0
3,0022101164,"APR 02, 2022",MIA @ CHI,10,1,1,2,0,2,4,1
4,0022101139,"MAR 30, 2022",MIA @ BOS,14,1,3,7,3,4,9,2
5,0022101125,"MAR 28, 2022",MIA vs. SAC,8,2,1,3,4,2,9,0
6,0022101111,"MAR 26, 2022",MIA vs. BKN,13,3,0,1,0,3,6,0
7,0022101103,"MAR 25, 2022",MIA vs. NYK,11,3,0,1,2,3,8,0
8,0022101088,"MAR 23, 2022",MIA vs. GSW,0,0,0,1,1,0,5,0
9,0022101074,"MAR 21, 2022",MIA @ PHI,1,2,0,0,0,0,5,0
10,0022101052,"MAR 18, 2022",MIA vs. OKC,12,2,0,4,0,4,11,0
11,0022101031,"MAR 15, 2022",MIA vs. DET,16,0,0,3,2,4,6,0
12,0022101005,"MAR 12, 2022",MIA vs. MIN,19,2,0,7,1,5,11,0
13,0022100998,"MAR 11, 2022",MIA vs. CLE,17,3,1,2,1,5,11,1
14,0022100983,"MAR 09, 2022",MIA vs. PHX,0,1,0,1,0,0,1,0
15,0022100970,"MAR 07, 2022",MIA vs. HOU,0,0,0,0,0,0,0,0
16,0022100956,"MAR 05, 2022",MIA vs. PHI,9,2,1,7,0,3,7,0
17,0022100941,"MAR 03, 2022",MIA @ BKN,21,0,1,5,1,6,12,1
18,0022100936,"MAR 02, 2022",MIA @ MIL,8,3,1,1,0,2,7,0
19,0022100922,"FEB 28, 2022",MIA vs. CHI,13,2,1,0,2,3,7,1
20,0022100900,"FEB 25, 2022",MIA @ NYK,3,1,1,0,0,1,2,0
21,0022100885,"FEB 17, 2022",MIA @ CHA,2,0,0,1,0,0,5,0
22,0022100868,"FEB 15, 2022",MIA vs. DAL,4,1,0,1,1,1,3,0
23,0022100851,"FEB 12, 2022",MIA vs. BKN,9,1,0,4,0,3,7,0
24,0022100833,"FEB 10, 2022",MIA @ NOP,7,2,1,1,2,2,6,1
25,0022100811,"FEB 07, 2022",MIA @ WAS,6,1,2,2,3,2,5,1
26,0022100521,"FEB 03, 2022",MIA @ SAS,6,2,0,0,1,2,3,0
27,0022100784,"FEB 01, 2022",MIA @ TOR,9,0,0,4,0,3,7,0
28,0022100762,"JAN 31, 2022",MIA @ BOS,27,2,0,3,1,9,17,0
29,0022100748,"JAN 29, 2022",MIA vs. TOR,11,2,0,4,0,3,5,1
30,0022100738,"JAN 28, 2022",MIA vs. LAC,5,1,0,4,2,1,5,0
31,0022100727,"JAN 26, 2022",MIA vs. NYK,0,2,1,3,1,0,6,0
32,0022100700,"JAN 23, 2022",MIA vs. LAL,8,0,0,3,1,2,7,0
33,0022100687,"JAN 21, 2022",MIA @ ATL,15,4,0,2,1,3,10,0
34,0022100672,"JAN 19, 2022",MIA vs. POR,15,2,0,5,0,4,8,1
35,0022100662,"JAN 17, 2022",MIA vs. TOR,6,2,1,5,1,2,6,2
36,0022100645,"JAN 15, 2022",MIA vs. PHI,11,1,0,4,2,2,9,1
37,0022100636,"JAN 14, 2022",MIA vs. ATL,16,1,0,1,0,4,7,1
38,0022100621,"JAN 12, 2022",MIA @ ATL,11,1,0,2,0,3,6,0
39,0022100596,"JAN 08, 2022",MIA @ PHX,14,0,0,4,3,4,8,0
40,0022100576,"JAN 05, 2022",MIA @ POR,25,5,0,6,1,7,13,0
41,0022100493,"DEC 26, 2021",MIA vs. ORL,13,2,0,2,1,3,9,0
42,0022100479,"DEC 23, 2021",MIA vs. DET,26,1,1,6,2,5,11,0
43,0022100465,"DEC 21, 2021",MIA vs. IND,18,4,0,7,0,4,12,0
