,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21901307,"AUG 12, 2020",DEN vs. LAC,11,2,1,5,1,0,4,1
1,21901296,"AUG 10, 2020",DEN @ LAL,15,1,1,4,4,3,3,0
2,21901281,"AUG 08, 2020",DEN vs. UTA,23,2,2,11,1,1,8,1
3,21901272,"AUG 06, 2020",DEN vs. POR,27,2,2,12,0,4,7,1
4,21901264,"AUG 05, 2020",DEN @ SAS,30,0,0,15,2,5,9,1
5,21901251,"AUG 03, 2020",DEN @ OKC,37,1,1,12,3,4,6,1
6,21901239,"AUG 01, 2020",DEN vs. MIA,11,3,0,1,3,2,8,1
7,21900973,"MAR 11, 2020",DEN @ DAL,0,0,1,1,0,0,0,0
8,21900958,"MAR 09, 2020",DEN vs. MIL,0,0,0,1,0,0,1,0
9,21900942,"MAR 07, 2020",DEN @ CLE,7,1,1,2,1,1,3,0
10,21900913,"MAR 03, 2020",DEN vs. GSW,3,0,0,2,1,1,1,0
11,21900898,"MAR 01, 2020",DEN vs. TOR,11,3,1,6,0,1,3,0
12,21900886,"FEB 28, 2020",DEN @ LAC,7,1,0,3,0,1,1,1
13,21900860,"FEB 25, 2020",DEN vs. DET,13,1,0,8,2,1,3,0
14,21900844,"FEB 23, 2020",DEN vs. MIN,2,0,0,3,0,0,1,0
15,21900831,"FEB 21, 2020",DEN @ OKC,4,0,0,2,1,0,1,0
16,21900724,"JAN 31, 2020",DEN @ MIL,15,1,1,11,1,1,3,2
17,21900718,"JAN 30, 2020",DEN vs. UTA,12,2,1,12,2,2,4,1
18,21900704,"JAN 28, 2020",DEN @ MEM,8,1,3,4,0,2,4,0
19,21900685,"JAN 26, 2020",DEN vs. HOU,17,1,0,9,1,4,6,0
20,21900676,"JAN 24, 2020",DEN @ NOP,15,1,1,10,1,3,7,0
21,21900649,"JAN 20, 2020",DEN @ MIN,20,4,0,14,1,4,8,1
22,21900638,"JAN 19, 2020",DEN vs. IND,10,0,2,8,0,0,2,0
23,21900617,"JAN 16, 2020",DEN @ GSW,18,5,2,10,0,3,3,1
24,21900610,"JAN 15, 2020",DEN vs. CHA,19,1,2,8,0,2,5,1
25,21900589,"JAN 12, 2020",DEN vs. LAC,13,0,1,4,1,1,1,1
26,21900582,"JAN 11, 2020",DEN vs. CLE,0,0,0,0,1,0,1,0
27,21900559,"JAN 08, 2020",DEN @ DAL,2,0,1,3,3,0,1,0
28,21900543,"JAN 06, 2020",DEN @ ATL,4,2,0,3,1,0,0,2
29,21900528,"JAN 04, 2020",DEN @ WAS,7,0,0,2,3,0,2,1
30,21900509,"JAN 02, 2020",DEN @ IND,25,1,0,5,1,2,3,0
31,21900501,"DEC 31, 2019",DEN @ HOU,7,0,0,3,0,1,3,0
32,21900489,"DEC 29, 2019",DEN vs. SAC,19,1,0,6,0,1,3,0
33,21900472,"DEC 28, 2019",DEN vs. MEM,11,0,2,4,1,3,5,1
34,21900459,"DEC 25, 2019",DEN vs. NOP,5,1,0,1,0,1,2,0
35,21900451,"DEC 23, 2019",DEN @ PHX,3,0,0,1,1,1,1,0
36,21900443,"DEC 22, 2019",DEN @ LAL,2,0,0,1,0,0,0,1
37,21900427,"DEC 20, 2019",DEN vs. MIN,2,1,0,5,0,0,2,0
38,21900414,"DEC 18, 2019",DEN vs. ORL,4,0,1,3,0,0,1,1
39,21900392,"DEC 15, 2019",DEN vs. NYK,9,2,0,8,1,0,1,1
40,21900387,"DEC 14, 2019",DEN vs. OKC,0,0,0,0,0,0,1,1
41,21900370,"DEC 12, 2019",DEN vs. POR,6,0,0,1,3,2,4,0
42,21900353,"DEC 10, 2019",DEN @ PHI,6,0,0,6,0,0,0,0
43,21900323,"DEC 06, 2019",DEN @ BOS,9,0,0,3,0,1,2,0
44,21900317,"DEC 05, 2019",DEN @ NYK,6,1,0,3,2,2,3,0
45,21900238,"NOV 24, 2019",DEN vs. PHX,2,1,0,0,0,0,1,0
46,21900222,"NOV 22, 2019",DEN vs. BOS,4,0,0,5,1,0,2,1
47,21900186,"NOV 17, 2019",DEN @ MEM,0,2,0,3,2,0,1,2
48,21900166,"NOV 14, 2019",DEN vs. BKN,0,0,0,1,0,0,1,0
49,21900150,"NOV 12, 2019",DEN vs. ATL,2,0,0,1,0,0,0,0
50,21900132,"NOV 10, 2019",DEN @ MIN,5,0,0,4,1,1,1,0
51,21900123,"NOV 08, 2019",DEN vs. PHI,2,0,0,0,0,0,1,0
52,21900102,"NOV 05, 2019",DEN vs. MIA,4,0,0,1,0,0,0,0
53,21900079,"NOV 02, 2019",DEN @ ORL,3,0,0,4,1,0,0,0
