,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022001076,"MAY 16, 2021",DEN @ POR,9,0,0,3,1,3,6,0
1,0022001054,"MAY 14, 2021",DEN @ DET,9,3,1,6,1,1,7,0
2,0022000448,"MAY 11, 2021",DEN @ CHA,30,1,2,6,5,6,10,0
3,0022001015,"MAY 08, 2021",DEN vs. BKN,28,2,2,4,2,6,10,0
4,0022001008,"MAY 07, 2021",DEN @ UTA,31,1,2,6,1,4,9,0
5,0022000995,"MAY 05, 2021",DEN vs. NYK,17,3,0,6,1,3,6,0
6,0022000982,"MAY 03, 2021",DEN @ LAL,19,0,1,6,2,2,7,0
7,0022000966,"MAY 01, 2021",DEN @ LAC,25,5,0,7,2,4,7,0
8,0022000948,"APR 29, 2021",DEN vs. TOR,23,1,0,7,3,3,8,3
9,0022000940,"APR 28, 2021",DEN vs. NOP,28,1,1,8,2,3,8,1
10,0022000925,"APR 26, 2021",DEN vs. MEM,31,2,1,7,2,3,6,1
11,0022000910,"APR 24, 2021",DEN vs. HOU,39,2,0,6,1,8,12,3
12,0022000903,"APR 23, 2021",DEN @ GSW,26,1,1,5,0,7,14,2
13,0022000890,"APR 21, 2021",DEN @ POR,17,2,0,5,1,1,4,0
14,0022000874,"APR 19, 2021",DEN vs. MEM,21,1,0,7,3,5,8,1
15,0022000851,"APR 16, 2021",DEN @ HOU,21,1,1,5,0,4,7,0
16,0022000838,"APR 14, 2021",DEN vs. MIA,25,0,0,10,1,3,6,3
17,0022000821,"APR 12, 2021",DEN @ GSW,24,2,0,9,2,1,7,0
18,0022000806,"APR 11, 2021",DEN vs. BOS,22,0,1,11,0,1,12,1
19,0022000797,"APR 09, 2021",DEN vs. SAS,22,2,1,10,2,2,7,1
20,0022000782,"APR 07, 2021",DEN vs. SAS,18,1,1,10,1,1,3,1
21,0022000321,"APR 06, 2021",DEN vs. DET,25,0,0,7,1,3,4,0
22,0022000761,"APR 04, 2021",DEN vs. ORL,20,0,0,12,1,2,5,1
23,0022000736,"APR 01, 2021",DEN @ LAC,20,1,0,4,2,1,2,2
24,0022000719,"MAR 30, 2021",DEN vs. PHI,27,4,1,12,2,5,7,1
25,0022000705,"MAR 28, 2021",DEN vs. ATL,15,3,0,10,0,2,5,0
26,0022000689,"MAR 26, 2021",DEN @ NOP,25,2,0,5,2,5,6,1
27,0022000668,"MAR 24, 2021",DEN @ TOR,19,0,0,8,1,5,6,0
28,0022000661,"MAR 23, 2021",DEN @ ORL,18,1,0,7,1,2,5,1
29,0022000646,"MAR 21, 2021",DEN vs. NOP,17,1,0,9,1,2,5,1
30,0022000637,"MAR 19, 2021",DEN vs. CHI,19,2,1,6,1,1,5,0
31,0022000624,"MAR 17, 2021",DEN vs. CHA,28,1,0,13,2,3,6,0
32,0022000606,"MAR 15, 2021",DEN vs. IND,20,1,0,8,0,0,4,1
33,0022000592,"MAR 13, 2021",DEN vs. DAL,23,0,0,8,0,4,5,0
34,0022000580,"MAR 12, 2021",DEN @ MEM,21,0,0,9,1,2,4,1
35,0022000553,"MAR 04, 2021",DEN @ IND,24,0,2,11,2,5,9,1
36,0022000540,"MAR 02, 2021",DEN @ MIL,11,0,1,7,0,3,6,1
37,0022000531,"MAR 01, 2021",DEN @ CHI,17,1,1,15,1,2,4,1
38,0022000518,"FEB 27, 2021",DEN @ OKC,20,0,0,10,2,5,8,0
39,0022000502,"FEB 25, 2021",DEN vs. WAS,18,1,1,10,3,3,7,1
40,0022000487,"FEB 23, 2021",DEN vs. POR,12,1,0,10,0,2,4,1
41,0022000470,"FEB 21, 2021",DEN @ ATL,10,0,0,3,0,1,3,2
42,0022000563,"FEB 19, 2021",DEN @ CLE,22,1,0,7,2,3,6,0
43,0022000437,"FEB 17, 2021",DEN @ WAS,14,1,1,7,2,2,7,1
44,0022000427,"FEB 16, 2021",DEN @ BOS,0,3,0,7,0,0,5,1
45,0022000416,"FEB 14, 2021",DEN vs. LAL,8,1,0,3,1,1,7,2
46,0022000401,"FEB 12, 2021",DEN vs. OKC,15,0,1,4,1,1,6,2
47,0022000388,"FEB 10, 2021",DEN vs. CLE,19,2,2,5,0,4,7,2
48,0022000373,"FEB 08, 2021",DEN vs. MIL,8,2,1,7,2,2,5,1
49,0022000352,"FEB 06, 2021",DEN @ SAC,8,0,0,9,0,1,7,3
50,0022000341,"FEB 04, 2021",DEN @ LAL,8,0,1,3,0,0,4,0
51,0022000306,"JAN 31, 2021",DEN vs. UTA,11,0,0,4,1,1,1,0
52,0022000296,"JAN 29, 2021",DEN @ SAS,9,0,0,4,3,2,2,2
53,0022000275,"JAN 27, 2021",DEN @ MIA,17,1,4,5,3,3,7,0
54,0022000265,"JAN 25, 2021",DEN @ DAL,30,0,2,8,1,6,10,0
55,0022000248,"JAN 23, 2021",DEN @ PHX,14,0,1,11,3,3,4,1
56,0022000238,"JAN 22, 2021",DEN @ PHX,7,2,1,6,0,1,4,0
57,0022000055,"DEC 29, 2020",DEN @ SAC,30,1,0,10,0,4,7,2
58,0022000044,"DEC 28, 2020",DEN vs. HOU,14,2,0,9,0,2,6,1
59,0022000009,"DEC 25, 2020",DEN vs. LAC,10,2,2,3,0,2,6,0
60,0022000019,"DEC 23, 2020",DEN vs. SAC,24,2,2,5,2,3,7,3
