,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21801223,"APR 10, 2019",NYK vs. DET,11,0,1,2,0,0,0,0
1,21801213,"APR 09, 2019",NYK @ CHI,8,0,0,17,1,0,0,3
2,21801204,"APR 07, 2019",NYK vs. WAS,11,0,0,11,1,0,0,3
3,21801184,"APR 05, 2019",NYK @ HOU,12,1,1,9,1,0,0,3
4,21801166,"APR 03, 2019",NYK @ ORL,12,0,3,9,0,0,0,2
5,21801155,"APR 01, 2019",NYK vs. CHI,14,4,0,10,1,0,0,3
6,21801141,"MAR 30, 2019",NYK vs. MIA,9,0,3,14,1,0,0,4
7,21801125,"MAR 28, 2019",NYK vs. TOR,19,0,1,21,0,0,0,2
8,21801095,"MAR 24, 2019",NYK vs. LAC,2,2,2,7,0,0,0,2
9,21801082,"MAR 22, 2019",NYK vs. DEN,16,0,0,10,0,0,0,3
10,21801068,"MAR 20, 2019",NYK vs. UTA,14,1,1,12,0,0,0,3
11,21801053,"MAR 18, 2019",NYK @ TOR,0,0,0,5,1,0,0,3
12,21801042,"MAR 17, 2019",NYK vs. LAL,2,0,0,3,0,0,0,2
13,21801032,"MAR 15, 2019",NYK @ SAS,2,1,1,10,1,0,0,2
14,21801007,"MAR 12, 2019",NYK @ IND,7,0,0,2,0,0,0,3
15,21800998,"MAR 10, 2019",NYK @ MIN,8,1,1,10,0,0,0,5
16,21800986,"MAR 09, 2019",NYK vs. SAC,8,0,1,9,1,0,0,3
17,21800972,"MAR 06, 2019",NYK @ PHX,8,1,2,8,2,0,0,4
18,21800957,"MAR 04, 2019",NYK @ SAC,4,0,0,7,2,0,0,2
19,21800947,"MAR 03, 2019",NYK @ LAC,16,1,0,13,2,0,0,4
20,21800924,"FEB 28, 2019",NYK vs. CLE,12,0,1,7,0,0,0,2
21,21800908,"FEB 26, 2019",NYK vs. ORL,17,0,3,14,0,0,0,6
22,21800896,"FEB 24, 2019",NYK vs. SAS,15,1,0,14,1,0,0,5
23,21800878,"FEB 22, 2019",NYK vs. MIN,0,1,1,2,0,0,0,3
24,21800865,"FEB 14, 2019",NYK @ ATL,6,0,1,7,1,0,0,4
25,21800856,"FEB 13, 2019",NYK vs. PHI,14,1,2,13,0,0,0,4
26,21800839,"FEB 11, 2019",NYK @ CLE,10,1,1,8,0,0,0,2
27,21800828,"FEB 09, 2019",NYK vs. TOR,15,0,0,7,0,0,0,3
28,21800817,"FEB 08, 2019",NYK @ DET,11,1,0,6,0,0,0,3
29,21800799,"FEB 05, 2019",NYK vs. DET,13,0,0,10,0,0,0,2
30,21800771,"FEB 01, 2019",NYK vs. BOS,8,0,0,8,2,0,0,1
31,21800758,"JAN 30, 2019",NYK vs. DAL,4,0,1,7,1,0,0,4
32,21800744,"JAN 28, 2019",NYK @ CHA,10,0,1,2,0,0,0,3
33,21800741,"JAN 27, 2019",NYK vs. MIA,6,1,3,7,0,0,0,2
34,21800721,"JAN 25, 2019",NYK @ BKN,6,0,0,4,0,0,0,4
35,21800710,"JAN 23, 2019",NYK vs. HOU,12,0,1,1,0,0,0,3
36,21800691,"JAN 21, 2019",NYK vs. OKC,8,1,1,6,0,0,0,2
37,21800665,"JAN 17, 2019",NYK @ WAS,4,0,0,2,0,0,0,1
38,21800421,"DEC 14, 2018",NYK @ CHA,2,1,0,1,1,0,0,1
39,21800406,"DEC 12, 2018",NYK @ CLE,2,1,1,1,0,0,0,0
40,21800389,"DEC 09, 2018",NYK vs. CHA,6,1,0,2,1,0,0,2
41,21800382,"DEC 08, 2018",NYK vs. BKN,4,3,3,6,0,0,0,1
42,21800365,"DEC 06, 2018",NYK @ BOS,7,1,0,8,1,0,0,2
43,21800346,"DEC 03, 2018",NYK vs. WAS,4,2,0,1,1,0,0,3
44,21800330,"DEC 01, 2018",NYK vs. MIL,6,0,0,5,1,0,0,1
45,21800307,"NOV 28, 2018",NYK @ PHI,5,1,0,6,2,0,0,4
46,21800301,"NOV 27, 2018",NYK @ DET,2,0,0,5,2,0,0,1
47,21800291,"NOV 25, 2018",NYK @ MEM,0,0,1,2,0,0,0,0
