,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022101171,"APR 03, 2022",NYK @ ORL,12,0,3,10,2,0,0,5
1,0022101162,"APR 02, 2022",NYK vs. CLE,7,0,1,2,0,0,0,3
2,0022101140,"MAR 30, 2022",NYK vs. CHA,6,2,1,10,0,0,0,1
3,0022101126,"MAR 28, 2022",NYK vs. CHI,16,2,1,12,0,0,0,3
4,0022101115,"MAR 27, 2022",NYK @ DET,4,1,1,9,2,0,0,5
5,0022101103,"MAR 25, 2022",NYK @ MIA,11,1,1,6,1,0,0,0
6,0022101081,"MAR 22, 2022",NYK vs. ATL,9,0,3,6,2,0,0,4
7,0022101067,"MAR 20, 2022",NYK vs. UTA,4,2,1,3,0,0,0,1
8,0022101050,"MAR 18, 2022",NYK vs. WAS,15,0,0,12,0,0,0,0
9,0022101037,"MAR 16, 2022",NYK vs. POR,7,0,0,6,2,0,0,5
10,0022101012,"MAR 13, 2022",NYK @ BKN,7,1,0,5,1,0,0,4
11,0022101000,"MAR 11, 2022",NYK @ MEM,10,4,3,16,3,0,0,4
12,0022100988,"MAR 09, 2022",NYK @ DAL,11,0,2,11,1,0,0,3
13,0022100974,"MAR 07, 2022",NYK @ SAC,0,0,0,0,0,0,0,0
14,0022100966,"MAR 06, 2022",NYK @ LAC,12,0,1,11,1,0,0,2
15,0022100953,"MAR 04, 2022",NYK @ PHX,17,1,4,15,1,0,0,3
16,0022100934,"MAR 02, 2022",NYK @ PHI,10,0,0,7,0,0,0,1
17,0022100912,"FEB 27, 2022",NYK vs. PHI,6,1,0,4,1,0,0,0
18,0022100900,"FEB 25, 2022",NYK vs. MIA,0,0,1,9,3,0,0,1
19,0022100877,"FEB 16, 2022",NYK vs. BKN,2,0,2,7,0,0,0,3
20,0022100860,"FEB 14, 2022",NYK vs. OKC,14,0,4,17,2,0,0,4
21,0022100845,"FEB 12, 2022",NYK @ POR,2,0,0,0,0,0,0,3
22,0022100837,"FEB 10, 2022",NYK @ GSW,7,0,0,11,0,0,0,0
23,0022100814,"FEB 07, 2022",NYK @ UTA,19,1,2,21,0,0,0,3
24,0022100799,"FEB 05, 2022",NYK @ LAL,4,0,3,11,0,0,0,0
25,0022100776,"FEB 02, 2022",NYK vs. MEM,14,1,0,11,3,0,0,8
26,0022100763,"JAN 31, 2022",NYK vs. SAC,9,1,1,13,1,0,0,2
27,0022100744,"JAN 28, 2022",NYK @ MIL,7,0,0,6,1,0,0,1
28,0022100727,"JAN 26, 2022",NYK @ MIA,7,1,1,10,1,0,0,0
29,0022100698,"JAN 23, 2022",NYK vs. LAC,8,2,0,8,0,0,0,0
30,0022100681,"JAN 20, 2022",NYK vs. NOP,17,0,0,15,1,0,0,1
31,0022100666,"JAN 18, 2022",NYK vs. MIN,8,0,0,6,0,0,0,0
32,0022100655,"JAN 17, 2022",NYK vs. CHA,10,0,1,6,1,0,0,1
33,0022100643,"JAN 15, 2022",NYK @ ATL,14,0,1,13,1,0,0,0
34,0022100622,"JAN 12, 2022",NYK vs. DAL,19,0,1,10,1,0,0,2
35,0022100610,"JAN 10, 2022",NYK vs. SAS,13,0,1,11,2,0,0,4
36,0022100595,"JAN 08, 2022",NYK @ BOS,11,0,0,8,2,0,0,1
37,0022100578,"JAN 06, 2022",NYK vs. BOS,7,0,2,4,2,0,0,0
38,0022100564,"JAN 04, 2022",NYK vs. IND,8,0,0,8,0,0,0,0
39,0022100536,"DEC 31, 2021",NYK @ OKC,9,0,0,12,1,0,0,1
40,0022100516,"DEC 29, 2021",NYK @ DET,7,1,0,7,3,0,0,0
41,0022100512,"DEC 28, 2021",NYK @ MIN,14,0,2,18,1,0,0,1
42,0022100488,"DEC 25, 2021",NYK vs. ATL,4,1,0,8,1,0,0,5
43,0022100480,"DEC 23, 2021",NYK vs. WAS,8,0,0,3,1,0,0,0
44,0022100466,"DEC 21, 2021",NYK vs. DET,17,0,1,14,1,0,0,3
45,0022100445,"DEC 18, 2021",NYK @ BOS,3,0,2,8,0,0,0,0
46,0022100431,"DEC 16, 2021",NYK @ HOU,17,0,1,9,0,0,0,3
47,0022100414,"DEC 14, 2021",NYK vs. GSW,2,0,0,2,0,0,0,1
48,0022100398,"DEC 12, 2021",NYK vs. MIL,9,0,0,8,0,0,0,0
49,0022100385,"DEC 10, 2021",NYK @ TOR,4,0,0,8,1,0,0,2
50,0022100369,"DEC 08, 2021",NYK @ IND,4,0,0,2,0,0,0,2
51,0022100364,"DEC 07, 2021",NYK @ SAS,11,0,2,14,1,0,0,3
52,0022100342,"DEC 04, 2021",NYK vs. DEN,4,1,1,6,0,0,0,2
53,0022100328,"DEC 02, 2021",NYK vs. CHI,9,0,0,8,2,0,0,5
54,0022100314,"NOV 30, 2021",NYK @ BKN,8,1,0,7,0,0,0,1
55,0022100293,"NOV 27, 2021",NYK @ ATL,2,1,0,11,0,0,0,1
56,0022100282,"NOV 26, 2021",NYK vs. PHX,7,0,1,8,0,0,0,0
57,0022100239,"NOV 20, 2021",NYK vs. HOU,6,0,1,5,0,0,0,2
58,0022100218,"NOV 17, 2021",NYK vs. ORL,13,0,0,11,0,0,0,1
59,0022100203,"NOV 15, 2021",NYK vs. IND,2,0,0,2,0,0,0,3
60,0022100174,"NOV 12, 2021",NYK @ CHA,11,0,0,6,1,0,0,1
61,0022100161,"NOV 10, 2021",NYK vs. MIL,3,0,0,6,1,0,0,2
62,0022100140,"NOV 07, 2021",NYK vs. CLE,8,1,0,7,0,0,0,5
63,0022100128,"NOV 05, 2021",NYK @ MIL,4,1,2,6,1,0,0,0
64,0022100109,"NOV 03, 2021",NYK @ IND,3,2,0,6,0,0,0,3
65,0022100099,"NOV 01, 2021",NYK vs. TOR,6,3,0,12,1,0,0,1
66,0022100080,"OCT 30, 2021",NYK @ NOP,8,0,0,5,1,0,0,0
67,0022100067,"OCT 28, 2021",NYK @ CHI,9,0,0,6,1,0,0,2
68,0022100050,"OCT 26, 2021",NYK vs. PHI,7,1,1,6,1,0,0,0
69,0022100036,"OCT 24, 2021",NYK vs. ORL,10,1,2,10,1,0,0,3
70,0022100018,"OCT 22, 2021",NYK @ ORL,6,0,0,9,1,0,0,0
71,0022100005,"OCT 20, 2021",NYK vs. BOS,11,3,0,17,1,0,0,2
