,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS
0,21501230,"APR 13, 2016",DEN @ POR,18,5,0,13,2,10,7,1,2,0,3,3,4
1,21501198,"APR 10, 2016",DEN vs. UTA,19,4,2,11,1,9,7,0,2,1,6,5,-16
2,21501186,"APR 08, 2016",DEN vs. SAS,8,4,1,15,0,9,3,0,2,1,2,2,24
3,21501160,"APR 05, 2016",DEN vs. OKC,7,2,0,2,0,5,3,1,3,2,0,0,-9
4,21501141,"APR 02, 2016",DEN vs. SAC,6,5,1,13,0,6,2,0,1,2,2,2,-1
5,21501125,"MAR 31, 2016",DEN @ NOP,9,3,1,8,1,7,4,1,3,1,0,0,-8
6,21501114,"MAR 30, 2016",DEN @ MEM,9,1,0,14,1,6,4,1,1,1,0,0,3
7,21501103,"MAR 28, 2016",DEN vs. DAL,2,2,2,8,3,7,1,0,2,0,0,0,10
8,21501092,"MAR 27, 2016",DEN @ LAC,5,2,1,9,0,7,2,0,1,0,2,1,-18
9,21501081,"MAR 25, 2016",DEN @ LAL,8,4,0,12,1,9,4,0,2,0,0,0,-2
10,21501064,"MAR 23, 2016",DEN vs. PHI,18,5,1,8,1,6,5,0,0,0,12,8,9
11,21501044,"MAR 21, 2016",DEN @ CLE,11,3,3,4,2,12,4,0,1,0,3,3,-24
12,21501028,"MAR 19, 2016",DEN @ CHA,11,4,0,14,1,16,5,1,2,1,0,0,6
13,21501015,"MAR 17, 2016",DEN @ ATL,8,2,1,5,1,7,4,0,1,1,0,0,-25
14,21500998,"MAR 15, 2016",DEN @ ORL,14,4,1,6,2,8,5,1,1,1,3,3,-5
15,21500990,"MAR 14, 2016",DEN @ MIA,12,4,2,8,1,10,5,1,2,1,2,1,4
16,21500980,"MAR 12, 2016",DEN vs. WAS,0,3,0,5,2,0,0,0,0,0,0,0,-4
17,21500961,"MAR 10, 2016",DEN vs. PHX,18,4,2,10,0,8,6,1,2,3,5,5,20
