,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS
0,0021701225,"APR 11, 2018",DEN @ MIN,35,3,1,10,3,25,14,4,7,0,4,3,7
1,0021701211,"APR 09, 2018",DEN vs. POR,15,11,2,20,2,14,5,1,4,1,4,4,18
2,0021701191,"APR 07, 2018",DEN @ LAC,23,11,2,11,2,14,9,1,2,1,5,4,11
3,0021701180,"APR 05, 2018",DEN vs. MIN,16,9,1,14,2,20,6,1,6,1,3,3,1
4,0021701165,"APR 03, 2018",DEN vs. IND,30,7,4,6,4,17,11,4,6,1,6,4,9
5,0021701152,"APR 01, 2018",DEN vs. MIL,35,5,0,13,4,24,14,2,5,3,5,5,5
6,0021701133,"MAR 30, 2018",DEN @ OKC,23,6,1,16,4,22,11,1,6,2,0,0,11
7,0021701109,"MAR 27, 2018",DEN @ TOR,29,8,2,16,3,21,11,3,7,1,4,4,4
8,0021701105,"MAR 26, 2018",DEN @ PHI,14,4,1,7,2,14,4,1,2,1,6,5,-6
9,0021701079,"MAR 23, 2018",DEN @ WAS,25,5,0,8,2,21,10,3,6,1,2,2,12
10,0021701069,"MAR 21, 2018",DEN @ CHI,21,5,0,7,1,11,9,2,2,0,1,1,18
11,0021701054,"MAR 19, 2018",DEN @ MIA,34,3,1,15,5,22,12,4,5,0,6,6,1
12,0021701040,"MAR 17, 2018",DEN @ MEM,17,2,3,13,1,15,5,1,4,2,8,6,-1
13,0021701026,"MAR 15, 2018",DEN vs. DET,23,10,3,12,2,15,8,2,5,3,6,5,15
14,0021701015,"MAR 13, 2018",DEN @ LAL,15,5,1,9,4,8,5,2,5,0,3,3,5
15,0021700996,"MAR 11, 2018",DEN vs. SAC,20,10,2,11,2,10,8,4,4,1,0,0,33
16,0021700983,"MAR 09, 2018",DEN vs. LAL,21,6,2,6,3,14,8,1,3,0,4,4,13
17,0021700970,"MAR 07, 2018",DEN vs. CLE,36,6,0,13,5,14,12,2,3,0,11,10,1
18,0021700961,"MAR 06, 2018",DEN @ DAL,4,5,2,9,1,9,2,0,4,1,1,0,-8
19,0021700937,"MAR 03, 2018",DEN @ CLE,9,8,0,7,2,8,3,1,2,1,3,2,12
20,0021700931,"MAR 02, 2018",DEN @ MEM,9,5,1,9,5,5,2,0,1,0,7,5,6
21,0021700912,"FEB 27, 2018",DEN vs. LAC,18,4,1,6,5,5,4,2,3,1,8,8,6
22,0021700896,"FEB 25, 2018",DEN vs. HOU,21,8,1,14,3,18,7,0,1,1,9,7,-9
23,0021700880,"FEB 23, 2018",DEN vs. SAS,28,11,0,11,3,16,10,3,5,0,7,5,9
24,0021700865,"FEB 15, 2018",DEN @ MIL,30,17,1,15,8,14,11,3,3,2,5,5,11
25,0021700852,"FEB 13, 2018",DEN vs. SAS,23,11,0,13,1,15,8,2,5,1,6,5,11
26,0021700832,"FEB 10, 2018",DEN @ PHX,21,8,1,9,2,12,5,1,2,1,11,10,5
27,0021700823,"FEB 09, 2018",DEN @ HOU,14,5,2,7,1,8,6,1,1,1,2,1,-24
28,0021700794,"FEB 05, 2018",DEN vs. CHA,15,7,2,16,3,11,5,2,4,0,3,3,15
29,0021700782,"FEB 03, 2018",DEN vs. GSW,19,5,2,9,4,16,7,2,3,0,3,3,0
30,0021700765,"FEB 01, 2018",DEN vs. OKC,29,14,1,13,2,18,11,2,5,2,6,5,5
31,0021700750,"JAN 30, 2018",DEN @ SAS,13,8,0,7,5,11,6,1,2,0,0,0,-8
32,0021700743,"JAN 29, 2018",DEN vs. BOS,24,5,0,11,2,17,8,2,5,0,7,6,10
33,0021700730,"JAN 27, 2018",DEN vs. DAL,11,11,0,16,3,13,5,1,6,2,1,0,9
34,0021700712,"JAN 25, 2018",DEN vs. NYK,18,10,0,7,1,9,5,1,2,0,9,7,12
35,0021700694,"JAN 22, 2018",DEN vs. POR,16,5,1,12,3,17,5,2,5,1,7,4,9
36,0021700671,"JAN 19, 2018",DEN vs. PHX,14,5,0,17,6,12,5,2,3,0,2,2,-1
37,0021700662,"JAN 17, 2018",DEN @ LAC,18,2,1,8,1,18,7,1,8,2,4,3,-10
38,0021700651,"JAN 16, 2018",DEN vs. DAL,29,7,2,18,5,23,11,0,2,1,10,7,-2
39,0021700633,"JAN 13, 2018",DEN @ SAS,23,7,2,9,2,13,8,3,6,0,4,4,-18
40,0021700625,"JAN 12, 2018",DEN vs. MEM,14,3,0,7,1,8,3,1,3,0,8,7,8
41,0021700612,"JAN 10, 2018",DEN vs. ATL,9,7,2,12,2,21,4,0,8,3,2,1,-14
42,0021700597,"JAN 08, 2018",DEN @ GSW,22,11,3,12,6,16,9,1,1,1,3,3,2
43,0021700585,"JAN 06, 2018",DEN @ SAC,8,10,0,7,5,10,3,0,4,0,2,2,-13
44,0021700574,"JAN 05, 2018",DEN vs. UTA,8,4,1,10,2,13,3,1,4,0,2,1,6
45,0021700563,"JAN 03, 2018",DEN vs. PHX,14,8,2,9,6,6,4,1,1,0,5,5,24
46,0021700536,"DEC 30, 2017",DEN vs. PHI,19,6,1,13,2,14,5,1,5,3,9,8,14
47,0021700510,"DEC 27, 2017",DEN @ MIN,22,4,2,9,2,11,5,1,3,1,12,11,1
48,0021700503,"DEC 26, 2017",DEN vs. UTA,13,5,1,7,1,10,4,1,3,0,4,4,11
49,0021700489,"DEC 23, 2017",DEN @ GSW,18,4,1,9,2,16,9,0,3,1,0,0,17
50,0021700478,"DEC 22, 2017",DEN @ POR,27,6,0,9,4,21,12,2,6,2,1,1,29
51,0021700462,"DEC 20, 2017",DEN vs. MIN,22,4,0,6,10,12,6,2,6,2,9,8,-1
52,0021700447,"DEC 18, 2017",DEN @ OKC,13,2,2,9,1,9,5,0,2,0,4,3,3
53,0021700427,"DEC 15, 2017",DEN vs. NOP,13,4,0,11,1,13,6,1,2,0,0,0,-4
54,0021700315,"NOV 30, 2017",DEN vs. CHI,8,4,0,4,0,6,3,0,0,0,2,2,-6
55,0021700301,"NOV 28, 2017",DEN @ UTA,7,6,1,6,2,7,3,1,3,1,0,0,-20
56,0021700274,"NOV 24, 2017",DEN vs. MEM,28,8,2,13,5,17,11,2,5,0,6,4,17
57,0021700259,"NOV 22, 2017",DEN @ HOU,17,3,2,6,2,14,7,1,2,1,3,2,-12
58,0021700251,"NOV 20, 2017",DEN @ SAC,16,3,1,14,2,12,7,2,6,1,0,0,24
59,0021700240,"NOV 19, 2017",DEN @ LAL,6,1,1,6,2,5,1,0,0,0,4,4,-16
60,0021700226,"NOV 17, 2017",DEN vs. NOP,13,6,0,11,2,5,3,1,2,1,6,6,23
61,0021700198,"NOV 13, 2017",DEN @ POR,6,3,3,7,3,9,2,1,4,1,2,1,0
62,0021700185,"NOV 11, 2017",DEN vs. ORL,12,9,4,17,1,8,3,1,1,1,6,5,25
63,0021700168,"NOV 09, 2017",DEN vs. OKC,15,3,1,11,3,16,7,1,5,0,0,0,5
64,0021700155,"NOV 07, 2017",DEN vs. BKN,41,5,2,12,1,25,16,4,9,2,6,5,25
65,0021700135,"NOV 04, 2017",DEN vs. GSW,8,3,2,7,1,6,2,0,0,0,4,4,-16
66,0021700127,"NOV 03, 2017",DEN vs. MIA,19,2,4,14,1,15,8,2,6,1,1,1,-5
67,0021700114,"NOV 01, 2017",DEN vs. TOR,8,10,1,16,0,10,4,0,3,2,0,0,20
68,0021700094,"OCT 30, 2017",DEN @ NYK,28,2,1,8,2,15,9,6,10,1,6,4,5
69,0021700087,"OCT 29, 2017",DEN @ BKN,21,4,1,14,1,16,9,1,3,1,2,2,7
70,0021700072,"OCT 27, 2017",DEN @ ATL,18,5,1,15,2,16,8,0,1,0,2,2,8
71,0021700055,"OCT 25, 2017",DEN @ CHA,18,0,0,12,2,12,8,1,1,0,1,1,-19
72,0021700047,"OCT 23, 2017",DEN vs. WAS,29,5,1,9,7,14,9,3,3,0,8,8,-1
73,0021700035,"OCT 21, 2017",DEN vs. SAC,0,7,1,9,3,3,0,0,1,0,0,0,21
74,0021700010,"OCT 18, 2017",DEN @ UTA,7,7,0,12,4,10,3,1,4,0,0,0,-9
