Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST,PTS+AST,REB+AST,PTS+REB,BLKS+STLS
0022300550,"JAN 14, 2024",DEN vs. IND,25,9,2,12,7,13,12,0,0,1,2,1,10,46,34,21,37,3
0022300539,"JAN 12, 2024",DEN vs. NOP,27,14,0,10,2,17,11,1,2,1,4,4,12,51,41,24,37,1
0022300524,"JAN 10, 2024",DEN @ UTA,27,6,1,11,6,9,8,1,1,0,12,10,-21,44,33,17,38,1
0022300502,"JAN 07, 2024",DEN vs. DET,4,16,0,7,2,3,2,0,0,5,0,0,16,27,20,23,11,5
0022300488,"JAN 05, 2024",DEN vs. ORL,29,8,3,4,2,19,13,0,1,0,4,3,-4,41,37,12,33,3
0022300478,"JAN 04, 2024",DEN @ GSW,34,10,2,9,4,16,13,2,2,1,7,6,4,53,44,19,43,3
0022300455,"JAN 01, 2024",DEN vs. CHA,13,6,1,11,3,7,6,0,0,1,1,1,27,30,19,17,24,2
0022300435,"DEC 29, 2023",DEN vs. OKC,19,7,1,10,7,10,9,1,1,1,0,0,-19,36,26,17,29,2
0022300425,"DEC 28, 2023",DEN vs. MEM,26,10,0,14,3,11,11,1,1,2,3,3,25,50,36,24,40,2
0022300402,"DEC 25, 2023",DEN vs. GSW,26,8,0,14,3,12,4,0,2,0,18,18,21,48,34,22,40,0
0022300390,"DEC 23, 2023",DEN @ CHA,18,9,1,10,3,14,8,0,2,1,2,2,12,37,27,19,28,2
0022300383,"DEC 22, 2023",DEN @ BKN,31,7,3,11,0,17,12,2,2,2,5,5,29,49,38,18,42,5
0022300369,"DEC 20, 2023",DEN @ TOR,31,6,0,15,2,23,13,3,5,2,3,2,15,52,37,21,46,2
0022300356,"DEC 18, 2023",DEN vs. DAL,8,7,2,9,2,8,3,0,1,0,2,2,16,24,15,16,17,2
0022300340,"DEC 16, 2023",DEN vs. OKC,24,12,2,6,3,15,8,1,2,0,8,7,-9,42,36,18,30,2
0022300322,"DEC 14, 2023",DEN vs. BKN,26,10,1,14,1,12,8,0,2,0,12,10,21,50,36,24,40,1
0022300307,"DEC 12, 2023",DEN @ CHI,4,6,0,9,0,5,2,0,0,0,0,0,5,19,10,15,13,0
0022300296,"DEC 11, 2023",DEN @ ATL,25,9,3,8,1,13,9,1,1,2,7,6,8,42,34,17,33,5
0022301224,"DEC 08, 2023",DEN vs. HOU,23,5,0,16,3,26,9,1,2,2,7,4,3,44,28,21,39,2
0022301215,"DEC 06, 2023",DEN @ LAC,22,10,1,15,4,32,9,2,7,0,2,2,1,47,32,25,37,1
0022300290,"DEC 02, 2023",DEN @ SAC,36,14,2,13,0,23,13,1,4,1,12,9,11,63,50,27,49,3
0022300279,"DEC 01, 2023",DEN @ PHX,21,16,1,5,3,18,9,0,3,2,6,3,6,42,37,21,26,3
0022300263,"NOV 29, 2023",DEN vs. HOU,32,15,1,10,0,19,12,1,2,0,8,7,29,57,47,25,42,1
0022300252,"NOV 26, 2023",DEN vs. SAS,39,9,1,11,5,29,17,0,0,0,5,5,14,59,48,20,50,1
0022300048,"NOV 24, 2023",DEN @ HOU,38,8,3,19,3,31,14,3,8,0,11,7,-12,65,46,27,57,3
0022300226,"NOV 22, 2023",DEN @ ORL,30,12,3,13,1,18,12,1,2,2,5,5,4,55,42,25,43,5
0022300218,"NOV 20, 2023",DEN @ DET,9,5,0,5,1,8,4,1,4,1,0,0,-4,19,14,10,14,1
0022300210,"NOV 19, 2023",DEN @ CLE,18,7,1,10,3,13,8,0,0,1,5,2,-16,35,25,17,28,2
0022300034,"NOV 17, 2023",DEN @ NOP,26,18,1,16,4,20,10,1,8,1,5,5,5,60,44,34,42,2
0022300024,"NOV 14, 2023",DEN vs. LAC,32,9,1,16,4,23,8,2,7,0,14,14,3,57,41,25,48,1
0022300182,"NOV 12, 2023",DEN @ HOU,36,11,0,21,3,26,13,2,6,1,8,8,12,68,47,32,57,1
0022300169,"NOV 08, 2023",DEN vs. GSW,35,5,3,13,3,25,14,1,8,1,10,6,3,53,40,18,48,4
0022300156,"NOV 06, 2023",DEN vs. NOP,35,12,1,14,2,24,15,2,6,1,5,3,16,61,47,26,49,2
0022300139,"NOV 04, 2023",DEN vs. CHI,28,9,3,16,1,16,9,1,3,0,9,9,33,53,37,25,44,3
0022300006,"NOV 03, 2023",DEN vs. DAL,33,9,1,14,4,16,14,2,2,1,5,3,17,56,42,23,47,2
0022300123,"NOV 01, 2023",DEN @ MIN,25,3,0,10,5,23,11,1,6,0,2,2,-19,38,28,13,35,0
0022300110,"OCT 30, 2023",DEN vs. UTA,27,11,0,10,1,16,12,1,3,2,5,2,13,48,38,21,37,2
0022300095,"OCT 29, 2023",DEN @ OKC,28,5,0,14,4,16,12,1,2,0,3,3,21,47,33,19,42,0
0022300078,"OCT 27, 2023",DEN @ MEM,22,7,1,12,9,14,8,1,4,1,6,5,6,41,29,19,34,2
0022300061,"OCT 24, 2023",DEN vs. LAL,29,11,1,13,2,22,12,3,5,1,4,2,15,53,40,24,42,2
