Name,Value,Prop
Jayson Tatum,30.5,Points
Trae Young,28.0,Points
Jaylen Brown,26.5,Points
Dejounte Murray,21.5,Points
Derrick White,15.5,Points
De'Andre Hunter,14.5,Points
Marcus Smart,12.0,Points
Clint Capela,9.5,Points
Malcolm Brogdon,13.5,Points
Bogdan Bogdanovic,11.5,Points
Al Horford,7.5,Points
John Collins,11.0,Points
Robert Williams III,8.0,Points
Onyeka Okongwu,7.5,Points
Saddiq Bey,8.5,Points
Jayson Tatum + Jaylen Brown,57.5,Points
Trae Young + Dejounte Murray,49.5,Points
Marcus Smart + Jayson Tatum,43.5,Points
Trae Young + Bogdan Bogdanovic,39.5,Points
Robert Williams III + Al Horford,16.5,Points
Clint Capela + Dejounte Murray,30.5,Points
Dejounte Murray + Jaylen Brown,48.5,Points
Trae Young + Jayson Tatum,58.5,Points
Dejounte Murray + Jayson Tatum,52.5,Points
Trae Young + Marcus Smart,40.5,Points
Clint Capela + Robert Williams III,17.5,Points
Devin Booker,30.5,Points
Nikola Jokic,25.5,Points
Kevin Durant,27.5,Points
Jamal Murray,22.5,Points
Deandre Ayton,15.5,Points
Michael Porter Jr.,16.5,Points
Chris Paul,14.0,Points
Aaron Gordon,14.0,Points
Kentavious Caldwell-Pope,9.5,Points
Jayson Tatum,9.5,Rebounds
Jaylen Brown,6.0,Rebounds
Dejounte Murray,6.0,Rebounds
Derrick White,4.0,Rebounds
De'Andre Hunter,5.0,Rebounds
Clint Capela,9.0,Rebounds
Bogdan Bogdanovic,2.5,Rebounds
Al Horford,6.0,Rebounds
John Collins,5.0,Rebounds
Robert Williams III,8.0,Rebounds
Onyeka Okongwu,5.0,Rebounds
Saddiq Bey,4.0,Rebounds
Jayson Tatum + Jaylen Brown,16.0,Rebounds
Trae Young + Dejounte Murray,9.0,Rebounds
Marcus Smart + Jayson Tatum,13.0,Rebounds
Robert Williams III + Al Horford,15.0,Rebounds
Clint Capela + Dejounte Murray,15.5,Rebounds
Dejounte Murray + Jaylen Brown,12.5,Rebounds
Dejounte Murray + Jayson Tatum,15.5,Rebounds
Clint Capela + Robert Williams III,17.5,Rebounds
Devin Booker,5.0,Rebounds
Nikola Jokic,12.5,Rebounds
Kevin Durant,7.0,Rebounds
Jamal Murray,4.0,Rebounds
Deandre Ayton,9.5,Rebounds
Michael Porter Jr.,6.0,Rebounds
Chris Paul,4.5,Rebounds
Aaron Gordon,6.0,Rebounds
Trae Young,9.0,Assists
Dejounte Murray,5.5,Assists
Marcus Smart,5.5,Assists
Malcolm Brogdon,3.5,Assists
Jayson Tatum + Jaylen Brown,7.5,Assists
Trae Young + Dejounte Murray,14.5,Assists
Marcus Smart + Jayson Tatum,10.0,Assists
Dejounte Murray + Jaylen Brown,8.5,Assists
Trae Young + Jayson Tatum,13.5,Assists
Dejounte Murray + Jayson Tatum,10.0,Assists
Trae Young + Marcus Smart,14.5,Assists
Devin Booker,6.0,Assists
Nikola Jokic,9.0,Assists
Kevin Durant,5.0,Assists
Jamal Murray,6.0,Assists
Chris Paul,9.0,Assists
Jayson Tatum,44.5,Pts+Rebs+Asts
Trae Young,40.5,Pts+Rebs+Asts
Jaylen Brown,36.5,Pts+Rebs+Asts
Dejounte Murray,33.5,Pts+Rebs+Asts
Derrick White,23.5,Pts+Rebs+Asts
De'Andre Hunter,20.5,Pts+Rebs+Asts
Marcus Smart,21.0,Pts+Rebs+Asts
Clint Capela,19.5,Pts+Rebs+Asts
Malcolm Brogdon,20.5,Pts+Rebs+Asts
Devin Booker,40.5,Pts+Rebs+Asts
Nikola Jokic,46.5,Pts+Rebs+Asts
Kevin Durant,40.5,Pts+Rebs+Asts
Jamal Murray,33.5,Pts+Rebs+Asts
Deandre Ayton,26.5,Pts+Rebs+Asts
Michael Porter Jr.,24.5,Pts+Rebs+Asts
Chris Paul,27.5,Pts+Rebs+Asts
Aaron Gordon,22.5,Pts+Rebs+Asts
Jayson Tatum,50.0,Fantasy Score
