,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS
0,0022201082,"MAR 21, 2023",LAC vs. OKC,18,5,3,7,2,17,9,0,5,1,2,0,15
1,0022201069,"MAR 19, 2023",LAC @ POR,29,4,4,9,2,22,8,3,6,1,12,10,6
2,0022201056,"MAR 18, 2023",LAC vs. ORL,30,1,2,3,6,25,12,2,7,0,4,4,-7
3,0022201041,"MAR 15, 2023",LAC vs. GSW,24,7,1,2,1,21,8,4,9,0,6,4,2
4,0022201004,"MAR 11, 2023",LAC vs. NYK,22,8,1,8,1,21,10,2,8,1,0,0,21
5,0022200991,"MAR 08, 2023",LAC vs. TOR,23,4,1,2,4,19,8,2,6,0,5,5,9
6,0022200970,"MAR 05, 2023",LAC vs. MEM,42,3,1,11,3,23,12,4,9,0,15,14,2
7,0022200954,"MAR 03, 2023",LAC @ SAC,28,8,1,7,1,16,8,2,8,0,10,10,6
8,0022200945,"MAR 02, 2023",LAC @ GSW,11,5,0,5,1,15,3,1,8,0,4,4,-10
9,0022200932,"FEB 28, 2023",LAC vs. MIN,25,3,3,6,3,21,10,3,8,0,4,2,-1
10,0022200918,"FEB 26, 2023",LAC @ DEN,23,4,1,4,3,13,6,0,4,1,11,11,-18
11,0022200902,"FEB 24, 2023",LAC vs. SAC,34,5,1,10,4,18,9,5,8,1,14,11,-9
12,0022200885,"FEB 16, 2023",LAC @ PHX,26,5,1,6,4,19,9,4,11,0,4,4,9
13,0022200871,"FEB 14, 2023",LAC vs. GSW,20,8,0,2,2,12,6,1,5,0,7,7,9
14,0022200845,"FEB 10, 2023",LAC vs. MIL,19,6,1,11,1,23,8,3,11,0,0,0,-19
15,0022200829,"FEB 08, 2023",LAC vs. DAL,20,4,1,5,4,20,8,3,9,0,2,1,-12
16,0022200810,"FEB 06, 2023",LAC @ BKN,29,3,2,4,2,20,10,3,7,0,7,6,-2
17,0022200795,"FEB 04, 2023",LAC @ NYK,30,5,1,8,4,16,9,5,9,0,7,7,3
18,0022200784,"FEB 02, 2023",LAC @ MIL,16,2,3,6,3,16,6,2,5,0,6,2,9
19,0022200766,"JAN 31, 2023",LAC @ CHI,16,7,2,10,5,16,7,2,8,0,0,0,4
20,0022200745,"JAN 28, 2023",LAC @ ATL,23,6,1,7,2,18,7,3,9,0,7,6,13
21,0022200735,"JAN 26, 2023",LAC vs. SAS,35,7,3,4,0,19,14,5,8,1,3,2,26
22,0022200719,"JAN 24, 2023",LAC @ LAL,27,4,0,9,4,20,11,3,9,1,2,2,6
23,0022200701,"JAN 22, 2023",LAC @ DAL,21,4,1,6,5,11,6,1,3,0,8,8,2
24,0022200687,"JAN 20, 2023",LAC @ SAS,16,12,1,3,0,13,7,2,3,0,0,0,17
25,0022200668,"JAN 17, 2023",LAC vs. PHI,13,4,1,8,5,11,5,1,4,0,3,2,-5
26,0022200579,"JAN 05, 2023",LAC @ DEN,3,1,0,3,0,9,1,1,5,0,0,0,-16
27,0022200560,"JAN 02, 2023",LAC vs. MIA,25,7,3,3,5,16,7,4,10,0,8,7,-4
28,0022200538,"DEC 31, 2022",LAC @ IND,45,4,3,9,4,25,15,7,13,0,8,8,-4
29,0022200525,"DEC 29, 2022",LAC @ BOS,24,6,2,4,4,22,10,3,9,0,1,1,-9
30,0022200509,"DEC 27, 2022",LAC @ TOR,23,5,1,7,3,18,9,5,9,0,0,0,4
31,0022200499,"DEC 26, 2022",LAC @ DET,32,11,3,4,3,19,9,2,7,1,14,12,-7
32,0022200480,"DEC 23, 2022",LAC @ PHI,22,4,2,3,2,18,7,3,10,0,5,5,-16
33,0022200476,"DEC 21, 2022",LAC vs. CHA,22,8,1,8,7,15,7,4,10,2,4,4,28
34,0022200423,"DEC 14, 2022",LAC vs. MIN,17,11,0,11,4,13,4,2,7,0,8,7,9
35,0022200408,"DEC 12, 2022",LAC vs. BOS,26,3,1,6,2,22,8,2,5,0,9,8,18
36,0022200389,"DEC 10, 2022",LAC @ WAS,36,6,3,7,2,27,13,5,12,2,5,5,8
37,0022200374,"DEC 08, 2022",LAC @ MIA,29,7,1,8,4,20,10,5,11,0,4,4,8
38,0022200363,"DEC 07, 2022",LAC @ ORL,11,5,1,7,4,12,3,2,6,1,3,3,21
39,0022200352,"DEC 05, 2022",LAC @ CHA,19,7,0,3,2,15,8,2,4,0,1,1,-8
40,0022200239,"NOV 19, 2022",LAC vs. SAS,21,1,2,1,0,12,8,5,8,0,0,0,25
41,0022200223,"NOV 17, 2022",LAC vs. DET,16,3,1,9,4,18,5,3,6,0,3,3,4
