,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21900969,"MAR 11, 2020",NYK @ ATL,26,4,2,5,2,2,5,1
1,21900961,"MAR 10, 2020",NYK @ WAS,16,1,4,6,5,1,5,0
2,21900955,"MAR 08, 2020",NYK vs. DET,12,2,1,3,0,1,4,0
3,21900932,"MAR 06, 2020",NYK vs. OKC,17,3,1,4,4,1,3,0
4,21900921,"MAR 04, 2020",NYK vs. UTA,14,5,1,4,2,1,2,0
5,21900903,"MAR 02, 2020",NYK vs. HOU,27,5,1,5,3,3,8,0
6,21900887,"FEB 29, 2020",NYK vs. CHI,19,3,0,4,3,3,4,0
7,21900873,"FEB 27, 2020",NYK @ PHI,15,5,0,6,3,0,1,0
8,21900864,"FEB 26, 2020",NYK @ CHA,5,1,0,3,0,1,4,0
9,21900853,"FEB 24, 2020",NYK @ HOU,21,3,1,6,5,2,5,0
10,21900828,"FEB 21, 2020",NYK vs. IND,17,2,0,4,3,0,5,0
11,21900811,"FEB 12, 2020",NYK vs. WAS,16,0,0,5,2,0,4,0
12,21900787,"FEB 09, 2020",NYK @ ATL,5,3,1,4,0,0,0,0
13,21900779,"FEB 08, 2020",NYK @ DET,3,2,0,2,1,0,2,0
14,21900764,"FEB 06, 2020",NYK vs. ORL,12,3,0,3,1,1,2,0
15,21900614,"JAN 16, 2020",NYK vs. PHX,7,2,0,3,1,1,2,0
16,21900601,"JAN 14, 2020",NYK @ MIL,22,3,1,8,3,5,7,1
17,21900584,"JAN 12, 2020",NYK vs. MIA,23,3,2,5,0,1,3,0
18,21900569,"JAN 10, 2020",NYK vs. NOP,16,2,2,9,3,1,4,0
19,21900561,"JAN 08, 2020",NYK @ UTA,10,0,1,2,3,0,1,0
20,21900553,"JAN 07, 2020",NYK @ LAL,19,0,0,5,3,0,2,0
21,21900534,"JAN 05, 2020",NYK @ LAC,24,0,1,6,1,1,2,1
22,21900521,"JAN 03, 2020",NYK @ PHX,10,2,2,4,4,1,6,1
23,21900505,"JAN 01, 2020",NYK vs. POR,7,0,0,4,3,1,4,0
24,21900476,"DEC 28, 2019",NYK @ WAS,14,1,0,5,2,3,5,0
25,21900461,"DEC 26, 2019",NYK @ BKN,5,2,1,7,2,1,4,0
26,21900447,"DEC 23, 2019",NYK vs. WAS,18,4,1,6,4,2,4,0
27,21900434,"DEC 21, 2019",NYK vs. MIL,17,3,0,5,2,2,4,1
28,21900424,"DEC 20, 2019",NYK @ MIA,2,0,0,2,0,0,3,0
29,21900403,"DEC 17, 2019",NYK vs. ATL,27,1,1,6,0,2,3,0
30,21900392,"DEC 15, 2019",NYK @ DEN,7,1,0,3,2,1,6,0
31,21900378,"DEC 13, 2019",NYK @ SAC,8,2,0,4,0,0,5,0
32,21900366,"DEC 11, 2019",NYK @ GSW,22,3,1,10,3,3,5,1
33,21900355,"DEC 10, 2019",NYK @ POR,5,0,0,4,0,0,2,0
34,21900331,"DEC 07, 2019",NYK vs. IND,12,3,1,9,2,1,3,1
35,21900317,"DEC 05, 2019",NYK vs. DEN,9,5,3,3,3,1,5,1
36,21900297,"DEC 02, 2019",NYK @ MIL,2,1,0,0,0,0,2,1
37,21900285,"DEC 01, 2019",NYK vs. BOS,16,0,1,7,0,0,2,1
38,21900271,"NOV 29, 2019",NYK vs. PHI,18,2,0,3,2,1,2,0
39,21900258,"NOV 27, 2019",NYK @ TOR,16,4,3,5,4,2,8,0
40,21900229,"NOV 23, 2019",NYK vs. SAS,13,4,1,5,1,0,2,1
41,21900202,"NOV 20, 2019",NYK @ PHI,8,3,3,7,4,0,1,1
42,21900189,"NOV 18, 2019",NYK vs. CLE,15,1,2,2,1,1,1,2
43,21900177,"NOV 16, 2019",NYK vs. CHA,22,2,0,5,4,2,4,0
44,21900162,"NOV 14, 2019",NYK vs. DAL,8,2,1,7,4,0,2,0
45,21900149,"NOV 12, 2019",NYK @ CHI,21,9,2,6,2,2,4,0
