,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022201220,"APR 09, 2023",NYK vs. IND,18,3,1,2,3,1,3,0
1,0022201209,"APR 07, 2023",NYK @ NOP,28,6,0,7,0,0,9,1
2,0022201154,"MAR 31, 2023",NYK @ CLE,14,1,0,7,2,2,7,0
3,0022201138,"MAR 29, 2023",NYK vs. MIA,12,0,0,5,2,2,6,1
4,0022201124,"MAR 27, 2023",NYK vs. HOU,19,5,1,3,3,1,3,0
5,0022201093,"MAR 23, 2023",NYK @ ORL,10,3,0,2,5,0,3,0
6,0022201084,"MAR 22, 2023",NYK @ MIA,26,5,0,6,3,3,6,0
7,0022201073,"MAR 20, 2023",NYK vs. MIN,13,3,0,2,4,2,3,0
8,0022201055,"MAR 18, 2023",NYK vs. DEN,21,2,0,4,0,0,3,0
9,0022201034,"MAR 14, 2023",NYK @ POR,22,0,0,5,2,1,3,3
10,0022201019,"MAR 12, 2023",NYK @ LAL,30,2,0,5,1,1,8,0
11,0022201004,"MAR 11, 2023",NYK @ LAC,11,1,1,2,3,1,3,0
12,0022200997,"MAR 09, 2023",NYK @ SAC,25,2,0,7,1,1,8,0
13,0022200979,"MAR 07, 2023",NYK vs. CHA,27,4,0,6,1,1,7,0
14,0022200969,"MAR 05, 2023",NYK @ BOS,29,3,1,11,2,3,9,1
15,0022200949,"MAR 03, 2023",NYK @ MIA,17,2,1,2,1,0,4,0
16,0022200937,"MAR 01, 2023",NYK vs. BKN,15,1,0,2,2,2,2,0
17,0022200921,"FEB 27, 2023",NYK vs. BOS,10,2,0,7,5,1,3,0
18,0022200906,"FEB 25, 2023",NYK vs. NOP,25,7,0,4,3,4,7,0
19,0022200895,"FEB 24, 2023",NYK @ WAS,14,3,1,2,3,1,2,1
20,0022200876,"FEB 15, 2023",NYK @ ATL,17,2,1,5,0,0,6,0
21,0022200862,"FEB 13, 2023",NYK vs. BKN,4,0,0,1,3,0,3,0
22,0022200851,"FEB 11, 2023",NYK vs. UTA,20,3,0,6,1,2,6,0
23,0022200837,"FEB 10, 2023",NYK @ PHI,19,2,0,3,4,3,5,0
24,0022200816,"FEB 07, 2023",NYK @ ORL,15,3,1,2,0,3,8,0
25,0022200795,"FEB 04, 2023",NYK vs. LAC,14,4,1,5,1,1,8,0
26,0022200780,"FEB 02, 2023",NYK vs. MIA,30,4,0,8,5,0,5,0
27,0022200765,"JAN 31, 2023",NYK vs. LAL,13,2,0,3,1,0,3,0
28,0022200742,"JAN 28, 2023",NYK @ BKN,24,2,0,6,1,3,5,1
29,0022200730,"JAN 26, 2023",NYK @ BOS,19,1,1,4,1,2,5,0
30,0022200715,"JAN 24, 2023",NYK vs. CLE,16,1,1,4,1,3,5,1
31,0022200700,"JAN 22, 2023",NYK @ TOR,30,5,0,7,3,4,8,0
32,0022200684,"JAN 20, 2023",NYK @ ATL,23,2,1,3,2,3,5,0
33,0022200669,"JAN 18, 2023",NYK vs. WAS,21,2,1,7,4,0,4,0
34,0022200659,"JAN 16, 2023",NYK vs. TOR,32,2,0,7,3,2,9,0
35,0022200648,"JAN 15, 2023",NYK @ DET,13,2,0,2,1,1,4,0
36,0022200634,"JAN 13, 2023",NYK @ WAS,17,1,0,5,0,1,3,0
37,0022200622,"JAN 11, 2023",NYK vs. IND,27,4,0,8,2,4,12,0
38,0022200512,"DEC 27, 2022",NYK @ DAL,0,1,0,0,0,0,0,0
39,0022200493,"DEC 25, 2022",NYK vs. PHI,17,4,0,10,2,2,6,0
40,0022200485,"DEC 23, 2022",NYK vs. CHI,44,4,0,7,6,6,6,0
41,0022200471,"DEC 21, 2022",NYK vs. TOR,30,5,1,5,4,4,6,0
42,0022200463,"DEC 20, 2022",NYK vs. GSW,18,5,0,3,0,1,6,0
43,0022200446,"DEC 18, 2022",NYK @ IND,24,0,0,4,5,0,5,1
44,0022200434,"DEC 16, 2022",NYK @ CHI,27,2,0,4,2,3,5,0
45,0022200418,"DEC 14, 2022",NYK @ CHI,22,2,0,6,3,4,7,1
46,0022200397,"DEC 11, 2022",NYK vs. SAC,27,6,3,9,3,2,6,2
47,0022200377,"DEC 09, 2022",NYK @ CHA,26,4,1,7,2,1,3,0
48,0022200365,"DEC 07, 2022",NYK vs. ATL,15,0,1,7,3,2,6,0
49,0022200348,"DEC 04, 2022",NYK vs. CLE,15,1,1,8,6,2,7,0
50,0022200337,"DEC 03, 2022",NYK vs. DAL,13,3,1,6,0,1,3,0
51,0022200316,"NOV 30, 2022",NYK vs. MIL,26,3,0,2,3,2,4,0
52,0022200309,"NOV 29, 2022",NYK @ DET,16,3,0,4,0,2,5,0
53,0022200296,"NOV 27, 2022",NYK vs. MEM,22,4,0,7,2,2,6,0
54,0022200274,"NOV 25, 2022",NYK vs. POR,19,5,1,10,3,1,7,0
55,0022200254,"NOV 21, 2022",NYK @ OKC,25,2,1,8,6,3,4,0
56,0022200240,"NOV 20, 2022",NYK @ PHX,12,2,0,4,1,1,3,0
57,0022200233,"NOV 18, 2022",NYK @ GSW,18,5,0,4,3,1,6,0
58,0022200219,"NOV 16, 2022",NYK @ DEN,11,2,1,3,1,0,9,0
59,0022200208,"NOV 15, 2022",NYK @ UTA,18,4,0,3,1,0,5,0
60,0022200192,"NOV 13, 2022",NYK vs. OKC,4,0,1,1,2,0,2,0
61,0022200178,"NOV 11, 2022",NYK vs. DET,30,5,0,5,1,3,8,0
62,0022200164,"NOV 09, 2022",NYK @ BKN,16,3,1,6,3,2,4,0
63,0022200153,"NOV 07, 2022",NYK @ MIN,22,5,2,5,1,3,7,0
64,0022200135,"NOV 05, 2022",NYK vs. BOS,27,4,1,4,6,3,5,0
65,0022200122,"NOV 04, 2022",NYK @ PHI,22,2,1,9,2,2,8,0
66,0022200110,"NOV 02, 2022",NYK vs. ATL,19,5,1,5,2,2,6,0
67,0022200090,"OCT 30, 2022",NYK @ CLE,15,2,0,5,1,3,4,0
68,0022200075,"OCT 28, 2022",NYK @ MIL,20,2,0,5,1,1,7,0
69,0022200058,"OCT 26, 2022",NYK vs. CHA,22,1,0,8,4,0,5,1
70,0022200046,"OCT 24, 2022",NYK vs. ORL,20,1,0,6,3,3,7,0
71,0022200023,"OCT 21, 2022",NYK vs. DET,18,4,0,3,1,0,3,1
72,0022200009,"OCT 19, 2022",NYK @ MEM,11,3,0,8,2,0,6,0
