,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21801211,"APR 09, 2019",BOS @ WAS,2,1,1,11,1,0,0,3
1,21801183,"APR 05, 2019",BOS @ IND,4,0,0,1,0,0,0,0
2,21801137,"MAR 30, 2019",BOS @ BKN,0,0,0,4,0,0,0,2
3,21801087,"MAR 23, 2019",BOS @ CHA,2,1,0,3,0,0,0,2
4,21801022,"MAR 14, 2019",BOS vs. SAC,2,0,2,1,0,0,0,0
5,21801006,"MAR 11, 2019",BOS @ LAC,1,0,0,2,0,0,0,1
6,21800931,"MAR 01, 2019",BOS vs. WAS,0,0,0,0,0,0,0,0
7,21800913,"FEB 27, 2019",BOS vs. POR,0,0,0,0,0,0,0,0
8,21800909,"FEB 26, 2019",BOS @ TOR,8,0,0,4,1,0,0,0
9,21800829,"FEB 09, 2019",BOS vs. LAC,0,0,0,0,0,0,0,0
10,21800707,"JAN 23, 2019",BOS vs. CLE,4,1,0,0,0,0,0,3
11,21800645,"JAN 14, 2019",BOS @ BKN,0,0,1,2,0,0,0,1
12,21800632,"JAN 12, 2019",BOS @ ORL,0,0,0,1,0,0,0,0
13,21800617,"JAN 10, 2019",BOS @ MIA,2,1,1,4,0,0,0,1
14,21800607,"JAN 09, 2019",BOS vs. IND,6,1,0,3,1,0,0,2
15,21800592,"JAN 07, 2019",BOS vs. BKN,2,0,1,1,0,0,0,0
16,21800488,"DEC 23, 2018",BOS vs. CHA,6,0,1,2,3,0,0,1
17,21800473,"DEC 21, 2018",BOS vs. MIL,4,0,0,0,1,0,0,2
18,21800458,"DEC 19, 2018",BOS vs. PHX,8,1,1,8,1,0,0,5
19,21800431,"DEC 15, 2018",BOS @ DET,2,0,0,1,0,0,0,1
20,21800420,"DEC 14, 2018",BOS vs. ATL,2,0,0,5,2,0,0,5
21,21800409,"DEC 12, 2018",BOS @ WAS,6,0,0,6,0,0,0,2
22,21800393,"DEC 10, 2018",BOS vs. NOP,7,0,1,11,0,0,0,3
23,21800335,"DEC 01, 2018",BOS @ MIN,0,0,0,0,0,0,0,0
24,21800319,"NOV 30, 2018",BOS vs. CLE,2,0,0,2,0,0,0,2
25,21800298,"NOV 26, 2018",BOS @ NOP,2,0,0,2,0,0,0,0
26,21800268,"NOV 23, 2018",BOS @ ATL,4,0,0,3,0,0,0,1
27,21800145,"NOV 05, 2018",BOS @ DEN,3,0,0,2,0,0,0,0
28,21800115,"NOV 01, 2018",BOS vs. MIL,0,0,0,0,0,0,0,0
29,21800099,"OCT 30, 2018",BOS vs. DET,0,0,0,0,0,0,0,0
30,21800074,"OCT 27, 2018",BOS @ DET,2,1,0,2,0,0,0,3
31,21800040,"OCT 22, 2018",BOS vs. ORL,0,0,0,0,0,0,0,0
32,21901308,"AUG 13, 2020",BOS vs. WAS,6,1,0,1,0,0,0,0
33,21901301,"AUG 11, 2020",BOS @ MEM,10,1,0,7,1,0,0,3
34,21901288,"AUG 09, 2020",BOS vs. ORL,8,1,1,3,0,0,0,1
35,21901279,"AUG 07, 2020",BOS @ TOR,10,0,0,4,0,0,0,0
36,21901267,"AUG 05, 2020",BOS vs. BKN,18,2,1,5,0,0,0,3
37,21901260,"AUG 04, 2020",BOS @ MIA,0,0,0,0,0,0,0,0
38,21900949,"MAR 08, 2020",BOS vs. OKC,6,1,1,5,0,0,0,1
39,21900933,"MAR 06, 2020",BOS vs. UTA,2,0,0,8,1,0,0,3
40,21900917,"MAR 04, 2020",BOS @ CLE,6,0,1,5,1,0,0,3
41,21900910,"MAR 03, 2020",BOS vs. BKN,10,0,1,3,2,0,0,0
42,21900323,"DEC 06, 2019",BOS vs. DEN,0,0,1,3,0,0,0,0
43,21900310,"DEC 04, 2019",BOS vs. MIA,3,0,0,10,0,0,0,1
44,21900285,"DEC 01, 2019",BOS @ NYK,3,0,0,2,2,0,0,2
45,21900267,"NOV 29, 2019",BOS @ BKN,6,1,2,5,2,0,0,1
46,21900253,"NOV 27, 2019",BOS vs. BKN,0,0,1,1,1,0,0,0
47,21900244,"NOV 25, 2019",BOS vs. SAC,6,0,2,6,0,0,0,1
48,21900222,"NOV 22, 2019",BOS @ DEN,4,0,1,4,1,0,0,2
49,21900212,"NOV 20, 2019",BOS @ LAC,4,1,0,2,0,0,0,0
50,21900195,"NOV 18, 2019",BOS @ PHX,0,1,2,7,3,0,0,1
51,21900184,"NOV 17, 2019",BOS @ SAC,1,0,0,3,1,0,0,0
52,21900173,"NOV 15, 2019",BOS @ GSW,0,3,0,5,0,0,0,0
53,21900141,"NOV 11, 2019",BOS vs. DAL,6,1,0,3,0,0,0,1
54,21900127,"NOV 09, 2019",BOS @ SAS,11,2,0,7,0,0,0,6
55,21900112,"NOV 07, 2019",BOS @ CHA,7,1,2,5,3,0,0,0
56,21900098,"NOV 05, 2019",BOS @ CLE,6,3,1,4,1,0,0,2
57,21900058,"OCT 30, 2019",BOS vs. MIL,2,3,0,4,0,0,0,1
58,21900029,"OCT 26, 2019",BOS @ NYK,4,3,2,7,1,0,0,1
59,21900017,"OCT 25, 2019",BOS vs. TOR,6,1,2,6,1,0,0,1
60,21900008,"OCT 23, 2019",BOS @ PHI,5,1,1,3,0,0,0,1
61,22000145,"MAY 09, 2021",BOS vs. MIA,4,2,0,2,0,0,0,0
62,22000990,"MAY 05, 2021",BOS @ ORL,8,1,1,6,1,0,0,2
63,22000968,"MAY 02, 2021",BOS vs. POR,5,5,1,5,1,0,0,2
64,22000950,"APR 30, 2021",BOS vs. SAS,10,3,0,9,0,0,0,1
65,22000936,"APR 28, 2021",BOS vs. CHA,4,0,2,9,2,0,0,2
66,22000828,"APR 13, 2021",BOS @ POR,16,4,0,7,1,0,1,0
67,22000806,"APR 11, 2021",BOS @ DEN,10,1,1,8,2,0,0,2
68,22000792,"APR 09, 2021",BOS vs. MIN,6,5,0,7,1,0,0,2
69,22000778,"APR 07, 2021",BOS vs. NYK,6,0,0,10,1,0,0,2
70,22000771,"APR 06, 2021",BOS vs. PHI,4,1,0,9,3,0,0,1
71,22000757,"APR 04, 2021",BOS vs. CHA,16,2,2,8,0,0,0,1
72,22000738,"APR 02, 2021",BOS vs. HOU,20,8,1,9,0,0,0,2
73,22000708,"MAR 29, 2021",BOS vs. NOP,7,5,0,10,2,0,0,3
74,22000699,"MAR 27, 2021",BOS @ OKC,9,2,2,14,1,0,0,2
75,22000685,"MAR 26, 2021",BOS @ MIL,7,6,2,9,0,0,0,5
76,22000669,"MAR 24, 2021",BOS @ MIL,6,1,0,5,1,0,0,0
77,22000658,"MAR 22, 2021",BOS @ MEM,17,4,1,6,0,0,0,4
78,22000167,"MAR 21, 2021",BOS vs. ORL,4,2,0,7,0,0,0,1
79,22000631,"MAR 19, 2021",BOS vs. SAC,12,2,0,8,3,0,0,2
80,22000620,"MAR 17, 2021",BOS @ CLE,13,3,2,14,1,0,0,4
81,22000609,"MAR 16, 2021",BOS vs. UTA,14,1,0,9,2,0,0,2
82,22000598,"MAR 14, 2021",BOS @ HOU,16,1,1,13,2,0,0,3
83,22000569,"MAR 11, 2021",BOS @ BKN,2,4,1,4,0,0,0,6
84,22000552,"MAR 04, 2021",BOS vs. TOR,10,1,0,7,1,0,0,3
85,22000537,"MAR 02, 2021",BOS vs. LAC,13,4,0,8,1,0,0,3
86,22000524,"FEB 28, 2021",BOS vs. WAS,6,2,1,6,2,0,0,0
87,22000505,"FEB 26, 2021",BOS vs. IND,14,4,1,11,1,0,0,2
88,22000490,"FEB 24, 2021",BOS @ ATL,6,1,0,4,0,0,0,1
89,22000485,"FEB 23, 2021",BOS @ DAL,4,0,0,3,0,0,0,1
90,22000465,"FEB 21, 2021",BOS @ NOP,8,3,0,13,1,0,0,4
91,22000451,"FEB 19, 2021",BOS vs. ATL,12,0,2,7,0,0,0,4
92,22000438,"FEB 17, 2021",BOS vs. ATL,8,1,0,3,0,0,0,2
93,22000427,"FEB 16, 2021",BOS vs. DEN,8,2,5,8,1,0,0,0
94,22000560,"FEB 14, 2021",BOS @ WAS,5,1,1,2,1,0,0,1
95,22000379,"FEB 09, 2021",BOS @ UTA,6,0,0,4,0,0,0,0
96,22000365,"FEB 07, 2021",BOS @ PHX,1,0,0,2,0,0,0,0
97,22000350,"FEB 05, 2021",BOS @ LAC,10,0,2,2,0,0,0,0
98,22000336,"FEB 03, 2021",BOS @ SAC,9,2,2,8,3,0,0,1
99,22000326,"FEB 02, 2021",BOS @ GSW,0,0,0,2,1,0,0,0
100,22000302,"JAN 30, 2021",BOS vs. LAL,10,2,2,7,1,0,0,2
101,22000280,"JAN 27, 2021",BOS @ SAS,6,1,1,7,1,0,0,1
102,22000262,"JAN 25, 2021",BOS @ CHI,0,0,0,4,1,0,0,1
103,22000250,"JAN 24, 2021",BOS vs. CLE,9,1,0,6,1,0,0,3
104,22000233,"JAN 22, 2021",BOS @ PHI,2,1,0,4,1,0,0,1
105,22000111,"JAN 06, 2021",BOS @ MIA,8,0,1,4,1,0,0,1
106,22000097,"JAN 04, 2021",BOS @ TOR,11,0,1,15,3,0,0,2
107,22000085,"JAN 03, 2021",BOS @ DET,5,2,2,5,2,0,0,1
108,22000070,"JAN 01, 2021",BOS @ DET,0,0,0,5,0,0,1,1
109,22000056,"DEC 30, 2020",BOS vs. MEM,6,2,1,10,2,0,0,4
110,22000048,"DEC 29, 2020",BOS @ IND,8,0,0,5,1,0,0,0
111,22000037,"DEC 27, 2020",BOS @ IND,12,1,4,4,1,0,0,2
112,22000003,"DEC 23, 2020",BOS vs. MIL,4,0,0,4,1,0,0,1
113,22101116,"MAR 27, 2022",BOS vs. MIN,13,0,1,10,0,0,0,1
114,22101087,"MAR 23, 2022",BOS vs. UTA,12,2,2,10,2,0,0,4
115,22101068,"MAR 20, 2022",BOS @ DEN,8,4,1,9,0,0,0,2
116,22101057,"MAR 18, 2022",BOS @ SAC,4,1,0,4,1,0,0,1
117,22101042,"MAR 16, 2022",BOS @ GSW,8,1,0,9,0,0,0,4
118,22101014,"MAR 13, 2022",BOS vs. DAL,10,1,0,7,0,0,0,0
119,22100997,"MAR 11, 2022",BOS vs. DET,12,3,1,9,0,0,0,1
120,22100981,"MAR 09, 2022",BOS @ CHA,11,1,1,11,1,0,0,2
121,22100960,"MAR 06, 2022",BOS vs. BKN,10,2,2,8,0,0,0,5
122,22100940,"MAR 03, 2022",BOS vs. MEM,10,3,3,12,1,0,0,3
123,22100927,"MAR 01, 2022",BOS vs. ATL,9,2,1,13,0,0,0,2
124,22100914,"FEB 27, 2022",BOS @ IND,10,3,1,11,1,0,0,4
125,22100905,"FEB 26, 2022",BOS @ DET,10,3,0,7,0,0,0,1
126,22100890,"FEB 24, 2022",BOS @ BKN,12,2,0,11,0,0,0,0
127,22100856,"FEB 13, 2022",BOS vs. ATL,10,1,0,14,5,0,0,2
128,22100842,"FEB 11, 2022",BOS vs. DEN,15,2,2,16,0,0,0,3
129,22100817,"FEB 08, 2022",BOS @ BKN,12,1,1,11,0,0,0,3
130,22100806,"FEB 06, 2022",BOS @ ORL,10,1,2,6,0,0,0,2
131,22100788,"FEB 04, 2022",BOS @ DET,11,4,0,11,1,0,0,5
132,22100775,"FEB 02, 2022",BOS vs. CHA,10,3,2,8,2,0,0,3
133,22100762,"JAN 31, 2022",BOS vs. MIA,6,2,1,7,1,0,0,2
134,22100745,"JAN 29, 2022",BOS @ NOP,8,4,1,16,0,0,1,4
135,22100737,"JAN 28, 2022",BOS @ ATL,11,1,1,10,1,0,0,0
136,22100717,"JAN 25, 2022",BOS vs. SAC,13,4,3,17,0,0,0,2
137,22100699,"JAN 23, 2022",BOS @ WAS,8,4,0,8,1,0,0,2
138,22100688,"JAN 21, 2022",BOS vs. POR,5,2,2,10,3,0,0,2
139,22100647,"JAN 15, 2022",BOS vs. CHI,14,6,0,13,3,0,0,2
140,22100635,"JAN 14, 2022",BOS @ PHI,12,1,0,14,1,0,0,1
141,22100618,"JAN 12, 2022",BOS @ IND,5,2,0,9,0,0,0,1
142,22100609,"JAN 10, 2022",BOS vs. IND,14,1,4,12,2,0,0,3
143,22100595,"JAN 08, 2022",BOS vs. NYK,12,2,0,7,0,0,0,5
144,22100578,"JAN 06, 2022",BOS @ NYK,6,1,2,9,0,0,0,7
145,22100570,"JAN 05, 2022",BOS vs. SAS,6,2,1,9,2,0,0,2
146,22100529,"DEC 31, 2021",BOS vs. PHX,10,10,2,11,3,0,0,5
147,22100518,"DEC 29, 2021",BOS vs. LAC,16,1,0,14,0,0,0,2
148,22100503,"DEC 27, 2021",BOS @ MIN,8,0,1,11,1,0,0,4
149,22100489,"DEC 25, 2021",BOS @ MIL,11,4,0,14,2,0,0,2
150,22100471,"DEC 22, 2021",BOS vs. CLE,21,7,2,11,2,0,0,2
151,22100445,"DEC 18, 2021",BOS vs. NYK,15,2,0,8,0,0,0,1
152,22100435,"DEC 17, 2021",BOS vs. GSW,7,1,0,11,3,0,0,1
153,22100408,"DEC 13, 2021",BOS vs. MIL,10,1,1,7,0,0,0,1
154,22100390,"DEC 10, 2021",BOS @ PHX,10,1,0,5,0,0,0,2
155,22100378,"DEC 08, 2021",BOS @ LAC,4,1,1,7,6,0,0,0
156,22100365,"DEC 07, 2021",BOS @ LAL,13,1,1,4,1,0,0,1
157,22100347,"DEC 04, 2021",BOS @ POR,5,1,0,3,0,0,0,3
158,22100339,"DEC 03, 2021",BOS @ UTA,8,0,0,5,0,0,0,1
159,22100322,"DEC 01, 2021",BOS vs. PHI,10,0,0,4,1,0,0,3
160,22100256,"NOV 22, 2021",BOS vs. HOU,2,1,0,15,1,0,0,1
161,22100199,"NOV 15, 2021",BOS @ CLE,0,0,0,6,1,0,0,0
162,22100190,"NOV 13, 2021",BOS @ CLE,12,3,1,16,0,0,0,3
163,22100175,"NOV 12, 2021",BOS vs. MIL,12,3,0,10,3,0,0,3
164,22100160,"NOV 10, 2021",BOS vs. TOR,16,1,2,13,2,0,0,1
165,22100136,"NOV 06, 2021",BOS @ DAL,16,0,1,8,1,0,0,0
166,22100121,"NOV 04, 2021",BOS @ MIA,4,1,2,10,2,0,0,0
167,22100110,"NOV 03, 2021",BOS @ ORL,12,0,1,6,0,0,0,1
168,22100098,"NOV 01, 2021",BOS vs. CHI,6,1,0,5,1,0,0,0
169,22100056,"OCT 27, 2021",BOS vs. WAS,13,1,1,11,1,0,0,4
170,22100041,"OCT 25, 2021",BOS @ CHA,12,4,0,16,2,0,0,3
171,22100037,"OCT 24, 2021",BOS @ HOU,2,1,1,3,0,0,0,1
172,22100020,"OCT 22, 2021",BOS vs. TOR,9,0,1,6,2,0,0,3
173,22100005,"OCT 20, 2021",BOS @ NYK,16,3,3,10,0,0,0,5
174,22201206,"APR 07, 2023",BOS vs. TOR,8,2,2,9,2,0,0,3
175,22201192,"APR 05, 2023",BOS vs. TOR,7,2,1,8,2,0,0,1
176,22201146,"MAR 30, 2023",BOS @ MIL,7,1,1,7,1,0,0,4
177,22201130,"MAR 28, 2023",BOS @ WAS,0,1,1,4,1,0,0,2
178,22201116,"MAR 26, 2023",BOS vs. SAS,11,0,0,8,1,0,0,1
179,22201097,"MAR 24, 2023",BOS vs. IND,4,1,3,8,1,0,0,3
180,22201081,"MAR 21, 2023",BOS @ SAC,6,0,0,7,1,0,0,1
181,22200948,"MAR 03, 2023",BOS vs. BKN,6,0,0,6,1,0,0,2
182,22200935,"MAR 01, 2023",BOS vs. CLE,11,3,1,11,1,0,0,2
183,22200921,"FEB 27, 2023",BOS @ NYK,6,0,0,7,0,0,0,2
184,22200908,"FEB 25, 2023",BOS @ PHI,14,1,1,8,1,0,0,0
185,22200887,"FEB 23, 2023",BOS @ IND,8,1,0,4,0,0,0,1
186,22200869,"FEB 14, 2023",BOS @ MIL,6,0,0,5,0,0,0,0
187,22200855,"FEB 12, 2023",BOS vs. MEM,10,3,1,16,0,0,1,0
188,22200838,"FEB 10, 2023",BOS vs. CHA,4,1,0,16,3,0,0,0
189,22200808,"FEB 06, 2023",BOS @ DET,15,2,2,15,1,0,0,1
190,22200788,"FEB 03, 2023",BOS vs. PHX,6,4,0,7,2,0,0,3
191,22200772,"FEB 01, 2023",BOS vs. BKN,16,0,0,9,0,0,0,1
192,22200730,"JAN 26, 2023",BOS vs. NYK,8,2,1,12,0,0,0,1
193,22200714,"JAN 24, 2023",BOS @ MIA,11,0,0,8,3,0,0,2
194,22200692,"JAN 21, 2023",BOS @ TOR,2,4,1,4,0,0,0,1
195,22200679,"JAN 19, 2023",BOS vs. GSW,14,2,0,11,2,0,0,0
196,22200656,"JAN 16, 2023",BOS @ CHA,8,3,0,9,1,0,0,1
197,22200642,"JAN 14, 2023",BOS @ CHA,6,3,2,12,0,0,0,1
198,22200627,"JAN 12, 2023",BOS @ BKN,8,1,0,5,1,0,0,1
199,22200606,"JAN 09, 2023",BOS vs. CHI,6,2,0,7,1,0,0,2
200,22200591,"JAN 07, 2023",BOS @ SAS,10,3,2,11,0,0,0,4
201,22200577,"JAN 05, 2023",BOS @ DAL,3,0,0,7,0,0,0,1
202,22200549,"JAN 01, 2023",BOS @ DEN,8,1,0,6,2,0,0,0
203,22200525,"DEC 29, 2022",BOS vs. LAC,12,1,1,6,2,0,0,1
204,22200507,"DEC 27, 2022",BOS vs. HOU,11,2,0,15,0,0,0,1
205,22200495,"DEC 25, 2022",BOS vs. MIL,6,0,0,2,1,0,0,1
206,22200469,"DEC 21, 2022",BOS vs. IND,6,2,1,12,2,0,0,1
207,22200445,"DEC 18, 2022",BOS vs. ORL,6,1,0,5,0,0,0,2
208,22200430,"DEC 16, 2022",BOS vs. ORL,9,1,1,5,1,0,0,1
