,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022101116,"MAR 27, 2022",BOS vs. MIN,13,0,1,10,0,0,0,1
1,0022101087,"MAR 23, 2022",BOS vs. UTA,12,2,2,10,2,0,0,4
2,0022101068,"MAR 20, 2022",BOS @ DEN,8,4,1,9,0,0,0,2
3,0022101057,"MAR 18, 2022",BOS @ SAC,4,1,0,4,1,0,0,1
4,0022101042,"MAR 16, 2022",BOS @ GSW,8,1,0,9,0,0,0,4
5,0022101014,"MAR 13, 2022",BOS vs. DAL,10,1,0,7,0,0,0,0
6,0022100997,"MAR 11, 2022",BOS vs. DET,12,3,1,9,0,0,0,1
7,0022100981,"MAR 09, 2022",BOS @ CHA,11,1,1,11,1,0,0,2
8,0022100960,"MAR 06, 2022",BOS vs. BKN,10,2,2,8,0,0,0,5
9,0022100940,"MAR 03, 2022",BOS vs. MEM,10,3,3,12,1,0,0,3
10,0022100927,"MAR 01, 2022",BOS vs. ATL,9,2,1,13,0,0,0,2
11,0022100914,"FEB 27, 2022",BOS @ IND,10,3,1,11,1,0,0,4
12,0022100905,"FEB 26, 2022",BOS @ DET,10,3,0,7,0,0,0,1
13,0022100890,"FEB 24, 2022",BOS @ BKN,12,2,0,11,0,0,0,0
14,0022100856,"FEB 13, 2022",BOS vs. ATL,10,1,0,14,5,0,0,2
15,0022100842,"FEB 11, 2022",BOS vs. DEN,15,2,2,16,0,0,0,3
16,0022100817,"FEB 08, 2022",BOS @ BKN,12,1,1,11,0,0,0,3
17,0022100806,"FEB 06, 2022",BOS @ ORL,10,1,2,6,0,0,0,2
18,0022100788,"FEB 04, 2022",BOS @ DET,11,4,0,11,1,0,0,5
19,0022100775,"FEB 02, 2022",BOS vs. CHA,10,3,2,8,2,0,0,3
20,0022100762,"JAN 31, 2022",BOS vs. MIA,6,2,1,7,1,0,0,2
21,0022100745,"JAN 29, 2022",BOS @ NOP,8,4,1,16,0,0,1,4
22,0022100737,"JAN 28, 2022",BOS @ ATL,11,1,1,10,1,0,0,0
23,0022100717,"JAN 25, 2022",BOS vs. SAC,13,4,3,17,0,0,0,2
24,0022100699,"JAN 23, 2022",BOS @ WAS,8,4,0,8,1,0,0,2
25,0022100688,"JAN 21, 2022",BOS vs. POR,5,2,2,10,3,0,0,2
26,0022100647,"JAN 15, 2022",BOS vs. CHI,14,6,0,13,3,0,0,2
27,0022100635,"JAN 14, 2022",BOS @ PHI,12,1,0,14,1,0,0,1
28,0022100618,"JAN 12, 2022",BOS @ IND,5,2,0,9,0,0,0,1
29,0022100609,"JAN 10, 2022",BOS vs. IND,14,1,4,12,2,0,0,3
30,0022100595,"JAN 08, 2022",BOS vs. NYK,12,2,0,7,0,0,0,5
31,0022100578,"JAN 06, 2022",BOS @ NYK,6,1,2,9,0,0,0,7
32,0022100570,"JAN 05, 2022",BOS vs. SAS,6,2,1,9,2,0,0,2
33,0022100529,"DEC 31, 2021",BOS vs. PHX,10,10,2,11,3,0,0,5
34,0022100518,"DEC 29, 2021",BOS vs. LAC,16,1,0,14,0,0,0,2
35,0022100503,"DEC 27, 2021",BOS @ MIN,8,0,1,11,1,0,0,4
36,0022100489,"DEC 25, 2021",BOS @ MIL,11,4,0,14,2,0,0,2
37,0022100471,"DEC 22, 2021",BOS vs. CLE,21,7,2,11,2,0,0,2
38,0022100445,"DEC 18, 2021",BOS vs. NYK,15,2,0,8,0,0,0,1
39,0022100435,"DEC 17, 2021",BOS vs. GSW,7,1,0,11,3,0,0,1
40,0022100408,"DEC 13, 2021",BOS vs. MIL,10,1,1,7,0,0,0,1
41,0022100390,"DEC 10, 2021",BOS @ PHX,10,1,0,5,0,0,0,2
42,0022100378,"DEC 08, 2021",BOS @ LAC,4,1,1,7,6,0,0,0
43,0022100365,"DEC 07, 2021",BOS @ LAL,13,1,1,4,1,0,0,1
44,0022100347,"DEC 04, 2021",BOS @ POR,5,1,0,3,0,0,0,3
45,0022100339,"DEC 03, 2021",BOS @ UTA,8,0,0,5,0,0,0,1
46,0022100322,"DEC 01, 2021",BOS vs. PHI,10,0,0,4,1,0,0,3
47,0022100256,"NOV 22, 2021",BOS vs. HOU,2,1,0,15,1,0,0,1
48,0022100199,"NOV 15, 2021",BOS @ CLE,0,0,0,6,1,0,0,0
49,0022100190,"NOV 13, 2021",BOS @ CLE,12,3,1,16,0,0,0,3
50,0022100175,"NOV 12, 2021",BOS vs. MIL,12,3,0,10,3,0,0,3
51,0022100160,"NOV 10, 2021",BOS vs. TOR,16,1,2,13,2,0,0,1
52,0022100136,"NOV 06, 2021",BOS @ DAL,16,0,1,8,1,0,0,0
53,0022100121,"NOV 04, 2021",BOS @ MIA,4,1,2,10,2,0,0,0
54,0022100110,"NOV 03, 2021",BOS @ ORL,12,0,1,6,0,0,0,1
55,0022100098,"NOV 01, 2021",BOS vs. CHI,6,1,0,5,1,0,0,0
56,0022100056,"OCT 27, 2021",BOS vs. WAS,13,1,1,11,1,0,0,4
57,0022100041,"OCT 25, 2021",BOS @ CHA,12,4,0,16,2,0,0,3
58,0022100037,"OCT 24, 2021",BOS @ HOU,2,1,1,3,0,0,0,1
59,0022100020,"OCT 22, 2021",BOS vs. TOR,9,0,1,6,2,0,0,3
60,0022100005,"OCT 20, 2021",BOS @ NYK,16,3,3,10,0,0,0,5
