,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,20901229,"APR 14, 2010",GSW @ POR,42,8,2,9,2,4,6,1
1,20901214,"APR 13, 2010",GSW vs. UTA,17,6,2,5,2,1,4,0
2,20901200,"APR 11, 2010",GSW vs. OKC,25,7,1,7,4,3,6,0
3,20901194,"APR 10, 2010",GSW @ LAC,29,4,3,9,3,5,10,0
4,20901163,"APR 07, 2010",GSW @ MIN,27,14,7,8,4,3,5,0
5,20901152,"APR 06, 2010",GSW @ WAS,27,4,2,1,2,3,6,0
6,20901145,"APR 04, 2010",GSW @ TOR,29,12,3,8,5,5,11,2
7,20901130,"APR 02, 2010",GSW vs. NYK,15,10,1,4,2,1,5,0
8,20901119,"MAR 31, 2010",GSW @ UTA,15,6,0,2,4,1,4,0
9,20901096,"MAR 28, 2010",GSW @ LAC,18,7,1,4,3,2,2,0
10,20901086,"MAR 27, 2010",GSW vs. DAL,17,6,2,7,7,3,5,0
11,20901067,"MAR 24, 2010",GSW vs. MEM,30,11,4,5,7,4,6,0
12,20901052,"MAR 22, 2010",GSW vs. PHX,14,8,4,4,1,2,5,0
13,20901032,"MAR 20, 2010",GSW @ MEM,9,6,0,4,2,1,3,1
14,20900995,"MAR 15, 2010",GSW vs. LAL,29,9,1,5,0,5,9,0
15,20900982,"MAR 13, 2010",GSW vs. TOR,35,10,4,6,2,5,8,1
16,20900963,"MAR 11, 2010",GSW vs. POR,15,3,2,5,4,2,7,0
17,20900944,"MAR 08, 2010",GSW @ NOH,12,6,1,3,4,2,4,0
18,20900925,"MAR 06, 2010",GSW @ CHA,25,4,0,5,3,4,8,0
19,20900919,"MAR 05, 2010",GSW @ ATL,31,11,2,5,7,5,9,0
20,20900900,"MAR 03, 2010",GSW @ ORL,9,7,2,3,5,1,2,0
21,20900896,"MAR 02, 2010",GSW @ MIA,18,8,2,2,3,3,8,0
22,20900877,"FEB 27, 2010",GSW vs. DET,27,4,1,5,5,3,6,0
23,20900858,"FEB 25, 2010",GSW vs. DEN,30,13,2,7,2,2,5,1
24,20900844,"FEB 23, 2010",GSW vs. PHI,17,5,0,6,2,1,8,0
25,20900829,"FEB 21, 2010",GSW vs. ATL,32,3,1,9,5,1,3,0
26,20900814,"FEB 19, 2010",GSW vs. UTA,13,7,3,6,10,3,6,0
27,20900800,"FEB 17, 2010",GSW vs. SAC,24,15,3,6,3,1,4,0
28,20900790,"FEB 16, 2010",GSW @ LAL,11,8,1,10,4,1,10,0
