,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0021301213,"APR 14, 2014",GSW vs. MIN,32,15,3,5,5,7,13,0
1,0021301201,"APR 13, 2014",GSW @ POR,47,5,4,1,4,7,14,0
2,0021301188,"APR 11, 2014",GSW @ LAL,30,12,2,10,6,4,5,0
3,0021301175,"APR 10, 2014",GSW vs. DEN,24,6,4,7,2,2,7,0
4,0021301155,"APR 06, 2014",GSW vs. UTA,31,16,3,1,5,5,10,0
5,0021301141,"APR 04, 2014",GSW vs. SAC,13,5,1,2,1,2,5,0
6,0021301123,"APR 02, 2014",GSW @ SAS,11,10,1,0,4,1,4,0
7,0021301112,"APR 01, 2014",GSW @ DAL,23,10,2,3,1,3,8,0
8,0021301098,"MAR 30, 2014",GSW vs. NYK,32,1,1,4,2,6,12,0
9,0021301086,"MAR 28, 2014",GSW vs. MEM,33,8,1,5,3,5,8,2
10,0021301038,"MAR 22, 2014",GSW vs. SAS,20,6,1,6,6,1,4,0
11,0021301021,"MAR 20, 2014",GSW vs. MIL,31,10,1,3,4,3,5,0
12,0021301007,"MAR 18, 2014",GSW vs. ORL,23,5,0,3,3,3,6,0
13,0021300994,"MAR 16, 2014",GSW @ POR,37,5,1,4,5,6,12,0
14,0021300980,"MAR 14, 2014",GSW vs. CLE,27,8,3,4,4,5,10,0
15,0021300967,"MAR 12, 2014",GSW @ LAC,13,11,1,5,4,2,5,0
16,0021300956,"MAR 11, 2014",GSW vs. DAL,10,4,3,2,3,1,5,0
17,0021300942,"MAR 09, 2014",GSW vs. PHX,18,9,0,2,1,1,5,0
18,0021300927,"MAR 07, 2014",GSW vs. ATL,13,7,1,3,0,1,4,0
19,0021300907,"MAR 05, 2014",GSW @ BOS,14,4,1,3,0,1,4,0
20,0021300899,"MAR 04, 2014",GSW @ IND,19,6,2,8,4,2,5,0
21,0021300884,"MAR 02, 2014",GSW @ TOR,34,7,1,4,6,4,11,0
22,0021300869,"FEB 28, 2014",GSW @ NYK,27,11,0,11,4,5,11,1
23,0021300855,"FEB 26, 2014",GSW @ CHI,5,5,0,3,5,1,5,0
24,0021300842,"FEB 24, 2014",GSW @ DET,19,9,0,8,4,3,9,0
25,0021300832,"FEB 22, 2014",GSW vs. BKN,17,8,2,5,2,3,4,0
26,0021300814,"FEB 20, 2014",GSW vs. HOU,25,6,2,2,2,5,8,0
27,0021300810,"FEB 19, 2014",GSW @ SAC,13,8,1,1,0,1,4,0
28,0021300788,"FEB 12, 2014",GSW vs. MIA,29,7,1,5,5,4,4,0
29,0021300769,"FEB 10, 2014",GSW vs. PHI,23,8,1,5,7,6,9,0
30,0021300754,"FEB 08, 2014",GSW @ PHX,28,9,0,2,2,3,10,0
31,0021300738,"FEB 06, 2014",GSW vs. CHI,34,9,1,3,2,4,6,0
32,0021300724,"FEB 04, 2014",GSW vs. CHA,17,11,0,3,2,1,7,0
33,0021300696,"JAN 31, 2014",GSW @ UTA,44,4,0,2,2,8,13,0
34,0021300688,"JAN 30, 2014",GSW vs. LAC,22,7,1,4,3,4,4,1
35,0021300673,"JAN 28, 2014",GSW vs. WAS,23,4,4,2,6,2,7,0
36,0021300660,"JAN 26, 2014",GSW vs. POR,38,8,2,7,2,5,8,0
37,0021300645,"JAN 24, 2014",GSW vs. MIN,33,15,1,3,5,6,10,0
38,0021300615,"JAN 20, 2014",GSW vs. IND,24,9,0,3,2,3,11,0
39,0021300599,"JAN 18, 2014",GSW @ NOP,28,8,4,6,0,2,9,0
40,0021300592,"JAN 17, 2014",GSW @ OKC,37,11,3,3,7,6,10,0
41,0021300576,"JAN 15, 2014",GSW vs. DEN,24,7,0,5,2,4,13,0
42,0021300541,"JAN 10, 2014",GSW vs. BOS,19,4,1,7,4,3,8,0
43,0021300523,"JAN 08, 2014",GSW @ BKN,34,7,3,5,7,2,10,0
44,0021300515,"JAN 07, 2014",GSW @ MIL,15,6,1,0,7,2,11,0
45,0021300501,"JAN 05, 2014",GSW @ WAS,14,10,1,3,2,1,5,1
46,0021300483,"JAN 03, 2014",GSW @ ATL,22,9,5,8,9,1,7,0
47,0021300474,"JAN 02, 2014",GSW @ MIA,36,12,2,2,4,8,15,0
48,0021300462,"DEC 31, 2013",GSW @ ORL,9,8,0,5,6,1,5,0
49,0021300448,"DEC 29, 2013",GSW @ CLE,29,11,2,9,5,5,10,1
50,0021300435,"DEC 27, 2013",GSW vs. PHX,14,16,1,13,7,1,6,0
51,0021300422,"DEC 25, 2013",GSW vs. LAC,15,11,1,6,2,2,6,0
52,0021300415,"DEC 23, 2013",GSW @ DEN,14,7,2,3,2,2,3,1
53,0021300402,"DEC 21, 2013",GSW vs. LAL,18,10,3,6,1,4,9,0
54,0021300382,"DEC 19, 2013",GSW vs. SAS,30,15,4,2,5,6,16,0
55,0021300368,"DEC 17, 2013",GSW vs. NOP,28,11,3,4,3,2,7,0
56,0021300355,"DEC 15, 2013",GSW @ PHX,30,7,3,6,6,4,7,0
57,0021300341,"DEC 13, 2013",GSW vs. HOU,20,9,0,2,6,1,5,0
58,0021300326,"DEC 11, 2013",GSW vs. DAL,33,10,3,4,8,6,11,0
59,0021300304,"DEC 09, 2013",GSW @ CHA,43,9,0,6,4,5,16,2
60,0021300293,"DEC 07, 2013",GSW @ MEM,22,15,0,6,1,2,7,1
61,0021300285,"DEC 06, 2013",GSW @ HOU,22,5,3,1,8,1,5,0
62,0021300268,"DEC 03, 2013",GSW vs. TOR,27,10,5,3,3,3,7,1
63,0021300251,"DEC 01, 2013",GSW @ SAC,36,10,3,2,7,5,8,1
64,0021300235,"NOV 29, 2013",GSW @ OKC,32,5,0,11,3,4,10,0
65,0021300225,"NOV 27, 2013",GSW @ DAL,29,8,1,4,6,6,10,0
66,0021300214,"NOV 26, 2013",GSW @ NOP,16,9,3,8,2,2,5,1
67,0021300196,"NOV 23, 2013",GSW vs. POR,22,11,1,3,5,2,9,0
68,0021300154,"NOV 18, 2013",GSW @ UTA,22,8,3,6,5,4,7,0
69,0021300145,"NOV 16, 2013",GSW vs. UTA,15,11,1,3,0,0,5,0
70,0021300124,"NOV 14, 2013",GSW vs. OKC,22,9,1,5,2,4,8,0
71,0021300109,"NOV 12, 2013",GSW vs. DET,25,8,1,2,2,2,4,0
72,0021300091,"NOV 09, 2013",GSW @ MEM,22,5,3,2,3,4,10,0
73,0021300067,"NOV 06, 2013",GSW @ MIN,5,7,1,1,1,0,3,0
74,0021300048,"NOV 04, 2013",GSW @ PHI,18,12,5,10,2,2,9,1
75,0021300040,"NOV 02, 2013",GSW vs. SAC,22,12,1,1,7,5,8,0
76,0021300019,"OCT 31, 2013",GSW @ LAC,38,9,0,3,11,9,14,0
77,0021300017,"OCT 30, 2013",GSW vs. LAL,10,6,1,4,1,2,5,0
