,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21100979,"APR 26, 2012",MIL @ BOS,16,3,0,9,5,0,1,0
1,21100975,"APR 25, 2012",MIL vs. PHI,15,1,0,13,1,0,2,1
2,21100963,"APR 23, 2012",MIL vs. TOR,4,0,0,1,0,0,1,0
3,21100880,"APR 13, 2012",MIL @ DET,0,0,0,0,0,0,0,0
4,21100845,"APR 09, 2012",MIL vs. OKC,4,0,0,2,1,0,0,0
5,21100831,"APR 07, 2012",MIL vs. POR,2,0,0,1,0,0,1,0
6,21100785,"APR 02, 2012",MIL @ WAS,0,0,0,1,0,0,0,0
7,21100761,"MAR 30, 2012",MIL @ CLE,8,1,0,5,0,1,1,0
8,21100717,"MAR 24, 2012",MIL vs. IND,6,1,0,2,0,1,1,0
9,21100700,"MAR 23, 2012",MIL @ CHA,2,0,1,1,2,0,1,0
10,21100694,"MAR 22, 2012",MIL vs. BOS,0,0,0,1,0,0,0,0
11,21100682,"MAR 20, 2012",MIL @ POR,7,0,0,0,0,0,0,0
12,21100653,"MAR 16, 2012",MIL @ GSW,3,0,0,1,0,1,2,0
13,21100630,"MAR 14, 2012",MIL vs. CLE,6,1,0,2,1,0,1,0
14,21100611,"MAR 12, 2012",MIL @ NJN,4,1,1,0,0,0,1,0
15,21100605,"MAR 11, 2012",MIL @ TOR,0,1,0,2,0,0,0,0
16,21100590,"MAR 09, 2012",MIL vs. NYK,0,0,0,0,0,0,1,0
17,21100575,"MAR 07, 2012",MIL vs. CHI,0,2,2,2,1,0,0,0
18,21100558,"MAR 05, 2012",MIL vs. PHI,5,0,0,4,1,0,0,0
19,21100541,"MAR 03, 2012",MIL @ ORL,4,1,2,2,3,0,0,0
20,21100530,"MAR 02, 2012",MIL @ ATL,0,1,0,2,1,0,0,0
21,21100514,"FEB 29, 2012",MIL @ BOS,0,0,0,3,1,0,0,0
22,21100507,"FEB 28, 2012",MIL vs. WAS,11,1,0,7,1,0,1,1
23,21100447,"FEB 17, 2012",MIL @ ORL,8,1,0,3,1,0,0,2
24,21100435,"FEB 15, 2012",MIL vs. NOH,2,1,0,2,0,0,0,0
25,21100416,"FEB 13, 2012",MIL vs. MIA,3,0,1,3,0,0,0,0
26,21100370,"FEB 07, 2012",MIL vs. PHX,0,0,0,0,0,0,0,0
27,21100349,"FEB 04, 2012",MIL vs. CHI,19,0,1,2,0,1,2,0
28,21100336,"FEB 03, 2012",MIL @ DET,8,0,0,5,0,0,1,1
29,21100302,"JAN 30, 2012",MIL vs. DET,8,0,1,1,1,2,2,0
30,21100288,"JAN 28, 2012",MIL vs. LAL,0,0,0,0,0,0,0,0
31,21100277,"JAN 27, 2012",MIL @ CHI,0,0,0,0,0,0,0,0
32,21100262,"JAN 25, 2012",MIL @ HOU,2,0,0,1,0,0,0,0
33,21100240,"JAN 22, 2012",MIL @ MIA,2,0,0,0,0,0,0,0
34,21100220,"JAN 20, 2012",MIL @ NYK,2,0,0,1,0,0,0,0
35,21100199,"JAN 17, 2012",MIL vs. DEN,14,3,1,8,2,0,1,0
36,21100186,"JAN 16, 2012",MIL @ PHI,12,0,0,3,1,0,0,1
37,21100165,"JAN 13, 2012",MIL @ DAL,6,1,0,4,4,0,2,0
38,21100155,"JAN 12, 2012",MIL vs. DET,0,0,1,1,1,0,0,0
39,21100136,"JAN 10, 2012",MIL vs. SAS,6,0,1,1,2,0,0,1
40,21100123,"JAN 08, 2012",MIL @ PHX,15,2,0,4,1,0,1,0
41,21100118,"JAN 07, 2012",MIL @ LAC,4,0,1,1,0,0,0,0
42,21201220,"APR 17, 2013",ORL @ MIA,19,2,1,8,0,0,3,0
43,21201203,"APR 15, 2013",ORL vs. CHI,20,4,1,4,1,0,2,1
44,21201191,"APR 13, 2013",ORL vs. BOS,22,2,0,6,4,2,4,2
45,21201166,"APR 10, 2013",ORL vs. MIL,30,5,0,19,2,3,4,0
46,21201148,"APR 07, 2013",ORL @ CLE,26,2,2,12,1,0,3,0
47,21201131,"APR 05, 2013",ORL @ CHI,12,3,1,11,2,0,1,2
48,21201117,"APR 03, 2013",ORL @ SAS,11,5,1,7,4,1,6,3
49,21201104,"APR 01, 2013",ORL @ HOU,18,4,0,11,1,0,6,3
50,21201086,"MAR 30, 2013",ORL @ ATL,11,1,2,10,2,1,4,0
51,21201074,"MAR 29, 2013",ORL vs. WAS,30,0,3,11,1,2,3,3
52,21201059,"MAR 27, 2013",ORL @ CHA,29,6,1,9,1,2,5,3
53,21201049,"MAR 25, 2013",ORL vs. MIA,20,1,0,5,1,2,3,2
54,21201023,"MAR 22, 2013",ORL vs. OKC,10,3,0,15,3,0,2,1
55,21201010,"MAR 20, 2013",ORL @ NYK,14,0,0,5,5,0,1,0
56,21201004,"MAR 19, 2013",ORL @ IND,6,2,0,9,1,0,4,2
57,21200986,"MAR 17, 2013",ORL @ MIL,14,1,1,8,3,1,4,2
58,21200974,"MAR 15, 2013",ORL @ OKC,19,0,3,6,2,1,3,0
59,21200949,"MAR 12, 2013",ORL vs. LAL,17,2,1,15,0,3,5,3
60,21200937,"MAR 10, 2013",ORL vs. PHI,15,3,0,7,1,1,4,2
