,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0021701228,"APR 11, 2018",LAC vs. LAL,23,3,1,5,3,2,5,0
1,0021701212,"APR 09, 2018",LAC vs. NOP,11,3,0,7,4,0,5,0
2,0021701191,"APR 07, 2018",LAC vs. DEN,16,4,1,4,0,2,5,0
3,0021701179,"APR 05, 2018",LAC @ UTA,11,2,2,7,1,1,2,1
4,0021701168,"APR 03, 2018",LAC vs. SAS,31,3,2,9,3,1,3,0
5,0021701146,"APR 01, 2018",LAC vs. IND,21,7,1,4,2,3,6,1
6,0021701137,"MAR 30, 2018",LAC @ POR,12,2,0,4,0,0,3,1
7,0021701122,"MAR 28, 2018",LAC @ PHX,27,3,0,2,1,5,6,0
8,0021701115,"MAR 27, 2018",LAC vs. MIL,19,5,2,3,0,3,6,0
9,0021701097,"MAR 25, 2018",LAC @ TOR,20,2,0,5,0,2,3,1
10,0021701078,"MAR 23, 2018",LAC @ IND,18,1,0,3,4,2,5,2
11,0021701070,"MAR 21, 2018",LAC @ MIL,18,4,2,7,2,3,5,0
12,0021701060,"MAR 20, 2018",LAC @ MIN,10,1,0,6,1,0,5,0
13,0021701049,"MAR 18, 2018",LAC vs. POR,11,2,2,3,2,1,4,0
14,0021701032,"MAR 16, 2018",LAC @ OKC,24,6,2,5,2,4,8,0
15,0021701023,"MAR 15, 2018",LAC @ HOU,29,3,0,8,2,3,6,1
16,0021701010,"MAR 13, 2018",LAC @ CHI,18,2,1,3,2,4,8,1
17,0021700991,"MAR 10, 2018",LAC vs. ORL,21,2,1,9,4,1,3,1
18,0021700986,"MAR 09, 2018",LAC vs. CLE,23,4,0,7,0,5,10,0
19,0021700964,"MAR 06, 2018",LAC vs. NOP,27,2,1,11,0,3,10,1
20,0021700948,"MAR 04, 2018",LAC vs. BKN,26,2,3,8,2,2,6,3
21,0021700935,"MAR 02, 2018",LAC vs. NYK,15,6,1,4,0,2,5,1
22,0021700921,"FEB 28, 2018",LAC vs. HOU,24,1,3,4,6,3,6,0
23,0021700912,"FEB 27, 2018",LAC @ DEN,8,3,1,6,1,1,4,2
24,0021700881,"FEB 23, 2018",LAC @ PHX,30,4,1,12,1,5,7,2
25,0021700872,"FEB 22, 2018",LAC @ GSW,22,5,1,6,3,2,3,0
26,0021700858,"FEB 14, 2018",LAC @ BOS,21,5,1,8,1,3,5,0
27,0021700843,"FEB 12, 2018",LAC @ BKN,10,3,1,8,0,1,2,0
28,0021700828,"FEB 10, 2018",LAC @ PHI,17,2,2,8,2,0,5,1
29,0021700817,"FEB 09, 2018",LAC @ DET,12,2,2,8,3,2,7,0
30,0021700796,"FEB 05, 2018",LAC vs. DAL,19,2,3,5,1,1,5,0
31,0021700775,"FEB 03, 2018",LAC vs. CHI,24,2,0,4,1,3,6,1
32,0021700734,"JAN 28, 2018",DET @ CLE,20,2,0,5,0,4,11,0
33,0021700724,"JAN 27, 2018",DET vs. OKC,21,1,1,3,2,2,4,0
