Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST,PTS+AST,REB+AST,PTS+REB,BLKS+STLS
0022300555,"JAN 15, 2024",PHI vs. HOU,10,2,0,3,1,7,3,2,3,0,2,2,-1,15,12,5,13,0
0022300532,"JAN 12, 2024",PHI vs. SAC,37,3,3,7,3,25,14,3,7,0,6,6,19,47,40,10,44,3
0022300521,"JAN 10, 2024",PHI @ ATL,32,4,0,10,1,24,12,1,2,1,7,7,1,46,36,14,42,1
0022300483,"JAN 05, 2024",PHI vs. NYK,5,4,0,3,0,6,2,1,2,0,1,0,-1,12,9,7,8,0
0022300459,"JAN 02, 2024",PHI vs. CHI,20,2,0,8,1,13,9,1,4,2,3,1,32,30,22,10,28,2
0022300442,"DEC 30, 2023",PHI @ CHI,15,4,0,7,0,16,6,0,3,1,4,3,-20,26,19,11,22,1
0022300434,"DEC 29, 2023",PHI @ HOU,22,7,4,4,3,18,10,2,6,3,0,0,5,33,29,11,26,7
0022300415,"DEC 27, 2023",PHI @ ORL,22,2,1,7,0,23,10,1,5,0,1,1,20,31,24,9,29,1
0022300404,"DEC 25, 2023",PHI @ MIA,27,6,1,7,2,18,10,4,7,0,3,3,2,40,33,13,34,1
0022300382,"DEC 22, 2023",PHI vs. TOR,33,7,1,8,2,23,12,5,9,0,4,4,8,48,40,15,41,1
0022300367,"DEC 20, 2023",PHI vs. MIN,9,3,1,5,1,10,4,0,1,0,1,1,-2,17,12,8,14,1
0022300351,"DEC 18, 2023",PHI vs. CHI,3,2,0,5,2,3,1,1,1,3,0,0,6,10,5,7,8,3
0022300335,"DEC 16, 2023",PHI @ CHA,15,4,0,5,1,10,6,1,3,1,2,2,36,24,19,9,20,1
0022300327,"DEC 15, 2023",PHI vs. DET,13,2,3,7,2,8,4,1,3,1,4,4,24,22,15,9,20,4
0022300310,"DEC 13, 2023",PHI @ DET,21,1,0,7,1,10,7,3,5,1,4,4,20,29,22,8,28,1
0022300295,"DEC 11, 2023",PHI vs. WAS,10,6,0,4,0,5,2,1,2,0,6,5,21,20,16,10,14,0
0022301218,"DEC 08, 2023",PHI vs. ATL,13,2,1,8,2,9,5,0,1,0,3,3,8,23,15,10,21,1
0022301208,"DEC 06, 2023",PHI @ WAS,6,1,2,6,0,9,3,0,1,0,0,0,10,13,7,7,12,2
0022300275,"DEC 01, 2023",PHI @ BOS,14,3,4,5,4,16,6,1,1,0,3,1,-5,22,17,8,19,4
0022300262,"NOV 29, 2023",PHI @ NOP,12,2,0,4,5,10,5,0,2,0,2,2,-14,18,14,6,16,0
0022300255,"NOV 27, 2023",PHI vs. LAL,8,0,0,5,1,12,3,0,4,0,2,2,7,13,8,5,13,0
0022300239,"NOV 25, 2023",PHI @ OKC,16,6,0,5,3,13,6,1,5,0,3,3,20,27,22,11,21,0
0022300232,"NOV 22, 2023",PHI @ MIN,15,2,0,6,1,11,4,0,3,1,8,7,-15,23,17,8,21,1
0022300040,"NOV 21, 2023",PHI vs. CLE,23,2,2,2,0,13,7,3,5,0,6,6,-6,27,25,4,25,2
0022300208,"NOV 19, 2023",PHI @ BKN,10,1,2,5,0,13,5,0,4,0,0,0,14,16,11,6,15,2
0022300029,"NOV 17, 2023",PHI @ ATL,29,4,1,10,1,20,12,3,5,0,2,2,-4,43,33,14,39,1
0022300194,"NOV 15, 2023",PHI vs. BOS,16,3,0,7,1,12,6,1,2,0,3,3,-1,26,19,10,23,0
0022300019,"NOV 14, 2023",PHI vs. IND,22,3,1,7,1,17,11,0,1,0,1,0,-8,32,25,10,29,1
0022300180,"NOV 12, 2023",PHI vs. IND,18,4,0,9,1,20,9,0,3,0,0,0,12,31,22,13,27,0
0022300008,"NOV 10, 2023",PHI @ DET,24,2,0,5,3,15,8,2,3,1,6,6,10,31,26,7,29,1
0022300159,"NOV 08, 2023",PHI vs. BOS,17,3,0,9,2,12,5,1,4,0,6,6,3,29,20,12,26,0
0022300148,"NOV 06, 2023",PHI vs. WAS,18,5,1,5,2,11,6,0,2,0,6,6,8,28,23,10,23,1
0022300132,"NOV 04, 2023",PHI vs. PHX,18,2,1,10,3,10,7,0,1,0,4,4,20,30,20,12,28,1
0022300128,"NOV 02, 2023",PHI vs. TOR,23,3,3,7,2,17,10,2,6,0,2,1,6,33,26,10,30,3
0022300098,"OCT 29, 2023",PHI vs. POR,24,2,1,5,3,11,8,2,4,2,7,6,31,31,26,7,29,3
0022300092,"OCT 28, 2023",PHI @ TOR,15,2,2,2,2,10,4,1,4,2,7,6,0,19,17,4,17,4
0022300075,"OCT 26, 2023",PHI @ MIL,20,2,0,7,2,9,8,3,3,0,2,1,-14,29,22,9,27,0
