,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,21801220,"APR 10, 2019",ATL vs. IND,23,11,2,5,6,1,7,0
1,21801181,"APR 05, 2019",ATL @ ORL,22,6,3,7,2,1,4,0
2,21801168,"APR 03, 2019",ATL vs. PHI,33,12,1,7,2,2,6,0
3,21801162,"APR 02, 2019",ATL @ SAS,15,6,1,1,0,0,6,0
4,21801145,"MAR 31, 2019",ATL vs. MIL,12,16,2,5,1,2,9,0
5,21801131,"MAR 29, 2019",ATL vs. POR,26,7,1,9,3,1,8,0
6,21801113,"MAR 26, 2019",ATL @ NOP,33,12,1,1,1,5,13,0
7,21801088,"MAR 23, 2019",ATL vs. PHI,32,11,0,6,6,4,9,1
8,21801076,"MAR 21, 2019",ATL vs. UTA,23,11,0,2,5,1,6,0
9,21801060,"MAR 19, 2019",ATL vs. HOU,21,12,1,4,7,2,5,0
10,21801046,"MAR 17, 2019",ATL @ ORL,20,5,1,6,2,0,5,0
11,21801034,"MAR 16, 2019",ATL @ BOS,26,4,2,4,6,5,8,0
12,21801016,"MAR 13, 2019",ATL vs. MEM,22,8,1,3,0,3,5,0
13,21800995,"MAR 10, 2019",ATL vs. NOP,10,10,0,5,2,0,4,0
14,21800987,"MAR 09, 2019",ATL vs. BKN,23,11,1,10,2,2,4,0
15,21800968,"MAR 06, 2019",ATL vs. SAS,22,4,1,6,2,1,7,0
16,21800953,"MAR 04, 2019",ATL @ MIA,14,8,1,3,8,0,4,0
17,21800946,"MAR 03, 2019",ATL @ CHI,18,5,0,2,2,3,4,0
18,21800928,"MAR 01, 2019",ATL vs. CHI,49,16,1,8,9,6,13,1
19,21800912,"FEB 27, 2019",ATL vs. MIN,36,10,0,8,3,2,5,0
20,21800903,"FEB 25, 2019",ATL @ HOU,36,8,0,1,4,8,12,0
21,21800883,"FEB 23, 2019",ATL vs. PHX,23,8,1,2,2,2,6,0
22,21800877,"FEB 22, 2019",ATL vs. DET,30,10,0,3,4,5,11,0
23,21800865,"FEB 14, 2019",ATL vs. NYK,16,11,2,6,3,1,6,0
