,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0021900969,"MAR 11, 2020",ATL vs. NYK,42,11,0,2,6,6,12,0
1,0021900957,"MAR 09, 2020",ATL vs. CHA,31,16,0,4,6,6,13,0
2,0021900943,"MAR 07, 2020",ATL @ MEM,16,4,2,5,5,1,10,0
3,0021900905,"MAR 02, 2020",ATL vs. MEM,19,2,1,1,7,0,4,1
4,0021900888,"FEB 29, 2020",ATL vs. POR,25,15,0,4,2,1,8,0
5,0021900878,"FEB 28, 2020",ATL vs. BKN,22,14,1,2,3,1,6,0
6,0021900867,"FEB 26, 2020",ATL vs. ORL,37,11,1,2,2,4,12,1
7,0021900850,"FEB 24, 2020",ATL @ PHI,28,10,0,7,3,2,11,0
8,0021900837,"FEB 22, 2020",ATL vs. DAL,25,10,0,6,5,3,8,0
9,0021900821,"FEB 20, 2020",ATL vs. MIA,50,8,2,2,7,8,15,1
10,0021900807,"FEB 12, 2020",ATL @ CLE,27,12,2,3,4,2,7,0
11,0021900795,"FEB 10, 2020",ATL @ ORL,29,9,0,1,4,3,11,0
12,0021900787,"FEB 09, 2020",ATL vs. NYK,48,13,2,1,7,6,13,0
13,0021900759,"FEB 05, 2020",ATL @ MIN,38,11,1,4,3,6,13,0
14,0021900745,"FEB 03, 2020",ATL vs. BOS,34,7,2,3,9,4,11,0
15,0021900733,"FEB 01, 2020",ATL @ DAL,12,1,0,6,4,1,6,0
16,0021900716,"JAN 30, 2020",ATL vs. PHI,39,18,2,6,7,3,9,0
17,0021900703,"JAN 28, 2020",ATL @ TOR,18,13,0,2,7,1,7,0
18,0021900687,"JAN 26, 2020",ATL vs. WAS,45,14,1,6,5,6,11,0
19,0021900677,"JAN 24, 2020",ATL @ OKC,26,16,1,2,1,2,8,0
20,0021900640,"JAN 20, 2020",ATL vs. TOR,42,15,1,6,7,2,7,0
21,0021900629,"JAN 18, 2020",ATL vs. DET,16,7,1,8,4,2,7,0
22,0021900624,"JAN 17, 2020",ATL @ SAS,31,9,1,5,3,6,9,1
23,0021900598,"JAN 14, 2020",ATL vs. PHX,36,10,2,4,6,5,12,1
24,0021900567,"JAN 10, 2020",ATL @ WAS,19,7,2,4,6,0,7,0
25,0021900558,"JAN 08, 2020",ATL vs. HOU,42,10,0,13,3,4,11,1
26,0021900543,"JAN 06, 2020",ATL vs. DEN,29,12,0,4,7,4,5,0
27,0021900526,"JAN 04, 2020",ATL vs. IND,41,8,2,4,4,5,13,0
28,0021900517,"JAN 03, 2020",ATL @ BOS,28,10,0,5,6,5,14,0
29,0021900469,"DEC 27, 2019",ATL vs. MIL,12,2,0,0,4,2,4,0
30,0021900444,"DEC 23, 2019",ATL @ CLE,30,11,4,6,5,5,14,0
31,0021900431,"DEC 21, 2019",ATL @ BKN,47,6,1,8,5,3,12,0
32,0021900416,"DEC 19, 2019",ATL vs. UTA,30,8,1,5,2,3,11,0
33,0021900403,"DEC 17, 2019",ATL @ NYK,42,8,0,4,3,7,13,0
34,0021900390,"DEC 15, 2019",ATL vs. LAL,30,7,2,6,6,3,11,0
35,0021900373,"DEC 13, 2019",ATL vs. IND,23,8,0,7,2,3,10,1
36,0021900361,"DEC 11, 2019",ATL @ CHI,15,13,2,2,7,1,6,0
37,0021900354,"DEC 10, 2019",ATL @ MIA,21,9,0,4,4,3,11,0
38,0021900336,"DEC 08, 2019",ATL @ CHA,30,9,0,7,2,4,13,0
39,0021900309,"DEC 04, 2019",ATL vs. BKN,39,10,1,3,6,5,9,0
40,0021900295,"DEC 02, 2019",ATL vs. GSW,24,7,0,1,7,2,6,0
41,0021900282,"NOV 30, 2019",ATL @ HOU,37,7,0,3,3,5,9,0
42,0021900272,"NOV 29, 2019",ATL @ IND,49,6,2,1,9,8,15,0
43,0021900261,"NOV 27, 2019",ATL @ MIL,29,7,1,4,3,3,7,0
44,0021900243,"NOV 25, 2019",ATL vs. MIN,37,9,0,6,7,5,11,0
45,0021900228,"NOV 23, 2019",ATL vs. TOR,30,10,1,10,3,4,11,0
46,0021900215,"NOV 22, 2019",ATL @ DET,9,8,1,6,5,1,7,0
47,0021900204,"NOV 20, 2019",ATL vs. MIL,25,8,3,2,2,1,5,0
48,0021900188,"NOV 17, 2019",ATL @ LAL,31,7,2,3,8,2,8,0
49,0021900182,"NOV 16, 2019",ATL @ LAC,20,6,1,5,3,2,7,0
50,0021900165,"NOV 14, 2019",ATL @ PHX,21,13,2,1,5,1,6,0
51,0021900150,"NOV 12, 2019",ATL @ DEN,42,11,0,4,6,8,13,1
52,0021900138,"NOV 10, 2019",ATL @ POR,35,10,3,8,7,3,13,0
53,0021900119,"NOV 08, 2019",ATL vs. SAC,30,12,5,2,5,3,10,0
54,0021900105,"NOV 06, 2019",ATL vs. CHI,9,3,0,3,4,0,8,0
55,0021900099,"NOV 05, 2019",ATL vs. SAS,29,13,2,2,3,5,10,0
56,0021900052,"OCT 29, 2019",ATL @ MIA,5,2,1,2,2,1,3,0
57,0021900043,"OCT 28, 2019",ATL vs. PHI,25,9,0,4,7,2,5,0
58,0021900028,"OCT 26, 2019",ATL vs. ORL,39,9,2,7,5,5,10,0
59,0021900014,"OCT 24, 2019",ATL @ DET,38,9,1,7,6,6,10,0
