,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FG3M,FG3A,BLK
0,0022001075,"MAY 16, 2021",PHI vs. ORL,30,6,1,7,1,3,4,1
1,0022001055,"MAY 14, 2021",PHI vs. ORL,8,6,2,5,0,0,1,0
2,0022001050,"MAY 13, 2021",PHI @ MIA,6,4,1,0,1,0,2,0
3,0022001035,"MAY 11, 2021",PHI @ IND,11,3,1,2,1,0,1,2
4,0022001013,"MAY 08, 2021",PHI vs. DET,22,4,2,5,1,2,3,1
5,0022000994,"MAY 05, 2021",PHI @ HOU,12,7,0,4,3,2,4,0
6,0022000979,"MAY 03, 2021",PHI @ CHI,0,0,0,0,0,0,1,0
7,0022000949,"APR 30, 2021",PHI vs. ATL,0,1,0,0,0,0,0,0
8,0022000934,"APR 28, 2021",PHI vs. ATL,11,2,0,2,0,1,2,0
9,0022000918,"APR 26, 2021",PHI vs. OKC,11,4,0,1,1,1,1,0
10,0022000905,"APR 24, 2021",PHI @ MIL,15,0,0,2,1,0,5,1
11,0022000894,"APR 22, 2021",PHI @ MIL,11,5,1,0,2,2,4,0
12,0022000883,"APR 21, 2021",PHI vs. PHX,14,3,2,3,1,0,3,1
13,0022000870,"APR 19, 2021",PHI vs. GSW,10,0,0,2,0,0,1,0
14,0022000846,"APR 16, 2021",PHI vs. LAC,9,3,0,1,1,1,2,0
15,0022000818,"APR 12, 2021",PHI @ DAL,0,0,0,0,0,0,1,0
16,0022000199,"APR 10, 2021",PHI @ OKC,7,5,1,0,1,0,2,0
17,0022000795,"APR 09, 2021",PHI @ NOP,2,0,0,0,0,0,0,0
18,0022000771,"APR 06, 2021",PHI @ BOS,0,0,0,0,0,0,0,0
19,0022000731,"APR 01, 2021",PHI @ CLE,6,4,0,2,2,0,3,1
20,0022000719,"MAR 30, 2021",PHI @ DEN,13,1,0,2,0,1,3,0
21,0022000701,"MAR 27, 2021",PHI @ LAC,4,0,0,0,0,1,1,0
22,0022000681,"MAR 25, 2021",PHI @ LAL,0,0,0,0,0,0,0,0
23,0022000665,"MAR 23, 2021",PHI @ GSW,5,0,0,1,0,1,2,0
24,0022000650,"MAR 21, 2021",PHI @ NYK,6,1,0,3,1,0,0,0
25,0022000641,"MAR 20, 2021",PHI vs. SAC,9,1,0,1,1,1,1,0
26,0022000595,"MAR 14, 2021",PHI vs. SAS,5,2,0,1,1,0,0,1
27,0022000579,"MAR 12, 2021",PHI @ WAS,2,0,0,0,0,0,0,0
28,0022000572,"MAR 11, 2021",PHI @ CHI,4,0,0,0,0,0,1,0
29,0022000530,"MAR 01, 2021",PHI vs. IND,4,5,0,2,1,0,1,1
30,0022000513,"FEB 27, 2021",PHI vs. CLE,0,1,0,1,0,0,0,1
31,0022000498,"FEB 25, 2021",PHI vs. DAL,2,1,0,1,0,0,0,0
32,0022000450,"FEB 19, 2021",PHI vs. CHI,6,3,0,3,3,0,0,0
33,0022000439,"FEB 17, 2021",PHI vs. HOU,10,0,0,2,1,0,0,0
34,0022000423,"FEB 15, 2021",PHI @ UTA,6,0,0,0,0,0,2,0
35,0022000406,"FEB 13, 2021",PHI @ PHX,6,3,0,0,1,0,1,0
36,0022000394,"FEB 11, 2021",PHI @ POR,5,0,0,1,0,0,3,0
37,0022000354,"FEB 06, 2021",PHI vs. BKN,0,0,0,1,0,0,0,0
38,0022000337,"FEB 04, 2021",PHI vs. POR,15,4,1,2,2,2,4,0
39,0022000327,"FEB 03, 2021",PHI @ CHA,0,1,0,2,0,0,0,0
40,0022000307,"JAN 31, 2021",PHI @ IND,9,3,0,1,0,1,3,0
41,0022000294,"JAN 29, 2021",PHI @ MIN,8,0,0,0,1,0,0,0
42,0022000276,"JAN 27, 2021",PHI vs. LAL,4,0,0,0,0,0,0,0
43,0022000257,"JAN 25, 2021",PHI @ DET,17,2,3,2,1,2,3,0
44,0022000243,"JAN 23, 2021",PHI @ DET,2,0,2,2,0,0,1,0
45,0022000233,"JAN 22, 2021",PHI vs. BOS,2,0,0,3,0,0,0,0
46,0022000218,"JAN 20, 2021",PHI vs. BOS,0,2,0,2,0,0,1,0
47,0022000193,"JAN 16, 2021",PHI @ MEM,12,0,0,3,0,0,4,0
48,0022000174,"JAN 14, 2021",PHI vs. MIA,15,1,1,1,2,1,3,0
49,0022000157,"JAN 12, 2021",PHI vs. MIA,16,8,1,3,1,1,6,0
50,0022000153,"JAN 11, 2021",PHI @ ATL,15,4,0,6,2,0,1,2
51,0022000133,"JAN 09, 2021",PHI vs. DEN,39,6,2,7,2,3,8,0
52,0022000118,"JAN 07, 2021",PHI @ BKN,16,2,1,3,0,2,4,1
53,0022000109,"JAN 06, 2021",PHI vs. WAS,2,1,0,2,0,0,0,0
54,0022000094,"JAN 04, 2021",PHI vs. CHA,11,2,1,2,0,2,3,0
55,0022000082,"JAN 02, 2021",PHI vs. CHA,9,2,1,2,1,1,2,0
56,0022000064,"DEC 31, 2020",PHI @ ORL,10,0,1,2,1,0,0,0
57,0022000049,"DEC 29, 2020",PHI vs. TOR,0,1,0,0,0,0,2,0
58,0022000035,"DEC 27, 2020",PHI @ CLE,6,1,1,0,1,0,2,0
59,0022000025,"DEC 26, 2020",PHI @ NYK,2,3,0,2,1,0,0,0
60,0022000013,"DEC 23, 2020",PHI vs. WAS,6,2,0,2,1,0,1,0
