Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST,PTS+AST,REB+AST,PTS+REB,BLKS+STLS
0022300555,"JAN 15, 2024",PHI vs. HOU,27,7,0,1,2,18,8,6,10,0,5,5,19,35,34,8,28,0
0022300532,"JAN 12, 2024",PHI vs. SAC,21,4,3,3,3,17,6,3,6,2,6,6,17,28,25,7,24,5
0022300521,"JAN 10, 2024",PHI @ ATL,35,9,4,8,3,29,12,4,11,0,9,7,2,52,44,17,43,4
0022300495,"JAN 06, 2024",PHI vs. UTA,25,9,3,1,3,24,9,1,8,1,6,6,-14,35,34,10,26,4
0022300483,"JAN 05, 2024",PHI vs. NYK,27,9,2,4,1,20,9,1,7,1,10,8,-28,40,36,13,31,3
0022300459,"JAN 02, 2024",PHI vs. CHI,21,5,0,1,1,12,6,4,7,0,6,5,24,27,26,6,22,0
0022300442,"DEC 30, 2023",PHI @ CHI,20,7,1,0,2,22,8,2,8,0,5,2,-12,27,27,7,20,1
0022300434,"DEC 29, 2023",PHI @ HOU,42,4,0,4,1,26,13,2,9,1,15,14,0,50,46,8,46,1
0022300415,"DEC 27, 2023",PHI @ ORL,23,2,0,6,1,18,9,3,6,1,3,2,17,31,25,8,29,1
0022300404,"DEC 25, 2023",PHI @ MIA,12,5,1,3,0,20,4,1,8,1,6,3,3,20,17,8,15,2
0022300382,"DEC 22, 2023",PHI vs. TOR,33,10,0,4,3,22,13,4,10,0,3,3,17,47,43,14,37,0
0022300367,"DEC 20, 2023",PHI vs. MIN,35,5,0,1,5,24,12,5,12,0,6,6,1,41,40,6,36,0
0022300351,"DEC 18, 2023",PHI vs. CHI,29,8,1,5,3,23,9,5,11,0,6,6,11,42,37,13,34,1
0022300335,"DEC 16, 2023",PHI @ CHA,21,7,2,2,0,13,8,5,8,1,0,0,43,30,28,9,23,3
0022300327,"DEC 15, 2023",PHI vs. DET,19,4,2,1,1,16,7,1,6,0,5,4,37,24,23,5,20,2
0022300310,"DEC 13, 2023",PHI @ DET,9,9,0,4,1,13,2,0,6,0,6,5,22,22,18,13,13,0
0022300295,"DEC 11, 2023",PHI vs. WAS,24,6,0,1,2,13,8,5,9,0,3,3,26,31,30,7,25,0
0022301218,"DEC 08, 2023",PHI vs. ATL,30,7,1,2,0,18,8,4,8,1,12,10,-1,39,37,9,32,2
0022301208,"DEC 06, 2023",PHI @ WAS,26,7,1,1,0,20,10,2,6,0,4,4,12,34,33,8,27,1
0022300262,"NOV 29, 2023",PHI @ NOP,33,3,2,1,4,25,13,3,10,0,4,4,-11,37,36,4,34,2
0022300255,"NOV 27, 2023",PHI vs. LAL,31,8,1,3,0,20,9,5,12,0,9,8,25,42,39,11,34,1
0022300239,"NOV 25, 2023",PHI @ OKC,28,3,0,8,1,17,8,3,9,1,11,9,6,39,31,11,36,1
0022300232,"NOV 22, 2023",PHI @ MIN,16,8,0,5,3,19,7,0,5,1,4,2,-18,29,24,13,21,1
0022300040,"NOV 21, 2023",PHI vs. CLE,30,6,1,4,1,28,11,3,12,0,7,5,-8,40,36,10,34,1
0022300208,"NOV 19, 2023",PHI @ BKN,25,10,0,2,1,20,8,6,11,0,3,3,21,37,35,12,27,0
0022300029,"NOV 17, 2023",PHI @ ATL,19,8,2,4,2,13,5,3,6,0,6,6,1,31,27,12,23,2
0022300194,"NOV 15, 2023",PHI vs. BOS,20,4,0,3,2,15,6,3,7,0,5,5,9,27,24,7,23,0
0022300019,"NOV 14, 2023",PHI vs. IND,27,5,0,4,4,23,9,2,5,1,7,7,-6,36,32,9,31,1
0022300180,"NOV 12, 2023",PHI vs. IND,50,5,0,7,2,32,20,7,11,3,3,3,17,62,55,12,57,3
0022300008,"NOV 10, 2023",PHI @ DET,29,11,3,6,0,19,9,2,7,1,9,9,17,46,40,17,35,4
0022300159,"NOV 08, 2023",PHI vs. BOS,25,5,1,9,1,27,11,3,11,2,1,0,-3,39,30,14,34,3
0022300148,"NOV 06, 2023",PHI vs. WAS,22,11,1,1,0,16,9,3,9,1,1,1,9,34,33,12,23,2
0022300132,"NOV 04, 2023",PHI vs. PHX,22,10,0,5,3,18,9,2,6,1,2,2,25,37,32,15,27,1
0022300128,"NOV 02, 2023",PHI vs. TOR,18,4,2,1,1,16,7,0,3,0,4,4,6,23,22,5,19,2
0022300098,"OCT 29, 2023",PHI vs. POR,26,4,0,10,2,14,6,4,8,0,10,10,19,40,30,14,36,0
0022300092,"OCT 28, 2023",PHI @ TOR,34,7,0,6,1,20,12,7,9,1,3,3,10,47,41,13,40,1
0022300075,"OCT 26, 2023",PHI @ MIL,31,8,2,4,0,22,10,3,8,0,10,8,0,43,39,12,35,2
