,Game_ID,GAME_DATE,MATCHUP,PTS,AST,STL,REB,TOV,FGA,FGM,FG3M,FG3A,BLK,FTA,FTM,PLUS_MINUS,PTS+REB+AST
0,0022300519,"JAN 10, 2024",SAS @ DET,16,10,0,12,0,16,6,0,4,0,5,4,15,38
1,0022300497,"JAN 07, 2024",SAS @ CLE,24,3,1,10,3,13,6,2,5,5,11,10,17,37
2,0022300477,"JAN 04, 2024",SAS vs. MIL,27,1,1,9,5,18,10,2,8,5,6,5,-11,37
3,0022300460,"JAN 02, 2024",SAS @ MEM,20,1,0,7,1,16,8,2,5,4,4,2,-12,28
4,0022300448,"DEC 31, 2023",SAS vs. BOS,21,3,0,7,3,16,8,3,8,1,2,2,-23,31
5,0022300427,"DEC 28, 2023",SAS @ POR,30,6,0,6,1,14,9,2,4,7,10,10,18,42
6,0022300412,"DEC 26, 2023",SAS vs. UTA,15,4,1,7,4,15,6,1,4,5,3,2,-9,26
7,0022300376,"DEC 21, 2023",SAS @ CHI,7,5,2,5,2,8,3,0,1,3,3,1,-7,17
8,0022300345,"DEC 17, 2023",SAS vs. NOP,17,4,1,13,3,13,6,2,6,4,4,3,-14,34
9,0022300331,"DEC 15, 2023",SAS vs. LAL,13,5,2,15,2,13,5,1,2,2,3,2,19,33
10,0022300316,"DEC 13, 2023",SAS vs. LAL,30,2,3,13,5,21,11,4,5,6,7,4,-5,45
11,0022300298,"DEC 11, 2023",SAS @ HOU,15,3,0,18,5,15,7,1,6,5,1,0,-12,36
12,0022301223,"DEC 08, 2023",SAS vs. CHI,21,4,1,20,1,20,8,0,4,4,6,5,-22,45
13,0022301210,"DEC 06, 2023",SAS @ MIN,12,1,1,10,2,13,4,0,2,1,6,4,4,23
14,0022300272,"NOV 30, 2023",SAS vs. ATL,21,2,2,12,2,16,9,1,5,4,2,2,0,35
15,0022300252,"NOV 26, 2023",SAS @ DEN,22,2,6,11,3,17,7,2,5,4,7,6,-10,35
16,0022300051,"NOV 24, 2023",SAS @ GSW,22,4,1,9,6,18,8,1,6,2,5,5,2,35
17,0022300235,"NOV 22, 2023",SAS vs. LAC,22,3,1,15,2,13,7,1,2,3,7,7,-3,40
18,0022300223,"NOV 20, 2023",SAS vs. LAC,9,4,0,3,1,12,4,0,4,2,1,1,-17,16
19,0022300206,"NOV 18, 2023",SAS vs. MEM,19,4,1,13,2,17,6,2,6,8,6,5,-6,36
20,0022300032,"NOV 17, 2023",SAS vs. SAC,27,0,2,9,4,26,12,2,8,0,1,1,-31,36
21,0022300021,"NOV 14, 2023",SAS @ OKC,8,2,0,14,5,15,4,0,3,2,0,0,-31,24
22,0022300184,"NOV 12, 2023",SAS vs. MIA,18,7,1,11,7,22,8,2,9,1,0,0,5,36
23,0022300013,"NOV 10, 2023",SAS vs. MIN,29,4,1,9,3,21,12,3,7,4,4,2,3,42
24,0022300161,"NOV 08, 2023",SAS @ NYK,14,2,0,9,3,14,4,0,4,1,6,6,-25,25
25,0022300146,"NOV 06, 2023",SAS @ IND,13,0,1,10,2,12,3,2,5,2,6,5,-9,23
26,0022300141,"NOV 05, 2023",SAS vs. TOR,20,4,1,9,2,16,7,2,7,5,5,4,-16,33
27,0022300131,"NOV 02, 2023",SAS @ PHX,38,2,1,10,2,26,15,3,6,2,6,5,21,50
28,0022300113,"OCT 31, 2023",SAS @ PHX,18,1,0,8,5,12,6,2,6,4,5,4,-3,27
29,0022300099,"OCT 29, 2023",SAS @ LAC,11,2,1,5,5,10,4,0,2,1,6,3,-14,18
30,0022300083,"OCT 27, 2023",SAS vs. HOU,21,1,3,12,4,19,7,0,6,3,8,7,9,34
31,0022300073,"OCT 25, 2023",SAS vs. DAL,15,2,2,5,5,9,6,3,5,1,1,0,0,22
